"spp","year","site","ind","plot","budburst","flowers","leafout","flobuds","flobudburst","fruit","ripefruit","budset","provenance.lat","provenance.long","species","genus","species.name","dvr","flowering","fruiting","allflofruit","fls","gs"
"ACEPEN",2018,"HF","12",12,110,NA,131,128,135,145,NA,NA,42.531705,-72.18992,"pensylvanicum","Acer","Acer pensylvanicum",21,NA,NA,NA,NA,NA
"ACEPEN",2018,"HF","12",5,NA,149,151,135,142,151,NA,NA,42.531705,-72.18992,"pensylvanicum","Acer","Acer pensylvanicum",NA,7,NA,NA,-2,NA
"ACEPEN",2018,"WM","5",2,103,142,131,NA,128,NA,NA,260,44.112337,-71.230138,"pensylvanicum","Acer","Acer pensylvanicum",28,14,NA,NA,11,129
"ACEPEN",2018,"WM","5",5,103,NA,131,NA,NA,NA,NA,NA,44.112337,-71.230138,"pensylvanicum","Acer","Acer pensylvanicum",28,NA,NA,NA,NA,NA
"ACEPEN",2019,"HF","12",12,97,140,123,NA,NA,140,228,NA,42.531705,-72.18992,"pensylvanicum","Acer","Acer pensylvanicum",26,NA,88,NA,17,NA
"ACEPEN",2019,"WM","5",2,NA,NA,NA,NA,NA,NA,NA,240,44.112337,-71.230138,"pensylvanicum","Acer","Acer pensylvanicum",NA,NA,NA,NA,NA,NA
"ACEPEN",2019,"WM","5",5,97,NA,123,NA,NA,NA,NA,260,44.112337,-71.230138,"pensylvanicum","Acer","Acer pensylvanicum",26,NA,NA,NA,NA,137
"ACEPEN",2020,"HF","12",12,NA,NA,143,NA,NA,NA,287.5,282,42.531705,-72.18992,"pensylvanicum","Acer","Acer pensylvanicum",NA,NA,NA,NA,NA,139
"ACEPEN",2020,"HF","12",2,NA,NA,NA,NA,NA,NA,NA,NA,42.531705,-72.18992,"pensylvanicum","Acer","Acer pensylvanicum",NA,NA,NA,NA,NA,NA
"ACEPEN",2020,"HF","12",3,NA,NA,NA,NA,NA,NA,NA,NA,42.531705,-72.18992,"pensylvanicum","Acer","Acer pensylvanicum",NA,NA,NA,NA,NA,NA
"ACEPEN",2020,"HF","12",5,NA,NA,NA,NA,NA,NA,NA,NA,42.531705,-72.18992,"pensylvanicum","Acer","Acer pensylvanicum",NA,NA,NA,NA,NA,NA
"ACEPEN",2020,"HF","12",6,NA,NA,NA,NA,NA,NA,NA,NA,42.531705,-72.18992,"pensylvanicum","Acer","Acer pensylvanicum",NA,NA,NA,NA,NA,NA
"ACEPEN",2020,"WM","5",12,NA,NA,NA,NA,NA,NA,NA,NA,44.112337,-71.230138,"pensylvanicum","Acer","Acer pensylvanicum",NA,NA,NA,NA,NA,NA
"ACEPEN",2020,"WM","5",2,NA,NA,NA,NA,NA,NA,NA,NA,44.112337,-71.230138,"pensylvanicum","Acer","Acer pensylvanicum",NA,NA,NA,NA,NA,NA
"ACEPEN",2020,"WM","5",5,98,143,135,NA,NA,NA,NA,275,44.112337,-71.230138,"pensylvanicum","Acer","Acer pensylvanicum",37,NA,NA,NA,8,140
"ACEPEN",2020,"WM","5",6,NA,NA,NA,NA,NA,NA,NA,NA,44.112337,-71.230138,"pensylvanicum","Acer","Acer pensylvanicum",NA,NA,NA,NA,NA,NA
"ACEPEN",2020,"WM","5",9,NA,NA,133,NA,NA,NA,NA,NA,44.112337,-71.230138,"pensylvanicum","Acer","Acer pensylvanicum",NA,NA,NA,NA,NA,NA
"ACESPI",2018,"GR","4",10,103,NA,124,NA,NA,NA,NA,NA,44.794942,-71.146683,"spicatum","Acer","Acer spicatum",21,NA,NA,NA,NA,NA
"ACESPI",2018,"GR","4",7,103,NA,124,NA,NA,NA,NA,NA,44.794942,-71.146683,"spicatum","Acer","Acer spicatum",21,NA,NA,NA,NA,NA
"ACESPI",2018,"SH","2",7,110,NA,138,NA,NA,NA,NA,NA,45.932675,-74.02507,"spicatum","Acer","Acer spicatum",28,NA,NA,NA,NA,NA
"ACESPI",2018,"WM","1",7,103,NA,124,NA,NA,NA,NA,NA,44.112337,-71.230138,"spicatum","Acer","Acer spicatum",21,NA,NA,NA,NA,NA
"ACESPI",2019,"GR","4",10,107,NA,145,NA,NA,NA,NA,260,44.794942,-71.146683,"spicatum","Acer","Acer spicatum",38,NA,NA,NA,NA,115
"ACESPI",2019,"GR","4",7,NA,147,112,112,NA,155,NA,NA,44.794942,-71.146683,"spicatum","Acer","Acer spicatum",NA,NA,NA,NA,35,NA
"ACESPI",2019,"GR","6",7,NA,NA,NA,NA,NA,NA,214,NA,44.794942,-71.146683,"spicatum","Acer","Acer spicatum",NA,NA,NA,NA,NA,NA
"ACESPI",2019,"WM","1",7,NA,NA,147,NA,NA,NA,NA,NA,44.112337,-71.230138,"spicatum","Acer","Acer spicatum",NA,NA,NA,NA,NA,NA
"ACESPI",2020,"GR","4",10,NA,NA,NA,NA,NA,NA,NA,NA,44.794942,-71.146683,"spicatum","Acer","Acer spicatum",NA,NA,NA,NA,NA,NA
"ACESPI",2020,"GR","4",7,100,148,130.5,NA,NA,NA,NA,NA,44.794942,-71.146683,"spicatum","Acer","Acer spicatum",30.5,NA,NA,NA,17.5,NA
"ACESPI",2020,"GR","6",7,NA,NA,NA,NA,NA,NA,NA,NA,44.794942,-71.146683,"spicatum","Acer","Acer spicatum",NA,NA,NA,NA,NA,NA
"ACESPI",2020,"GR","8",7,NA,NA,NA,NA,NA,NA,NA,NA,44.794942,-71.146683,"spicatum","Acer","Acer spicatum",NA,NA,NA,NA,NA,NA
"ACESPI",2020,"SH","2",7,NA,NA,NA,NA,NA,NA,NA,268,45.932675,-74.02507,"spicatum","Acer","Acer spicatum",NA,NA,NA,NA,NA,NA
"ACESPI",2020,"SH","2A",10,NA,NA,NA,NA,NA,NA,NA,NA,45.932675,-74.02507,"spicatum","Acer","Acer spicatum",NA,NA,NA,NA,NA,NA
"ACESPI",2020,"SH","2B",10,NA,NA,NA,NA,NA,NA,NA,NA,45.932675,-74.02507,"spicatum","Acer","Acer spicatum",NA,NA,NA,NA,NA,NA
"ACESPI",2020,"SH","9",10,NA,NA,NA,NA,NA,NA,NA,NA,45.932675,-74.02507,"spicatum","Acer","Acer spicatum",NA,NA,NA,NA,NA,NA
"ACESPI",2020,"WM","1",7,NA,NA,NA,NA,NA,NA,NA,NA,44.112337,-71.230138,"spicatum","Acer","Acer spicatum",NA,NA,NA,NA,NA,NA
"ALNINC",2018,"GR","1",3,107,NA,124,NA,NA,NA,NA,289,44.794942,-71.146683,"incana","Alnus","Alnus incana",17,NA,NA,NA,NA,165
"ALNINC",2018,"GR","1",5,103,NA,128,NA,NA,NA,NA,278,44.794942,-71.146683,"incana","Alnus","Alnus incana",25,NA,NA,NA,NA,150
"ALNINC",2018,"GR","11",1,107,NA,124,NA,NA,NA,NA,274,44.794942,-71.146683,"incana","Alnus","Alnus incana",17,NA,NA,NA,NA,150
"ALNINC",2018,"GR","11",15,103,NA,124,NA,NA,NA,NA,268,44.794942,-71.146683,"incana","Alnus","Alnus incana",21,NA,NA,NA,NA,144
"ALNINC",2018,"GR","11A",3,103,NA,124,NA,NA,NA,NA,274,44.794942,-71.146683,"incana","Alnus","Alnus incana",21,NA,NA,NA,NA,150
"ALNINC",2018,"GR","11B",3,103,NA,124,NA,NA,NA,NA,274,44.794942,-71.146683,"incana","Alnus","Alnus incana",21,NA,NA,NA,NA,150
"ALNINC",2018,"GR","8",16,NA,NA,142,NA,NA,NA,NA,246,44.794942,-71.146683,"incana","Alnus","Alnus incana",NA,NA,NA,NA,NA,104
"ALNINC",2018,"GR","8",3,107,NA,124,NA,NA,NA,NA,274,44.794942,-71.146683,"incana","Alnus","Alnus incana",17,NA,NA,NA,NA,150
"ALNINC",2018,"GR","8A",5,114,NA,124,NA,NA,NA,NA,263,44.794942,-71.146683,"incana","Alnus","Alnus incana",10,NA,NA,NA,NA,139
"ALNINC",2018,"GR","8B",5,107,NA,124,NA,NA,NA,NA,282.5,44.794942,-71.146683,"incana","Alnus","Alnus incana",17,NA,NA,NA,NA,158.5
"ALNINC",2018,"HF","1",1,114,128,128,89,NA,151,200.125,297,42.531705,-72.18992,"incana","Alnus","Alnus incana",14,NA,49.125,NA,0,169
"ALNINC",2018,"HF","1",16,NA,NA,142,NA,NA,NA,NA,263,42.531705,-72.18992,"incana","Alnus","Alnus incana",NA,NA,NA,NA,NA,121
"ALNINC",2018,"HF","2",1,114,NA,124,NA,NA,NA,200.555555555556,297,42.531705,-72.18992,"incana","Alnus","Alnus incana",10,NA,NA,NA,NA,173
"ALNINC",2018,"HF","5",6,110,82,128,58,121,151,NA,268,42.531705,-72.18992,"incana","Alnus","Alnus incana",18,-39,NA,NA,-46,140
