id,area,perim,species,site,plot,ind,leaf,wet.wt,dr.wt
ACEPEN_HF_12_1,17.233,23.02,ACEPEN,HF,5,12,1,0.26,0.0664
ACEPEN_HF_12_2,13.204,22.971,ACEPEN,HF,5,12,2,0.174,0.04627
ACEPEN_HF_12_1,88.546,61.561,ACEPEN,HF,12,12,1,1.217,0.3706
ACEPEN_HF_12_2,96.019,68.185,ACEPEN,HF,12,12,2,1.2855,0.41796
ACEPEN_WM_5_1,60.298,49.259,ACEPEN,WM,2,5,1,0.765,0.21105
ACEPEN_WM_5_2,61.287,50.995,ACEPEN,WM,2,5,2,0.884,0.24275
ACEPEN_WM_5_1,79.66,61.417,ACEPEN,WM,5,5,1,1.156,0.36727
ACEPEN_WM_5_2,90.151,65.26,ACEPEN,WM,5,5,2,1.341,0.41997
ACESPI_GR_4_1,39.977,47.405,ACESPI,GR,7,4,1,0.477,0.14209
ACESPI_GR_4_2,58.268,60.114,ACESPI,GR,7,4,2,0.664,0.20301
ACESPI_GR_4_1,20.529,26.351,ACESPI,GR,10,4,1,0.28103,0.09407
ACESPI_GR_4_2,27.052,29.127,ACESPI,GR,10,4,2,0.36337,0.12581
ACESPI_WM_1_1,28.498,33.283,ACESPI,WM,7,1,1,0.3167,0.12182
ACESPI_WM_1_2,57.464,48.488,ACESPI,WM,7,1,2,0.7824,0.30096
ALNINC_GR_1_1,39.487,27.552,ALNINC,GR,3,1,1,0.70094,0.20029
ALNINC_GR_1_2,46.38,35.19,ALNINC,GR,3,1,2,0.746,0.20497
ALNINC_GR_1_1,54.602,37.511,ALNINC,GR,5,1,1,0.7307,0.23387
ALNINC_GR_1_2,63.983,43.197,ALNINC,GR,5,1,2,0.9958,0.32158
ALNINC_GR_8_1,35.912,24.905,ALNINC,GR,16,8,1,0.57272,0.22663
ALNINC_GR_8_2,35.335,25.096,ALNINC,GR,16,8,2,0.60045,0.23087
ALNINC_GR_8A_2,43.827,28.373,ALNINC,GR,5,8A,2,0.776,0.2469
ALNINC_GR_8A_1,29.953,23.392,ALNINC,GR,5,8A,1,0.513,0.18331
ALNINC_GR_8B_1,50.652,32.082,ALNINC,GR,5,8B,1,0.947,0.21618
ALNINC_GR_8B_2,36.957,26.197,ALNINC,GR,5,8B,2,0.625,0.033849
ALNINC_GR_11_1,38.265,27.259,ALNINC,GR,1,11,1,0.623,0.18901
ALNINC_GR_11_2,47.59,31.109,ALNINC,GR,1,11,2,0.817,0.26006
ALNINC_GR_11_1,51.519,37.703,ALNINC,GR,15,11,1,0.8054,0.23261
ALNINC_GR_11_2,50.841,38.433,ALNINC,GR,15,11,2,0.71469,0.2428
ALNINC_GR_11A_1,47.406,47.225,ALNINC,GR,3,11A,1,0.6714,0.20284
ALNINC_GR_11A_2,53.594,34.875,ALNINC,GR,3,11A,2,0.801,0.23113
ALNINC_GR_11B_1,36.063,27.43,ALNINC,GR,3,11B,1,0.58,0.16598
ALNINC_GR_11B_2,35.299,27.78,ALNINC,GR,3,11B,2,0.6038,0.17818
ALNINC_HF_1_1,37.045,27.543,ALNINC,HF,1,1,1,0.6694,0.21939
ALNINC_HF_1_2,39.795,27.853,ALNINC,HF,1,1,2,0.691,0.17649
ALNINC_HF_1_1,31.85,26.218,ALNINC,HF,16,1,1,0.47162,0.17163
ALNINC_HF_1_2,35.048,28.644,ALNINC,HF,16,1,2,0.57824,0.19975
ALNINC_HF_2_1,29.297,24.133,ALNINC,HF,1,2,1,0.495,0.15278
