id,area,perim,species,site,plot,ind,leaf,wet.wt,dr.wt
ALNINC_HF_2_2,34.812,26.978,ALNINC,HF,1,2,2,0.605,0.24706
ALNINC_HF_5_1,30.533,24.156,ALNINC,HF,6,5,1,0.5556,0.17002
ALNINC_HF_5_2,43.854,27.902,ALNINC,HF,6,5,2,0.7589,0.24713
ALNINC_HF_8_1,40.19,29.552,ALNINC,HF,12,8,1,0.6394,0.23004
ALNINC_HF_8_2,52.182,32.84,ALNINC,HF,12,8,2,0.8421,0.27872
ALNINC_HF_9_1,34.468,26.362,ALNINC,HF,2,9,1,0.569,0.16993
ALNINC_HF_9_2,46.024,30.762,ALNINC,HF,2,9,2,0.719,0.22594
ALNINC_HF_9_1,42.627,29.6,ALNINC,HF,6,9,1,0.6383,0.20782
ALNINC_HF_9_2,48.627,30.331,ALNINC,HF,6,9,2,0.812,0.27264
ALNINC_HF_9_2,27.972,22.82,ALNINC,HF,9,9,2,0.48234,0.15289
BETALL_GR_12_1,40.542,35.051,BETALL,GR,1,12,1,0.6936,0.19861
BETALL_GR_12_2,58.776,42.713,BETALL,GR,1,12,2,0.974,0.27408
BETALL_GR_12_1,21.959,25.255,BETALL,GR,3,12,1,0.3617,0.10749
BETALL_GR_12_2,23.969,26.973,BETALL,GR,3,12,2,0.39191,0.11749
BETALL_GR_13_1,29.404,28.713,BETALL,GR,1,13,1,0.505,0.15117
BETALL_GR_13_2,35.879,35.309,BETALL,GR,1,13,2,0.6113,0.19487
BETALL_GR_13_1,31.955,32.773,BETALL,GR,2,13,1,0.446,0.11326
BETALL_GR_13_2,47.392,41.851,BETALL,GR,2,13,2,0.74093,0.19403
BETALL_GR_13_1,12.548,19.918,BETALL,GR,15,13,1,0.22476,0.08439
BETALL_GR_13_2,14.143,20.664,BETALL,GR,15,13,2,0.22149,0.09134
BETALL_GR_14_1,16.42,22.096,BETALL,GR,15,14,1,0.23355,0.08812
BETALL_GR_14_2,29.567,30.618,BETALL,GR,15,14,2,0.47,0.17559
BETALL_GR_14_1,23.328,29.169,BETALL,GR,16,14,1,0.30863,0.1073
BETALL_GR_14_2,12.756,21.106,BETALL,GR,16,14,2,0.1852,0.06546
BETALL_SH_2_2,32.842,35.544,BETALL,SH,6,2,2,0.459,0.13841
BETALL_SH_2_1,41.799,39.354,BETALL,SH,6,2,1,0.7048,0.21348
BETALL_SH_4_1,34.322,34.476,BETALL,SH,3,4,1,0.544,0.142338
BETALL_SH_4_2,38.511,37.485,BETALL,SH,3,4,2,0.605,0.15511
BETALL_SH_4A_1,22.264,29.367,BETALL,SH,9,4A,1,0.3162,0.0855
BETALL_SH_4A_2,19.252,25.242,BETALL,SH,9,4A,2,0.32764,0.08891
BETALL_SH_4B_1,9.782,17.268,BETALL,SH,9,4B,1,0.1556,0.05055
BETALL_SH_4B_2,13.328,20.056,BETALL,SH,9,4B,2,0.189,0.06213
BETALL_SH_5_1,29.533,38.15,BETALL,SH,6,5,1,0.5175,0.15295
BETALL_SH_5_2,19.407,31.175,BETALL,SH,6,5,2,0.3402,0.10874
BETALL_SH_5_1,42.015,41.834,BETALL,SH,9,5,1,0.6216,0.15611
BETALL_SH_5_2,43.639,43.848,BETALL,SH,9,5,2,0.643,0.16045
BETALL_SH_7_1,30.016,35.312,BETALL,SH,16,7,1,0.46877,0.15368
BETALL_SH_7_2,42.921,42.163,BETALL,SH,16,7,2,0.66906,0.20324
BETALL_SH_9_1,36.92,38.212,BETALL,SH,6,9,1,0.5164,0.16035
BETALL_SH_9_2,32.876,32.41,BETALL,SH,6,9,2,0.502,0.15766
BETALL_SH_9_1,21.515,25.706,BETALL,SH,9,9,1,0.347,0.11339
BETALL_SH_9_2,20.622,25.419,BETALL,SH,9,9,2,0.3485,0.11249
BETALL_WM_8_1,24.744,31.253,BETALL,WM,1,8,1,0.379,0.09522
BETALL_WM_8_2,29.975,35.589,BETALL,WM,1,8,2,0.46626,0.11946
BETALL_WM_8A_1,27.264,33.339,BETALL,WM,5,8A,1,0.348,0.11971
BETALL_WM_8A_2,25.122,31.23,BETALL,WM,5,8A,2,0.419,0.10001
BETALL_WM_8A_1,24.985,34.105,BETALL,WM,12,8A,1,0.39378,0.14387
BETALL_WM_8A_2,24.944,34.574,BETALL,WM,12,8A,2,0.385,0.13713
BETALL_WM_8B_1,53.177,47.067,BETALL,WM,5,8B,1,0.793,0.2407
BETALL_WM_8B_2,58.534,55.71,BETALL,WM,5,8B,2,0.902,0.2727
BETALL_WM_8B_1,28.176,30.843,BETALL,WM,12,8B,1,0.4528,0.13971
BETALL_WM_8B_2,23.883,30.76,BETALL,WM,12,8B,2,0.38067,0.12268
BETALL_WM_9_1,14.165,21.151,BETALL,WM,5,9,1,0.197,0.05702
BETALL_WM_9_2,21.523,24.64,BETALL,WM,5,9,2,0.325,0.09139
BETALL_WM_9_1,18.437,26.666,BETALL,WM,9,9,1,NA,NA
BETALL_WM_9_2,22.231,32.075,BETALL,WM,9,9,2,NA,NA
BETPAP_GR_5_1,35.373,31.904,BETPAP,GR,1,5,1,0.553,0.1653
BETPAP_GR_5_2,34.333,30.187,BETPAP,GR,1,5,2,0.5259,0.16246
BETPAP_GR_5A_1,20.759,22.576,BETPAP,GR,2,5A,1,0.31221,0.08392
BETPAP_GR_5A_2,33.214,29.979,BETPAP,GR,2,5A,2,0.5765,0.16682
ALNINC_HF_9_1,27.5,22.627,ALNINC,HF,9,9,1,0.45304,0.14657
ALNINC_HF_9_1,40.939,28.6,ALNINC,HF,15,9,1,0.6972,0.23895
ALNINC_HF_9_2,43.917,29.877,ALNINC,HF,15,9,2,0.7152,0.23095
ALNINC_SH_1_1,48.654,34.546,ALNINC,SH,1,1,1,0.7244,0.24129
ALNINC_SH_1_2,56.086,35.67,ALNINC,SH,1,1,2,0.862,0.29039
ALNINC_SH_1_1,54.379,34.921,ALNINC,SH,12,1,1,0.77614,0.21785
ALNINC_SH_1_2,42.543,30.001,ALNINC,SH,12,1,2,0.6572,0.19366
ALNINC_SH_3_1,36.547,31.204,ALNINC,SH,16,3,1,0.57054,0.19806
ALNINC_SH_3_2,32.666,27.997,ALNINC,SH,16,3,2,0.58545,0.21533
ALNINC_SH_4_1,38.54,27.476,ALNINC,SH,2,4,1,0.659,0.21472
ALNINC_SH_4_2,43.354,29.904,ALNINC,SH,2,4,2,NA,NA
ALNINC_SH_4_1,35.842,28.1,ALNINC,SH,15,4,1,0.5748,0.21077
ALNINC_SH_4_2,41.864,30.514,ALNINC,SH,15,4,2,0.6452,0.23976
ALNINC_SH_5_1,32.478,25.567,ALNINC,SH,2,5,1,0.5486,0.16425
ALNINC_SH_5_2,41.285,31.574,ALNINC,SH,2,5,2,0.6657,0.19253
ALNINC_SH_5_1,26.986,22.349,ALNINC,SH,3,5,1,0.4063,0.13143
ALNINC_SH_5_2,27.542,22.716,ALNINC,SH,3,5,2,0.45184,0.15172
ALNINC_SH_6_1,34.439,29.029,ALNINC,SH,5,6,1,0.588,0.21592
ALNINC_SH_6_2,30.109,25.742,ALNINC,SH,5,6,2,0.485,0.16986
ALNINC_SH_8_1,29.579,24.127,ALNINC,SH,9,8,1,0.5038,0.16231
ALNINC_SH_8_2,27.787,23.837,ALNINC,SH,9,8,2,0.4951,0.15414
ALNINC_WM_1_1,44.72,32.675,ALNINC,WM,1,1,1,0.7054,0.21475
ALNINC_WM_1_2,53.308,37.689,ALNINC,WM,1,1,2,0.833,0.21009
ALNINC_WM_2A_1,34.294,27.105,ALNINC,WM,1,2A,1,0.609,0.18411
ALNINC_WM_2A_2,55.734,34.183,ALNINC,WM,1,2A,2,0.8669,0.26217
ALNINC_WM_2B_1,36.206,28.225,ALNINC,WM,1,2B,1,0.522,0.16892
ALNINC_WM_2B_2,46.944,31.354,ALNINC,WM,1,2B,2,0.774,0.25575
ALNINC_WM_5_1,32.825,27.949,ALNINC,WM,1,5,1,0.558,0.17797
ALNINC_WM_5_2,34.133,26.83,ALNINC,WM,1,5,2,0.579,0.18917
ALNINC_WM_5A_1,27.851,23.639,ALNINC,WM,2,5A,1,0.496,0.16078
ALNINC_WM_5A_2,29.498,27.292,ALNINC,WM,2,5A,2,0.538,0.15691
ALNINC_WM_5A_1,32.104,28.709,ALNINC,WM,16,5A,1,0.52549,0.19159
ALNINC_WM_5A_2,39.128,32.974,ALNINC,WM,16,5A,2,0.63165,0.24112
ALNINC_WM_5B_1,34.031,26.888,ALNINC,WM,2,5B,1,0.581,0.19314
ALNINC_WM_5B_2,37.306,27.224,ALNINC,WM,2,5B,2,0.648,0.21287
ALNINC_WM_5B_1,25.624,24.55,ALNINC,WM,16,5B,1,0.402,0.15189
ALNINC_WM_5B_2,26.375,24.921,ALNINC,WM,16,5B,2,0.45527,0.17909
AMECAN_GR_10_1,8.931,12.708,AMECAN,GR,2,10,1,0.14118,0.04651
AMECAN_GR_10_2,16.641,18.988,AMECAN,GR,2,10,2,0.29243,0.09614
AMECAN_GR_10_1,21.105,20.758,AMECAN,GR,6,10,1,0.343,0.13888
AMECAN_GR_10_2,16.302,18.749,AMECAN,GR,6,10,2,0.2617,0.10971
AMECAN_GR_10A_1,12.901,17.971,AMECAN,GR,3,10A,1,0.17811,0.06475
AMECAN_GR_10A_2,13.42,17.638,AMECAN,GR,3,10A,2,0.21096,0.07919
AMECAN_GR_10A_1,10.668,14.649,AMECAN,GR,5,10A,1,0.144,0.05526
AMECAN_GR_10A_2,11.92,16.835,AMECAN,GR,5,10A,2,0.166,0.06239
AMECAN_GR_10B_1,9.053,12.806,AMECAN,GR,3,10B,1,0.1599,0.05396
AMECAN_GR_10B_2,10.86,14.584,AMECAN,GR,3,10B,2,0.16647,0.06005
AMECAN_GR_10B_1,30.033,24.579,AMECAN,GR,5,10B,1,0.5056,0.16881
AMECAN_GR_10B_2,24.478,22.745,AMECAN,GR,5,10B,2,0.38813,0.13479
AMECAN_SH_2_1,7.353,14.209,AMECAN,SH,6,2,1,0.0838,0.03456
AMECAN_SH_2_2,7.33,14.414,AMECAN,SH,6,2,2,0.0766,0.02948
AMECAN_SH_3_1,9.082,14.654,AMECAN,SH,15,3,1,0.13177,0.0532
AMECAN_SH_3_2,13.74,16.218,AMECAN,SH,15,3,2,0.20632,0.08
AMECAN_SH_4_1,11.538,15.148,AMECAN,SH,5,4,1,0.1761,0.0659
AMECAN_SH_4_2,8.679,13.934,AMECAN,SH,5,4,2,0.1447,0.05258
AMECAN_SH_4_1,20.782,21.33,AMECAN,SH,6,4,1,0.3401,0.12723
AMECAN_SH_4_2,20.405,20.899,AMECAN,SH,6,4,2,0.331,0.11177
AROMEL_HF_4_1,16.867,17.627,AROMEL,HF,8,4,1,0.313,0.10115
AROMEL_HF_4_2,19.099,18.903,AROMEL,HF,8,4,2,0.354,0.11027
AROMEL_HF_8A_1,13.092,16.857,AROMEL,HF,11,8A,1,0.25821,0.08533
AROMEL_HF_8A_2,21.842,21.514,AROMEL,HF,11,8A,2,0.42663,0.15762
AROMEL_HF_8B_1,4.885,10.394,AROMEL,HF,11,8B,1,0.06994,0.02763
AROMEL_HF_8B_2,3.458,8.354,AROMEL,HF,11,8B,2,0.07433,0.02615
AROMEL_HF_10_1,10.035,13.974,AROMEL,HF,8,10,1,0.1826,0.06124
AROMEL_HF_10_2,11.523,14.854,AROMEL,HF,8,10,2,0.1962,0.06227
AROMEL_HF_12_1,7.779,12.177,AROMEL,HF,11,12,1,0.14635,0.05265
AROMEL_HF_12_2,8.895,13.147,AROMEL,HF,11,12,2,0.22664,0.07684
AROMEL_HF_12_1,13.674,16.164,AROMEL,HF,14,12,1,0.2772,0.09827
AROMEL_HF_12_2,17.186,19.055,AROMEL,HF,14,12,2,0.3403,0.11771
AROMEL_HF_13_1,12.327,15.437,AROMEL,HF,14,13,1,0.26695,0.08697
AROMEL_HF_13_2,12.522,16.773,AROMEL,HF,14,13,2,0.26309,0.0882
AROMEL_WM_2_1,13.926,16.356,AROMEL,WM,4,2,1,0.22587,0.06851
AROMEL_WM_2_2,14.227,16.313,AROMEL,WM,4,2,2,0.254,0.07688
AROMEL_WM_2_1,8.138,12.561,AROMEL,WM,14,2,1,0.1415,0.0511
AROMEL_WM_2_2,8.365,12.807,AROMEL,WM,14,2,2,0.13987,0.05093
AROMEL_WM_5_1,6.84,11.361,AROMEL,WM,4,5,1,0.10368,0.03608
AROMEL_WM_5_2,9.686,14.42,AROMEL,WM,4,5,2,0.15344,0.05111
AROMEL_WM_5_1,6.557,11.578,AROMEL,WM,11,5,1,0.1028,0.04014
AROMEL_WM_5_2,10.382,15.133,AROMEL,WM,11,5,2,0.15287,0.05247
AROMEL_WM_7_1,6.165,10.74,AROMEL,WM,8,7,1,0.115,0.04289
AROMEL_WM_7_2,16.668,17.32,AROMEL,WM,8,7,2,0.272,0.08542
AROMEL_WM_15_1,8.582,12.509,AROMEL,WM,4,15,1,0.13757,0.04087
AROMEL_WM_15_2,8.913,12.775,AROMEL,WM,4,15,2,0.13673,0.03915
BETALL_GR_1_1,25.162,28.915,BETALL,GR,3,1,1,0.396,0.11303
BETALL_GR_1_2,35.527,32.429,BETALL,GR,3,1,2,0.5562,0.16241
BETALL_GR_9_1,24.616,27.847,BETALL,GR,3,9,1,0.39,0.10752
BETALL_GR_9_2,31.249,33.004,BETALL,GR,3,9,2,0.48044,0.13123
BETPAP_GR_5B_1,9.811,18.916,BETPAP,GR,2,5B,1,0.1764,0.04988
BETPAP_GR_5B_2,16.427,21.51,BETPAP,GR,2,5B,2,0.343,0.10205
BETPAP_GR_8_1,13.241,16.947,BETPAP,GR,3,8,1,0.21813,0.07035
BETPAP_GR_8_2,16.933,21.479,BETPAP,GR,3,8,2,0.27305,0.08869
BETPAP_GR_8_1,12.518,20.955,BETPAP,GR,5,8,1,0.177,0.04965
BETPAP_GR_8_2,33.598,34.039,BETPAP,GR,5,8,2,0.44,0.14504
BETPAP_GR_8_1,18.414,23.319,BETPAP,GR,6,8,1,0.2638,0.09462
BETPAP_GR_8_2,15.402,19.462,BETPAP,GR,6,8,2,0.221,0.07578
BETPAP_GR_8_1,18.924,23.407,BETPAP,GR,12,8,1,0.3024,0.11134
BETPAP_GR_8_2,24.922,28.502,BETPAP,GR,12,8,2,0.42201,0.12713
BETPAP_GR_9_1,55.928,35.202,BETPAP,GR,9,9,1,0.9147,0.28326
BETPAP_GR_9_2,51.924,35.934,BETPAP,GR,9,9,2,0.9111,0.28649
BETPAP_HF_16_1,86.626,48.278,BETPAP,HF,2,16,1,1.51,0.38027
BETPAP_HF_16_2,95.456,47.546,BETPAP,HF,2,16,2,1.96,0.50056
BETPAP_HF_16_1,40.646,32.74,BETPAP,HF,3,16,1,0.688,0.16836
BETPAP_HF_16_2,52.955,36.651,BETPAP,HF,3,16,2,0.7998,0.18905
BETPAP_HF_16_1,63.019,39.427,BETPAP,HF,5,16,1,1.083,0.3449
BETPAP_HF_16_2,65.08,42.019,BETPAP,HF,5,16,2,1.135,0.36325
BETPAP_HF_16_1,10.343,17.691,BETPAP,HF,12,16,1,0.2016,0.07723
BETPAP_HF_16_2,39.591,32.92,BETPAP,HF,12,16,2,0.72062,0.25599
BETPAP_HF_16A_1,50.001,35.987,BETPAP,HF,6,16A,1,0.8852,0.28189
BETPAP_HF_16A_2,48.521,35.389,BETPAP,HF,6,16A,2,0.852,0.28216
BETPAP_HF_16B_1,32.098,31.164,BETPAP,HF,6,16B,1,0.4835,0.14576
BETPAP_HF_16B_2,52.524,38.645,BETPAP,HF,6,16B,2,0.8137,0.24608
BETPAP_SH_1B_1,46.364,37.222,BETPAP,SH,1,1B,1,0.802,0.20055
BETPAP_SH_1B_2,66.527,43.797,BETPAP,SH,1,1B,2,1.383,0.36787
BETPAP_SH_1A_1,37.068,27.806,BETPAP,SH,1,1A,1,0.72823,0.17187
BETPAP_SH_1A_2,49.537,33.945,BETPAP,SH,1,1A,2,0.903,0.22415
BETPOP_GR_3_1,24.875,28.13,BETPOP,GR,6,3,1,0.384,0.12877
BETPOP_GR_3_2,28.279,34.385,BETPOP,GR,6,3,2,0.4347,0.14662
BETPOP_GR_3_1,23.949,28.009,BETPOP,GR,16,3,1,0.34847,0.12455
BETPOP_GR_3_2,24.277,27.716,BETPOP,GR,16,3,2,0.3119,0.11626
BETPOP_GR_5_1,26.2,27.549,BETPOP,GR,1,5,1,0.4267,0.12425
BETPOP_GR_5_2,28.34,27.255,BETPOP,GR,1,5,2,0.495,0.13735
BETPOP_GR_5_1,23.615,29.569,BETPOP,GR,6,5,1,0.3888,0.13564
BETPOP_GR_5_2,22.529,29.636,BETPOP,GR,6,5,2,0.3648,0.12533
BETPOP_GR_5A_1,21.155,23.852,BETPOP,GR,3,5A,1,0.3815,0.12165
BETPOP_GR_5A_2,26.081,28.318,BETPOP,GR,3,5A,2,0.43759,0.12797
BETPOP_GR_5B_1,25.746,29.553,BETPOP,GR,3,5B,1,0.4317,0.12995
BETPOP_GR_5B_2,27.189,28.849,BETPOP,GR,3,5B,2,0.4357,0.12299
BETPOP_GR_5B_1,26.34,29.497,BETPOP,GR,12,5B,1,0.38387,0.10882
BETPOP_GR_5B_2,39.59,33.029,BETPOP,GR,12,5B,2,0.56845,0.16781
BETPOP_GR_5C_1,12.107,18.433,BETPOP,GR,12,5C,1,0.1832,0.05764
BETPOP_GR_5C_2,23.488,25.106,BETPOP,GR,12,5C,2,0.37814,0.10647
BETPOP_GR_A_1,17.394,24.863,BETPOP,GR,12,A,1,0.25791,0.0787
BETPOP_GR_A_2,30.23,29.775,BETPOP,GR,12,A,2,0.51287,0.017796
BETPOP_HF_1_1,19.739,26.335,BETPOP,HF,2,1,1,0.29934,0.08579
BETPOP_HF_1_2,21.472,27.124,BETPOP,HF,2,1,2,0.33485,0.09708
BETPOP_HF_1_1,16.081,22.207,BETPOP,HF,3,1,1,0.2701,0.07787
BETPOP_HF_1_2,17.129,23.13,BETPOP,HF,3,1,2,0.28236,0.08473
BETPOP_HF_3_1,15.022,23.206,BETPOP,HF,1,3,1,0.23797,0.07626
BETPOP_HF_3_2,19.937,27.923,BETPOP,HF,1,3,2,0.31442,0.10392
BETPOP_HF_3A_1,15.628,22.577,BETPOP,HF,6,3A,1,0.2169,0.07708
BETPOP_HF_3A_2,33.887,34.01,BETPOP,HF,6,3A,2,0.4334,0.12815
BETPOP_HF_3B_1,24.369,28.89,BETPOP,HF,6,3B,1,0.431,0.15968
BETPOP_HF_3B_2,24.434,30.746,BETPOP,HF,6,3B,2,0.43,0.15803
BETPOP_HF_4_1,12.472,20.479,BETPOP,HF,9,4,1,0.21459,0.0733
BETPOP_HF_4_2,14.565,23.182,BETPOP,HF,9,4,2,0.25753,0.08797
BETPOP_HF_5_1,17.493,23.51,BETPOP,HF,2,5,1,0.27008,0.07736
BETPOP_HF_5_2,17.585,26.363,BETPOP,HF,2,5,2,0.29983,0.08617
BETPOP_HF_5_1,21.969,27.16,BETPOP,HF,6,5,1,0.3617,0.11919
BETPOP_HF_5_2,24.446,26.154,BETPOP,HF,6,5,2,0.4837,0.16157
BETPOP_WM_7_1,19.219,27.165,BETPOP,WM,1,7,1,0.27157,0.07347
BETPOP_WM_7_2,20.927,28.445,BETPOP,WM,1,7,2,0.33934,0.09729
BETPOP_WM_7_1,25.672,28.299,BETPOP,WM,2,7,1,0.378,0.09918
BETPOP_WM_7_2,26.556,29.264,BETPOP,WM,2,7,2,0.42394,0.11793
BETPOP_WM_7_1,26.908,30.051,BETPOP,WM,3,7,1,0.43636,0.13012
BETPOP_WM_7_2,30.994,35.365,BETPOP,WM,3,7,2,0.4295,0.12167
BETPOP_WM_7_1,21.425,28.489,BETPOP,WM,6,7,1,0.3868,0.13753
BETPOP_WM_7_2,20.862,27.826,BETPOP,WM,6,7,2,0.32602,0.11472
BETPOP_WM_7_1,18.413,24.916,BETPOP,WM,9,7,1,0.2911,0.08594
BETPOP_WM_7_2,23.333,27.921,BETPOP,WM,9,7,2,0.3927,0.11433
BETPOP_WM_7_1,18.638,24.457,BETPOP,WM,15,7,1,0.3512,0.0972
BETPOP_WM_7_2,24.993,28.044,BETPOP,WM,15,7,2,0.40136,0.12824
BETPOP_WM_8_1,14.964,25.211,BETPOP,WM,15,8,1,0.21907,0.07912
BETPOP_WM_8_2,18.888,27.08,BETPOP,WM,15,8,2,0.3059,0.11219
BETPOP_WM_8_1,23.117,27.306,BETPOP,WM,16,8,1,0.3786,0.13852
BETPOP_WM_8_2,33.974,38.872,BETPOP,WM,16,8,2,0.5206,0.18272
BETPOP_WM_9_1,18.069,22.261,BETPOP,WM,15,9,1,0.301,0.10725
BETPOP_WM_9_2,22.486,25.807,BETPOP,WM,15,9,2,0.35572,0.11244
DIELON_GR_2_1,21.06,25.144,DIELON,GR,14,2,1,0.26414,0.08787
DIELON_GR_2_2,37.572,34.61,DIELON,GR,14,2,2,0.50972,0.15916
DIELON_GR_5A_1,12.029,19.641,DIELON,GR,7,5A,1,0.195,0.05863
DIELON_GR_5A_2,17.329,21.687,DIELON,GR,7,5A,2,0.2375,0.07515
DIELON_GR_5B_1,35.203,31.558,DIELON,GR,7,5B,1,0.5168,0.15483
DIELON_GR_5B_2,33.527,30.648,DIELON,GR,7,5B,2,0.518,0.15245
DIELON_GR_5C_1,28.998,27.326,DIELON,GR,7,5C,1,0.4114,0.10462
DIELON_GR_5C_2,45.259,32.473,DIELON,GR,7,5C,2,0.56203,0.17867
DIELON_GR_6_1,14.665,20.892,DIELON,GR,14,6,1,0.25315,0.08821
DIELON_GR_6_2,17.496,21.938,DIELON,GR,14,6,2,0.25254,0.08938
DIELON_GR_8_1,12.065,19.788,DIELON,GR,13,8,1,0.197,0.07191
DIELON_GR_8_2,16.705,24.398,DIELON,GR,13,8,2,0.2703,0.09147
DIELON_HF_1_1,4.532,10.186,DIELON,HF,10,1,1,0.05389,0.02088
DIELON_HF_1_2,9.736,14.768,DIELON,HF,10,1,2,0.12278,0.04753
DIELON_HF_1A_1,30.936,27.623,DIELON,HF,7,1A,1,0.496,0.159
DIELON_HF_1A_2,34.721,28.739,DIELON,HF,7,1A,2,0.447,0.14277
DIELON_HF_1B_1,21.605,22.282,DIELON,HF,7,1B,1,0.32381,0.11004
DIELON_HF_1B_2,29.677,26.431,DIELON,HF,7,1B,2,0.4425,0.14535
DIELON_HF_2_1,17.72,23.908,DIELON,HF,7,2,1,0.29589,0.10596
DIELON_HF_2_2,29.868,27.679,DIELON,HF,7,2,2,0.502,0.15851
DIELON_HF_2A_1,4.928,10.914,DIELON,HF,13,2A,1,0.05725,0.02029
DIELON_HF_2A_2,17.927,20.934,DIELON,HF,13,2A,2,0.2663,0.072
DIELON_HF_2B_1,20.735,20.853,DIELON,HF,13,2B,1,0.298,0.09574
DIELON_HF_2B_2,36.236,28.646,DIELON,HF,13,2B,2,0.51541,0.15275
DIELON_HF_2C_1,20.287,22.194,DIELON,HF,13,2C,1,0.27053,0.09252
DIELON_HF_2C_2,36.552,28.701,DIELON,HF,13,2C,2,0.4458,0.14265
DIELON_HF_3_1,24.193,25.434,DIELON,HF,7,3,1,0.325,0.09285
DIELON_HF_3_2,50.405,36.521,DIELON,HF,7,3,2,0.834,0.22669
DIELON_HF_4_1,20.994,20.268,DIELON,HF,7,4,1,0.3767,0.11686
DIELON_HF_4_2,23.867,23.388,DIELON,HF,7,4,2,0.461,0.15852
DIELON_SH_2A_1,20.504,22.824,DIELON,SH,13,2A,1,0.22884,0.07075
DIELON_SH_2A_2,26.543,26.832,DIELON,SH,13,2A,2,0.3352,0.09536
DIELON_SH_2B_1,20.46,23.09,DIELON,SH,13,2B,1,0.25589,0.07249
DIELON_SH_2B_2,39.337,31.593,DIELON,SH,13,2B,2,0.5887,0.17904
DIELON_SH_4_1,25.233,26.249,DIELON,SH,7,4,1,0.40962,0.12684
DIELON_SH_4_2,40.53,32.023,DIELON,SH,7,4,2,0.621,0.16906
DIELON_SH_4_1,17.58,22.152,DIELON,SH,13,4,1,0.27908,0.09363
DIELON_SH_4_2,16.875,21.334,DIELON,SH,13,4,2,0.21009,0.07962
DIELON_SH_4_1,3.141,9.239,DIELON,SH,14,4,1,0.05489,0.02093
DIELON_SH_4_2,4.489,10.302,DIELON,SH,14,4,2,0.06453,0.02639
DIELON_SH_4A_1,4.599,10.984,DIELON,SH,10,4A,1,0.06525,0.02752
