IND,Plot,Wet Weight,LA,Dry Mass,Height,DBH
SPIALB_WM_7B_1,4,0.07523,,0.02354,109.2,
SPIALB_WM_7B_2,4,0.07431,,0.02146,,
MYRGAL_GR_8D_1,4,0.06271,,0.01793,45.2,
MYRGAL_GR_8D_2,4,0.0843,,0.02658,,
SPIALB_WM_2B_1,4,0.0474,,0.01076,88.4,
SPIALB_WM_2B_2,4,0.0535,,0.01429,,
MYRGAL_SH_1B_1,4,0.0581,,0.01795,65.2,
MYRGAL_SH_1B_2,4,0.0655,,0.01835,,
MYRGAL_WM_6A_1,4,0.0598,,0.01789,38.7,
MYRGAL_WM_6A_2,4,0.0789,,0.02164,,
SPIALB_SH_9A_1,4,0.0584,,0.01484,93.8,
SPIALB_SH_9A_2,4,0.0706,,0.01939,,
AROMEL_WM_2_1,4,0.22587,,0.06851,46.4,
AROMEL_WM_2_2,4,0.254,,0.07688,,
SPIALB_HF_1_1,4,0.08915,,0.02561,114.2,
SPIALB_HF_1_2,4,0.08366,,0.02312,,
SPITOM_WM_5B_1,4,0.07713,,0.02049,50.4,
SPITOM_WM_5B_2,4,0.08937,,0.02414,,
SPIALB_WM_2A_1,4,0.06396,,0.01487,96.6,
SPIALB_WM_2A_2,4,0.08518,,0.0255,,
MYRGAL_SH_2A_1,4,0.0731,,0.02141,65,
MYRGAL_SH_2A_2,4,0.06264,,0.01643,,
MYRGAL_GR_8B_1,4,0.06458,,0.01731,36.1,
MYRGAL_GR_8B_2,4,0.06677,,0.01729,,
SPITOM_SH_99_1,4,0.02452,,0.00855,56.4,
SPITOM_SH_99_2,4,0.0293,,0.00951,,
MYRGAL_GR_8A_1,4,0.0819,,0.02098,41.4,
MYRGAL_GR_8A_2,4,0.0846,,0.02264,,
SPIALB_HF_4_1,4,0.02828,,0.01084,119.8,
SPIALB_HF_4_2,4,0.05246,,0.01366,,
SPITOM_SH_9_1,4,0.03517,,0.01142,56.6,
SPITOM_SH_9_2,4,0.05383,,0.01631,,
MYRGAL_SH_1A_1,4,0.06413,,0.01871,68.4,
MYRGAL_SH_1A_2,4,0.06117,,0.01803,,
SPIALB_GR_3_1,4,0.06023,,0.01622,93.4,
SPIALB_GR_3_2,4,0.06147,,0.01574,,
VIBCAS_WM_4_1,4,0.41489,,0.09404,70.4,
VIBCAS_WM_4_2,4,0.756,,0.18326,,
SPITOM_WM_5C_1,4,0.05559,,0.01818,50.4,
SPITOM_WM_5C_2,4,0.06102,,0.01924,,
SPIALB_SH_8_1,4,0.0605,,0.01644,77.8,
SPIALB_SH_8_2,4,0.07204,,0.01969,,
VIBCAS_GR_12A_1,4,0.778,,0.21597,86.5,
VIBCAS_GR_12A_2,4,0.7919,,0.21669,,
AROMEL_WM_15_1,4,0.13757,,0.04087,65,
AROMEL_WM_15_2,4,0.13673,,0.03915,,
SPIALB_SH_4A_1,4,0.06503,,0.0215,83.2,
SPIALB_SH_4A_2,4,0.07795,,0.02574,,
SPIALB_SH_7_1,4,0.08667,,0.02379,86.6,
SPIALB_SH_7_2,4,0.0952,,0.02763,,
MYRGAL_WM_6B_1,4,0.03253,,0.01153,63.2,
MYRGAL_WM_6B_2,4,0.05025,,0.01417,,
SPIALB_GR_7_1,4,0.06463,,0.02121,114.8,
SPIALB_GR_7_2,4,0.09979,,0.03195,,
SPIALB_SH_4B_1,4,0.04434,,0.01359,82.8,
SPIALB_SH_4B_2,4,0.04598,,0.01449,,
VIBCAS_GR_12B_1,4,0.56067,,0.13633,95.6,
VIBCAS_GR_12B_2,4,0.7835,,0.20746,,
SPIALB_WM_7A_1,4,0.10165,,0.02789,81.4,
SPIALB_WM_7A_2,4,0.09583,,0.02665,,
MYRGAL_GR_8C_1,4,0.05457,,0.01539,45.8,
MYRGAL_GR_8C_2,4,0.09449,,0.02443,,
SPIALB_HF_8_1,4,0.08407,,0.02776,88.9,
SPIALB_HF_8_2,4,0.10272,,0.03475,,
SPITOM_WM_5D_1,4,0.01836,,0.00722,75.2,
SPITOM_WM_5D_2,4,0.03265,,0.01217,,
SPIALB_SH_1_1,4,0.07829,,0.02394,66.5,
SPIALB_SH_1_2,4,0.07408,,0.02131,,
MYRGAL_SH_2B_1,4,0.03298,,0.00901,50.6,
MYRGAL_SH_2B_2,4,0.03744,,0.01048,,
SPITOM_WM_5A_1,4,0.11504,,0.02676,163.4,
SPITOM_WM_5A_2,4,0.1974,,0.05274,,
SPIALB_GR_12_1,4,0.03162,,0.01114,108,
SPIALB_GR_12_2,4,0.0602,,0.01711,,
VIBCAS_GR_9_1,4,0.7,,0.18048,56.8,
VIBCAS_GR_9_2,4,0.696,,0.19157,,
VIBCAS_SH_1_1,4,0.642,,0.16854,69.4,
VIBCAS_SH_1_2,4,0.77355,,0.21546,,
ACEPEN_WM_5_1,5,1.156,,0.36727,92.4,
ACEPEN_WM_5_2,5,1.341,,0.41997,,
BETPAP_HF_16_1,5,1.083,,0.3449,160.6,
BETPAP_HF_16_2,5,1.135,,0.36325,,
BETALL_WM_8B_1,5,0.793,,0.2407,x,
BETALL_WM_8B_2,5,0.902,,0.2727,,
AMECAN_SH_4_1,5,0.1761,,0.0659,100.1,
AMECAN_SH_4_2,5,0.1447,,0.05258,,
AMECAN_GR_10B_1,5,0.5056,,0.16881,100.8,
AMECAN_GR_10B_2,5,0.38813,,0.13479,,
ALNINC_GR_1_1,5,0.7307,,0.23387,174.6,
ALNINC_GR_1_2,5,0.9958,,0.32158,,
ALNINC_SH_6_1,5,0.588,,0.21592,292.9,2.2
ALNINC_SH_6_2,5,0.485,,0.16986,,
ALNINC_GR_8B_1,5,0.947,,0.21618,186.2,1
ALNINC_GR_8B_2,5,0.625,,0.033849,,
ALNINC_GR_8A_1,5,0.513,,0.18331,106.2,
ALNINC_GR_8A_2,5,0.776,,0.2469,,
AMECAN_GR_10A_1,5,0.144,,0.05526,77.4,
AMECAN_GR_10A_2,5,0.166,,0.06239,,
ACEPEN_HF_12_1,5,0.26,,0.0664,148.4,
ACEPEN_HF_12_2,5,0.174,,0.04627,,
BETALL_WM_9_1,5,0.197,,0.05702,194.2,
BETALL_WM_9_2,5,0.325,,0.09139,,
BETPAP_GR_8_1,5,0.177,,0.04965,77.2,
BETPAP_GR_8_2,5,0.44,,0.14504,,
BETALL_WM_8A_1,5,0.348,,0.11971,173.6,
BETALL_WM_8A_2,5,0.419,,0.10001,,
QUERUB_HF_99_1,5,0.5714,,0.24195,32.6,
QUERUB_HF_99_2,5,1.15748,,0.52241,,
QUERUB_GR_9_1,5,0.64555,,0.28397,39.8,
QUERUB_GR_9_2,5,0.6999,,0.29221,,
BETPOP_WM_7_1,6,0.3868,,0.13753,132,
BETPOP_WM_7_2,6,0.32602,,0.11472,,
AMECAN_GR_10_1,6,0.343,,0.13888,99.6,
AMECAN_GR_10_2,6,0.2617,,0.10971,,
AMECAN_SH_2_1,6,0.0838,,0.03456,60.6,
AMECAN_SH_2_2,6,0.0766,,0.02948,,
BETPOP_HF_5_1,6,0.3617,,0.11919,223.4,1.4
BETPOP_HF_5_2,6,0.4837,,0.16157,,
ALNINC_HF_9_1,6,0.6383,,0.20782,115.6,
ALNINC_HF_9_2,6,0.812,,0.27264,,
BETALL_SH_2_1,6,0.7048,,0.21348,53.8,
BETALL_SH_2_2,6,0.459,,0.13841,,
BETALL_SH_5_1,6,0.5175,,0.15295,73.1,
BETALL_SH_5_2,6,0.3402,,0.10874,,
ALNINC_HF_5_1,6,0.5556,,0.17002,216.8,1.3
ALNINC_HF_5_2,6,0.7589,,0.24713,,
BETPAP_GR_8_1,6,0.2638,,0.09462,39.1,
BETPAP_GR_8_2,6,0.221,,0.07578,,
AMECAN_SH_4_1,6,0.3401,,0.12723,96,
AMECAN_SH_4_2,6,0.331,,0.11177,,
BETPOP_HF_3B_1,6,0.431,,0.15968,295.9,1.8
BETPOP_HF_3B_2,6,0.43,,0.15803,,
BETPOP_HF_3A_1,6,0.2169,,0.07708,114.6,
BETPOP_HF_3A_2,6,0.4334,,0.12815,,
BETPOP_GR_3_1,6,0.384,,0.12877,151.2,
BETPOP_GR_3_2,6,0.4347,,0.14662,,
BETPOP_GR_5_1,6,0.3888,,0.13564,141.1,
BETPOP_GR_5_2,6,0.3648,,0.12533,,
BETALL_SH_9_1,6,0.5164,,0.16035,137.4,
BETALL_SH_9_2,6,0.502,,0.15766,,
BETPAP_HF_16A_1,6,0.8852,,0.28189,129.2,
BETPAP_HF_16A_2,6,0.852,,0.28216,lots,
BETPAP_HF_16B_1,6,0.4835,,0.14576,93.1,
BETPAP_HF_16B_2,6,0.8137,,0.24608,lots,
SAMRAC_GR_9_1,7,2.77,,0.74761,142,
SAMRAC_GR_9_2,7,1.92,,0.59269,,
SAMRAC_GR_4_1,7,2.24,,0.53007,68.4,
SAMRAC_GR_4_2,7,2.661,,0.59028,,
DIELON_HF_3_1,7,0.325,,0.09285,85.6,
DIELON_HF_3_2,7,0.834,,0.22669,,
SAMRAC_GR_2_1,7,1.443,,0.33617,98.8,
SAMRAC_GR_2_2,7,3.22,,0.71946,,
DIELON_GR_5A_1,7,0.195,,0.05863,31.2,
DIELON_GR_5A_2,7,0.2375,,0.07515,,
SORAME_GR_9A_1,7,0.949,,0.30844,50.1,
SORAME_GR_9A_2,7,0.529,,0.16433,,
SAMRAC_GR_7A_1,7,3.717,,0.88275,158.6,
SAMRAC_GR_7A_2,7,3.17,,0.83234,,
DIELON_HF_1A_1,7,0.496,,0.159,43.7,
DIELON_HF_1A_2,7,0.447,,0.14277,,
DIELON_HF_4_1,7,0.3767,,0.11686,32.8,
DIELON_HF_4_2,7,0.461,,0.15852,,
SORAME_SH_3_1,7,1.537,,0.54727,48.4,
SORAME_SH_3_2,7,0.9856,,0.34809,,
SORAME_GR_9B_1,7,0.716,,0.23891,31.4,
SORAME_GR_9B_2,7,0.6372,,0.20846,,
DIELON_GR_5B_1,7,0.5168,,0.15483,73,
DIELON_GR_5B_2,7,0.518,,0.15245,,
SORAME_GR_9C_1,7,0.25275,,0.0761,30.4,
SORAME_GR_9C_2,7,0.656,,0.2123,,
DIELON_SH_4_1,7,0.40962,,0.12684,79.8,
DIELON_SH_4_2,7,0.621,,0.16906,,
DIELON_GR_5C_1,7,0.4114,,0.10462,69.4,
DIELON_GR_5C_2,7,0.56203,,0.17867,,
DIELON_HF_2_1,7,0.29589,,0.10596,41.4,
DIELON_HF_2_2,7,0.502,,0.15851,,
DIELON_HF_1B_1,7,0.32381,,0.11004,83.2,
DIELON_HF_1B_2,7,0.4425,,0.14535,,
ACESPI_GR_4_1,7,0.477,,0.14209,84.8,
ACESPI_GR_4_2,7,0.664,,0.20301,,
SORAME_GR_9D_1,7,0.814,,0.26719,59.2,
SORAME_GR_9D_2,7,0.461,,0.14169,,
SAMRAC_GR_7B_1,7,1.572,,0.3669,103.6,
SAMRAC_GR_7B_2,7,2.08,,0.45305,,
ACESPI_WM_1_1,7,0.3167,,0.12182,57.4,
ACESPI_WM_1_2,7,0.7824,,0.30096,,
DIELON_WM_1,7,0.3437,,0.11134,48.4,
DIELON_WM_2,7,0.3557,,0.11206,,
VIBCAS_GR_5_1,8,0.757,,0.22509,56.6,
VIBCAS_GR_5_2,8,0.501,,0.1525,,
SPITOM_GR_1_1,8,0.058,,0.02022,50.6,
SPITOM_GR_1_2,8,0.0205,,0.00799,,
SPIALB_SH_7B_1,8,0.0589,,0.02106,85.4,
SPIALB_SH_7B_2,8,0.06,,0.02092,,
VIBCAS_WM_9B_1,8,0.678,,0.19822,65.7,
VIBCAS_WM_9B_2,8,0.527,,0.15053,,
SPITOM_HF_13_1,8,0.0408,,0.01468,76.4,
SPITOM_HF_13_2,8,0.0453,,0.01559,,
SPIALB_HF_2_1,8,0.0556,,0.02289,134,
SPIALB_HF_2_2,8,0.0764,,0.02353,,
VIBCAS_GR_12B_1,8,0.553,,0.15511,74.2,
VIBCAS_GR_12B_2,8,0.921,,0.30923,,
SPITOM_WM_4B_1,8,0.0152,,0.00724,65.4,
SPITOM_WM_4B_2,8,0.0233,,0.01041,,
MYRGAL_SH_2_1,8,0.0527,,0.01521,67.8,
MYRGAL_SH_2_2,8,0.0421,,0.01225,,
SPIALB_GR_3_1,8,0.0718,,0.02102,78.8,
SPIALB_GR_3_2,8,0.0646,,0.01628,,
SPIALB_GR_12B_1,8,0.0697,,0.02265,84.6,
SPIALB_GR_12B_2,8,0.0544,,0.01715,,
SPITOM_WM_5_1,8,0.0495,,0.01604,50.2,
SPITOM_WM_5_2,8,0.0682,,0.02443,,
*SPITOM_GR_2E_1***mislabeld coin envelope,8,0.0473,,0.01721,30.6,
**SPITOM_GR_2E_2,8,0.0345,,0.01878,,
SPITOM_GR_2D_1 - change from C to D!,8,0.0471,,0.01727,34.4,
SPITOM_GR_2D_2 - change from C to D!!,8,0.0323,,0.01189,,
SPIALB_WM_7B_1,8,0.0406,,0.0113,77.4,
SPIALB_WM_7B_2,8,0.0733,,0.02128,,
SPITOM_HF_9B_1,8,0.0236,,0.00754,47.8,
SPITOM_HF_9B_2,8,0.0687,,0.02237,,
SPITOM_GR_2A_1,8,0.014,,0.00512,33.5,
SPITOM_GR_2A_2,8,0.0396,,0.01245,,
SPIALB_GR_5_1,8,0.0654,,0.0252,70.2,
SPIALB_GR_5_2,8,0.0693,,0.02291,,
VIBCAS_SH_5C_1,8,0.667,,0.22732,76.4,
VIBCAS_SH_5C_2,8,0.5224,,0.17918,,
SPIALB_GR_12A_1,8,0.0647,,0.02081,85.6,
SPIALB_GR_12A_2,8,0.0703,,0.02006,,
SPITOM_WM_4A_1,8,0.0191,,0.00751,59.2,
SPITOM_WM_4A_2,8,0.0362,,0.01222,,
SPITOM_GR_2B_1,8,0.0516,,0.01791,47.4,
SPITOM_GR_2B_2,8,0.0553,,0.01182,,
VIBCAS_GR_12A_1,8,0.602,,0.18177,36.4,
VIBCAS_GR_12A_2,8,0.678,,0.20447,,
SPIALB_WM_7A_1,8,0.0976,,0.02739,61.6,
SPIALB_WM_7A_2,8,0.0609,,0.01811,,
VIBCAS_SH_5B_1,8,0.816,,0.23558,63.8,
VIBCAS_SH_5B_2,8,0.646,,0.18911,,
AROMEL_WM_7_1,8,0.115,,0.04289,90.6,
AROMEL_WM_7_2,8,0.272,,0.08542,,
AROMEL_HF_10_1,8,0.1826,,0.06124,118.8,
AROMEL_HF_10_2,8,0.1962,,0.06227,,
MYRGAL_SH_1_1,8,0.046,,0.01438,55.6,
MYRGAL_SH_1_2,8,0.0535,,0.01433,,
SPITOM_HF_9A_1,8,0.0322,,0.01192,79.6,
SPITOM_HF_9A_2,8,0.0606,,0.01877,,
SPIALB_SH_7A_1,8,0.0808,,0.02061,63.8,
SPIALB_SH_7A_2,8,0.0957,,0.02679,,
SPIALB_GR_9_1,8,0.0547,,0.01571,79.4,
SPIALB_GR_9_2,8,0.076,,0.02883,,
MYRGAL_WM_6B_1,8,0.1075,,0.02811,54.4,
MYRGAL_WM_6B_2,8,0.0779,,0.02226,,
SPIALB_HF_3_1,8,0.06994,,0.01884,118.4,
SPIALB_HF_3_2,8,0.08457,,0.02215,,
VIBCAS_WM_9A_1,8,0.5203,,0.16157,78.6,
VIBCAS_WM_9A_2,8,0.6233,,0.18174,,
SPITOM_HF_6A_1,8,0.0253,,0.00961,62.8,
SPITOM_HF_6A_2,8,0.0684,,0.02324,,
VIBCAS_SH_1B_1,8,0.409,,0.11972,65.8,
VIBCAS_SH_1B_2,8,0.771,,0.21859,,
VIBCAS_SH_1A_1,8,0.226,,0.06689,31.4,
VIBCAS_SH_1A_2,8,0.308,,0.09502,,
AROMEL_HF_4_1,8,0.313,,0.10115,111.1,
AROMEL_HF_4_2,8,0.354,,0.11027,,
MYRGAL_WM_6A_1,8,0.0714,,0.02059,57.2,
MYRGAL_WM_6A_2,8,0.06734,,0.01933,,
VIBCAS_SH_5A_1,8,0.6156,,0.19815,87.8,
VIBCAS_SH_5A_2,8,0.5121,,0.16063,,
VIBCAS_WM_4_1,8,0.736,,0.22477,62.8,
VIBCAS_WM_4_2,8,0.75,,0.21347,,
BETALL_SH_9_1,9,0.347,,0.11339,38.2,
BETALL_SH_9_2,9,0.3485,,0.11249,,
BETPOP_WM_7_1,9,0.2911,,0.08594,153.4,
BETPOP_WM_7_2,9,0.3927,,0.11433,,
BETPAP_GR_9_1,9,0.9147,,0.28326,85.6,
BETPAP_GR_9_2,9,0.9111,,0.28649,,
BETALL_WM_8_1,9,0.3041,,0.09173,70.6,
BETALL_WM_8_2,9,0.3831,,0.12197,,
ALNINC_SH_8_1,9,0.5038,,0.16231,238.2,1.7
ALNINC_SH_8_2,9,0.4951,,0.15414,,
BETALL_SH_5_1,9,0.6216,,0.15611,66.2,
BETALL_SH_5_2,9,0.643,,0.16045,,
BETALL_SH_4B_1,9,0.1556,,0.05055,31.2,
BETALL_SH_4B_2,9,0.189,,0.06213,,
BETALL_SH_4A_1,9,0.3162,,0.0855,32.4,
BETALL_SH_4A_2,9,0.32764,,0.08891,,
ALNINC_HF_9_1,9,0.45304,,0.14657,205.6,1
ALNINC_HF_9_2,9,0.48234,,0.15289,,
BETPOP_HF_4_1,9,0.21459,,0.0733,126.4,1
BETPOP_HF_4_2,9,0.25753,,0.08797,,
SAMRAC_HF_B_1,10,2.751,,0.6001,153.6,
SAMRAC_HF_B_2,10,3.5142,,0.79107,,
SAMRAC_GR_1_1,10,0.47749,,0.12735,20.6,
SAMRAC_GR_1_2,10,0.3829,,0.08512,,
SAMRAC_HF_A_1,10,3.509,,0.65012,150.4,
SAMRAC_HF_A_2,10,2.846,,0.55066,,
SAMRAC_GR_7_1,10,0.8263,,0.20003,18.2,
SAMRAC_GR_7_2,10,0.6923,,0.16546,,
SORAME_SH_3B_1,10,0.7091,,0.25124,46.6,
SORAME_SH_3B_2,10,0.7932,,0.29086,,
DIELON_SH_4A_1,10,0.06525,,0.02752,53,
DIELON_SH_4A_2,10,0.27443,,0.09841,,
SORAME_SH_3A_1,10,0.4868,,0.16825,23.6,
SORAME_SH_3A_2,10,0.41151,,0.14049,,
DIELON_HF_1_1,10,0.05389,,0.02088,24.6,
DIELON_HF_1_2,10,0.12278,,0.04753,,
ACESPI_GR_4_1,10,0.28103,,0.09407,52.2,
ACESPI_GR_4_2,10,0.36337,,0.12581,,
SORAME_GR_9B_1,10,0.99742,,0.35616,39.6,
SORAME_GR_9B_2,10,0.409,,0.12377,,
SPIALB_WM_2A_1,11,0.03763,,0.01129,28.8,
SPIALB_WM_2A_2,11,0.03291,,0.01006,,
SPIALB_WM_5_1,11,0.07202,,0.02311,46.6,
SPIALB_WM_5_2,11,0.06627,,0.02084,,
SPITOM_SH_99D_1,11,0.01764,,0.00764,36.4,
SPITOM_SH_99D_2,11,0.04894,,0.01845,,
SPIALB_WM_4C_1,11,0.06927,,0.02454,66.8,
SPIALB_WM_4C_2,11,0.08925,,0.03057,,
MYRGAL_WM_6B_1,11,0.04483,,0.01221,22,
MYRGAL_WM_6B_2,11,0.04734,,0.01375,,
SPITOM_SH_99B_1,11,0.03545,,0.01251,48.1,
SPITOM_SH_99B_2,11,0.05065,,0.01743,,
SPITOM_SH_99C_1,11,0.01389,,0.00621,45.9,
SPITOM_SH_99C_2,11,0.05509,,0.02164,,
SPITOM_HF_5_1,11,0.01624,,0.00663,47.8,
SPITOM_HF_5_2,11,0.01882,,0.0066,,
SPIALB_WM_4B_1,11,0.0737,,0.02573,63.6,
SPIALB_WM_4B_2,11,0.08185,,0.02908,,
SPIALB_WM_4A_1,11,0.07777,,0.02662,64.2,
SPIALB_WM_4A_2,11,0.10082,,0.03668,,
SPIALB_HF_4A_1,11,0.06447,,0.01912,68.8,
SPIALB_HF_4A_2,11,0.098,,0.03076,,
VIBCAS_WM_4_1,11,0.40227,,0.12838,67.4,
VIBCAS_WM_4_2,11,0.496,,0.17587,,
MYRGAL_WM_6A_1,11,0.06009,,0.0185,44.6,
MYRGAL_WM_6A_2,11,0.10812,,0.03704,,
SPITOM_GR_1B_1,11,0.05284,,0.01843,41.2,
SPITOM_GR_1B_2,11,0.0587,,0.02078,,
SPIALB_HF_10_1,11,0.04401,,0.01502,123.6,
SPIALB_HF_10_2,11,0.0552,,0.01703,,
AROMEL_HF_12_1,11,0.14635,,0.05265,92.4,
AROMEL_HF_12_2,11,0.22664,,0.07684,,
VIBCAS_WM_10_1,11,0.3417,,0.11239,51.1,
VIBCAS_WM_10_2,11,0.4034,,0.13935,,
VIBCAS_WM_9A_1,11,0.4554,,0.13957,65.7,
VIBCAS_WM_9A_2,11,0.70539,,0.21602,,
SPITOM_SH_99E_1,11,0.3981,,0.01393,38.4,
SPITOM_SH_99E_2,11,0.04633,,0.0166,,
VIBCAS_WM_9B_1,11,0.3785,,0.11508,46.3,
VIBCAS_WM_9B_2,11,0.4554,,0.14351,,
SPIALB_HF_4B_1,11,0.03207,,0.01422,70.9,
SPIALB_HF_4B_2,11,0.04888,,0.01596,,
SPITOM_SH_99F_1,11,0.01188,,0.00514,50.8,
SPITOM_SH_99F_2,11,0.053,,0.0197,,
AROMEL_WM_5_1,11,0.1028,,0.04014,52.6,
AROMEL_WM_5_2,11,0.15287,,0.05247,,
VIBCAS_SH_9_1,11,0.16391,,0.0546,21.2,
VIBCAS_SH_9_2,11,0.29033,,0.09351,,
SPITOM_GR_1A_1,11,0.04253,,0.01635,44.8,
SPITOM_GR_1A_2,11,0.1069,,0.03671,,
SPITOM_HF_6_1,11,0.03083,,0.01202,36.1,
