"","spp","year","site","ind","provenance.long","provenance.lat","plot","leafout","leafcolor","fgs","fgsGDD"
"157","BETALL",2018,"GR","13",-71.146683,44.794942,1,128,277,149,1599.07222222222
"158","BETALL",2018,"GR","14",-71.146683,44.794942,15,135,263,128,1476.94722222222
"159","BETALL",2018,"GR","14",-71.146683,44.794942,16,142,253,111,1338.75
"160","BETALL",2018,"GR","9",-71.146683,44.794942,3,128,297,169,1678.475
"161","BETALL",2018,"SH","4",-74.02507,45.932675,3,131,268,137,1524.00833333333
"162","BETALL",2018,"SH","4A",-74.02507,45.932675,9,124,274,150,1605.81666666666
"163","BETALL",2018,"SH","4B",-74.02507,45.932675,9,131,268,137,1524.00833333333
"164","BETALL",2018,"SH","5",-74.02507,45.932675,6,131,274,143,1564.89722222222
"165","BETALL",2018,"SH","5",-74.02507,45.932675,9,135,268,133,1502.87222222222
"166","BETALL",2018,"SH","7",-74.02507,45.932675,16,142,263,121,1439.33333333333
"167","BETALL",2018,"WM","8",-71.230138,44.112337,1,138,297,159,1625.11944444444
"168","BETALL",2018,"WM","8",-71.230138,44.112337,9,131,268,137,1524.00833333333
"169","BETALL",2018,"WM","8A",-71.230138,44.112337,12,142,288,146,1585.09444444445
"170","BETALL",2018,"WM","8A",-71.230138,44.112337,5,131,281,150,1602.60555555556
"171","BETALL",2018,"WM","8B",-71.230138,44.112337,5,128,288,160,1661.73055555556
"172","BETALL",2019,"GR","1",-71.146683,44.794942,3,135,240,105,1179.87222222222
"173","BETALL",2019,"GR","12",-71.146683,44.794942,1,115,240,125,1222.28888888889
"174","BETALL",2019,"GR","12",-71.146683,44.794942,3,123,240,117,1212.51388888889
"175","BETALL",2019,"GR","13",-71.146683,44.794942,15,119,232,113,1136.08333333333
"176","BETALL",2019,"GR","13",-71.146683,44.794942,2,123,240,117,1212.51388888889
"177","BETALL",2019,"GR","14",-71.146683,44.794942,15,119,232,113,1136.08333333333
"178","BETALL",2019,"GR","14",-71.146683,44.794942,16,119,232,113,1136.08333333333
"179","BETALL",2019,"GR","9",-71.146683,44.794942,3,127,240,113,1201.06388888889
"180","BETALL",2019,"SH","2",-74.02507,45.932675,6,115,240,125,1222.28888888889
"181","BETALL",2019,"SH","4",-74.02507,45.932675,3,135,240,105,1179.87222222222
"182","BETALL",2019,"SH","4A",-74.02507,45.932675,9,119,232,113,1136.08333333333
"183","BETALL",2019,"SH","4B",-74.02507,45.932675,9,137,240,103,1169.92222222222
"184","BETALL",2019,"SH","5",-74.02507,45.932675,6,119,240,121,1216.84722222222
"185","BETALL",2019,"SH","7",-74.02507,45.932675,16,119,232,113,1136.08333333333
"186","BETALL",2019,"SH","9",-74.02507,45.932675,6,127,240,113,1201.06388888889
"187","BETALL",2019,"SH","9",-74.02507,45.932675,9,119,245,126,1269.17777777778
"188","BETALL",2019,"WM","8",-71.230138,44.112337,1,135,267,132,1416.57222222222
"189","BETALL",2019,"WM","8",-71.230138,44.112337,9,119,232,113,1136.08333333333
"190","BETALL",2019,"WM","8A",-71.230138,44.112337,12,115,240,125,1222.28888888889
"191","BETALL",2019,"WM","8A",-71.230138,44.112337,5,123,240,117,1212.51388888889
"192","BETALL",2019,"WM","8B",-71.230138,44.112337,12,127,240,113,1201.06388888889
"193","BETALL",2019,"WM","8B",-71.230138,44.112337,5,127,232,105,1120.3
"194","BETALL",2019,"WM","9",-71.230138,44.112337,5,127,240,113,1201.06388888889
"195","BETALL",2020,"GR","1",-71.146683,44.794942,3,135,268,133,1565.48055555555
"196","BETALL",2020,"GR","12",-71.146683,44.794942,1,143,248,105,1362.08611111112
"197","BETALL",2020,"GR","12",-71.146683,44.794942,3,135,268,133,1565.48055555555
"198","BETALL",2020,"GR","13",-71.146683,44.794942,1,130,275,144.5,1657.35555555555
"199","BETALL",2020,"GR","13",-71.146683,44.794942,15,135,268,133,1565.48055555555
"200","BETALL",2020,"GR","13",-71.146683,44.794942,2,143,268,125,1520.475
"201","BETALL",2020,"GR","14",-71.146683,44.794942,15,143,275,132,1593.33611111111
"202","BETALL",2020,"GR","14",-71.146683,44.794942,16,135,293,158,1718.36944444444
"203","BETALL",2020,"GR","9",-71.146683,44.794942,3,143,275,132,1593.33611111111
"204","BETALL",2020,"SH","2",-74.02507,45.932675,6,148,275,127,1560.57222222222
"205","BETALL",2020,"SH","4",-74.02507,45.932675,3,135,275,140,1638.34166666666
"206","BETALL",2020,"SH","4A",-74.02507,45.932675,9,143,293,150,1673.36388888889
"207","BETALL",2020,"SH","5",-74.02507,45.932675,6,143,275,132,1593.33611111111
"208","BETALL",2020,"SH","5",-74.02507,45.932675,9,143,293,150,1673.36388888889
"209","BETALL",2020,"SH","7",-74.02507,45.932675,16,135,275,140,1638.34166666666
"210","BETALL",2020,"SH","9",-74.02507,45.932675,6,148,275,127,1560.57222222222
"211","BETALL",2020,"SH","9",-74.02507,45.932675,9,154,275,121,1506.99444444444
"212","BETALL",2020,"WM","8",-71.230138,44.112337,1,143,275,132,1593.33611111111
"213","BETALL",2020,"WM","8A",-71.230138,44.112337,12,135,268,133,1565.48055555555
"214","BETALL",2020,"WM","8A",-71.230138,44.112337,5,135,275,140,1638.34166666666
"215","BETALL",2020,"WM","8B",-71.230138,44.112337,12,143,275,132,1593.33611111111
"216","BETALL",2020,"WM","8B",-71.230138,44.112337,5,143,229,86,1138.36666666667
"217","BETALL",2020,"WM","9",-71.230138,44.112337,5,143,275,132,1593.33611111111
"218","BETALL",2020,"WM","9",-71.230138,44.112337,9,135,293,158,1718.36944444444
"219","BETPAP",2018,"GR","5",-71.146683,44.794942,1,184,260,76,1006.71944444444
"220","BETPAP",2018,"GR","5B",-71.146683,44.794942,2,138,268,130,1488.53888888888
"221","BETPAP",2018,"GR","8",-71.146683,44.794942,3,124,274,150,1605.81666666666
"222","BETPAP",2018,"GR","8",-71.146683,44.794942,5,135,274,139,1543.76111111111
"223","BETPAP",2018,"GR","8",-71.146683,44.794942,6,131,268,137,1524.00833333333
"224","BETPAP",2018,"HF","16",-72.18992,42.531705,12,124,274,150,1605.81666666666
"225","BETPAP",2018,"HF","16",-72.18992,42.531705,3,124,274,150,1605.81666666666
"226","BETPAP",2018,"HF","16B",-72.18992,42.531705,6,124,274,150,1605.81666666666
"227","BETPAP",2018,"SH","1B",-74.02507,45.932675,1,124,268,144,1564.92777777777
"228","BETPAP",2019,"GR","5",-71.146683,44.794942,1,127,232,105,1120.3
"229","BETPAP",2019,"GR","5A",-71.146683,44.794942,2,127,245,118,1253.39444444445
"230","BETPAP",2019,"GR","5B",-71.146683,44.794942,2,155,240,85,1053.225
"231","BETPAP",2019,"GR","8",-71.146683,44.794942,12,115,240,125,1222.28888888889
"232","BETPAP",2019,"GR","8",-71.146683,44.794942,3,123,232,109,1131.75
"233","BETPAP",2019,"GR","8",-71.146683,44.794942,5,119,232,113,1136.08333333333
"234","BETPAP",2019,"GR","8",-71.146683,44.794942,6,135,232,97,1099.10833333333
"235","BETPAP",2019,"HF","16",-72.18992,42.531705,12,119,232,113,1136.08333333333
"236","BETPAP",2019,"HF","16",-72.18992,42.531705,2,115,240,125,1222.28888888889
"237","BETPAP",2019,"HF","16",-72.18992,42.531705,3,119,232,113,1136.08333333333
"238","BETPAP",2019,"HF","16",-72.18992,42.531705,5,119,232,113,1136.08333333333
"239","BETPAP",2019,"HF","16A",-72.18992,42.531705,6,115,232,117,1141.525
"240","BETPAP",2019,"HF","16B",-72.18992,42.531705,6,115,240,125,1222.28888888889
"241","BETPAP",2019,"SH","1A",-74.02507,45.932675,1,129,232,103,1114.18888888888
"242","BETPAP",2019,"SH","1B",-74.02507,45.932675,1,119,232,113,1136.08333333333
"243","BETPAP",2020,"GR","5",-71.146683,44.794942,1,148,241,93,1258.21111111111
"244","BETPAP",2020,"GR","5A",-71.146683,44.794942,2,135,293,158,1718.36944444444
"245","BETPAP",2020,"GR","8",-71.146683,44.794942,12,143,268,125,1520.475
"246","BETPAP",2020,"GR","8",-71.146683,44.794942,3,157,282,125,1503.98055555555
"247","BETPAP",2020,"GR","8",-71.146683,44.794942,5,148,293,145,1640.6
"248","BETPAP",2020,"GR","8",-71.146683,44.794942,6,130,275,144.5,1657.35555555555
"249","BETPAP",2020,"HF","16",-72.18992,42.531705,12,148,301,153,1672.79444444445
"250","BETPAP",2020,"HF","16",-72.18992,42.531705,2,130,293,162.5,1737.38333333333
"251","BETPAP",2020,"HF","16",-72.18992,42.531705,3,136,293,157.5,1709.29722222222
"252","BETPAP",2020,"HF","16",-72.18992,42.531705,5,143,263,120,1492.66944444445
"253","BETPAP",2020,"HF","16A",-72.18992,42.531705,6,132,301,168.5,1761.9
"254","BETPAP",2020,"HF","16B",-72.18992,42.531705,6,143,293,150,1673.36388888889
"255","BETPAP",2020,"SH","1A",-74.02507,45.932675,1,133,293,160,1727.46388888889
"256","BETPAP",2020,"SH","1B",-74.02507,45.932675,1,148,255,107,1408.93333333334
"257","BETPOP",2018,"GR","3",-71.146683,44.794942,6,124,268,144,1564.92777777777
"258","BETPOP",2018,"GR","5",-71.146683,44.794942,1,124,288,164,1684.76388888889
"259","BETPOP",2018,"GR","5A",-71.146683,44.794942,12,124,274,150,1605.81666666666
"260","BETPOP",2018,"GR","5A",-71.146683,44.794942,3,124,274,150,1605.81666666666
"261","BETPOP",2018,"GR","5B",-71.146683,44.794942,12,124,274,150,1605.81666666666
"262","BETPOP",2018,"HF","1",-72.18992,42.531705,3,124,288,164,1684.76388888889
"263","BETPOP",2018,"HF","3A",-72.18992,42.531705,6,124,274,150,1605.81666666666
"264","BETPOP",2018,"HF","5",-72.18992,42.531705,2,124,263,139,1539.00277777777
"265","BETPOP",2018,"WM","7",-71.230138,44.112337,1,124,274,150,1605.81666666666
"266","BETPOP",2018,"WM","7",-71.230138,44.112337,15,124,274,150,1605.81666666666
"267","BETPOP",2018,"WM","7",-71.230138,44.112337,6,124,281,157,1643.525
"268","BETPOP",2018,"WM","8",-71.230138,44.112337,16,142,263,121,1439.33333333333
"269","BETPOP",2019,"GR","3",-71.146683,44.794942,6,112,240,128,1230.12222222222
"270","BETPOP",2019,"GR","5",-71.146683,44.794942,1,119,240,121,1216.84722222222
"271","BETPOP",2019,"GR","5",-71.146683,44.794942,6,127,240,113,1201.06388888889
"272","BETPOP",2019,"GR","5A",-71.146683,44.794942,12,127,245,118,1253.39444444445
"273","BETPOP",2019,"GR","5A",-71.146683,44.794942,3,129,240,111,1194.95277777777
"274","BETPOP",2019,"GR","5B",-71.146683,44.794942,12,119,240,121,1216.84722222222
"275","BETPOP",2019,"GR","5B",-71.146683,44.794942,3,132,240,108,1183.51388888889
"276","BETPOP",2019,"GR","5C",-71.146683,44.794942,12,127,232,105,1120.3
"277","BETPOP",2019,"HF","1",-72.18992,42.531705,2,119,232,113,1136.08333333333
"278","BETPOP",2019,"HF","1",-72.18992,42.531705,3,119,240,121,1216.84722222222
"279","BETPOP",2019,"HF","3",-72.18992,42.531705,1,127,245,118,1253.39444444445
"280","BETPOP",2019,"HF","3A",-72.18992,42.531705,6,117,240,123,1221.15555555555
"281","BETPOP",2019,"HF","3B",-72.18992,42.531705,6,119,240,121,1216.84722222222
"282","BETPOP",2019,"HF","4",-72.18992,42.531705,9,134,245,110.5,1235.11111111111
"283","BETPOP",2019,"HF","5",-72.18992,42.531705,2,115,240,125,1222.28888888889
"284","BETPOP",2019,"HF","5",-72.18992,42.531705,6,119,240,121,1216.84722222222
"285","BETPOP",2019,"WM","7",-71.230138,44.112337,1,112,245,133,1282.45277777778
"286","BETPOP",2019,"WM","7",-71.230138,44.112337,15,119,240,121,1216.84722222222
"287","BETPOP",2019,"WM","7",-71.230138,44.112337,2,119,245,126,1269.17777777778
"288","BETPOP",2019,"WM","7",-71.230138,44.112337,3,119,245,126,1269.17777777778
"289","BETPOP",2019,"WM","7",-71.230138,44.112337,6,112,245,133,1282.45277777778
"290","BETPOP",2019,"WM","7",-71.230138,44.112337,9,112,240,128,1230.12222222222
"291","BETPOP",2019,"WM","8",-71.230138,44.112337,15,119,240,121,1216.84722222222
"292","BETPOP",2019,"WM","8",-71.230138,44.112337,16,115,240,125,1222.28888888889
"293","BETPOP",2019,"WM","9",-71.230138,44.112337,15,115,240,125,1222.28888888889
"294","BETPOP",2020,"GR","3",-71.146683,44.794942,16,135,293,158,1718.36944444444
"295","BETPOP",2020,"GR","3",-71.146683,44.794942,6,130,268,137.5,1584.49444444444
"296","BETPOP",2020,"GR","5",-71.146683,44.794942,1,143,275,132,1593.33611111111
"297","BETPOP",2020,"GR","5",-71.146683,44.794942,6,133,275,142,1647.43611111111
"298","BETPOP",2020,"GR","5A",-71.146683,44.794942,12,148,293,145,1640.6
"299","BETPOP",2020,"GR","5A",-71.146683,44.794942,3,135,282,147,1671.73055555555
"300","BETPOP",2020,"GR","5B",-71.146683,44.794942,12,135,268,133,1565.48055555555
"301","BETPOP",2020,"GR","5B",-71.146683,44.794942,3,143,275,132,1593.33611111111
"302","BETPOP",2020,"GR","5C",-71.146683,44.794942,12,135,255,120,1486.70277777778
"303","BETPOP",2020,"HF","1",-72.18992,42.531705,2,130,275,144.5,1657.35555555555
"304","BETPOP",2020,"HF","1",-72.18992,42.531705,3,130,268,137.5,1584.49444444444
"305","BETPOP",2020,"HF","3",-72.18992,42.531705,1,130,275,144.5,1657.35555555555
"306","BETPOP",2020,"HF","3A",-72.18992,42.531705,6,135,293,158,1718.36944444444
"307","BETPOP",2020,"HF","3B",-72.18992,42.531705,6,130,268,137.5,1584.49444444444
"308","BETPOP",2020,"HF","4",-72.18992,42.531705,9,133,275,142,1647.43611111111
"309","BETPOP",2020,"HF","5",-72.18992,42.531705,6,130,275,144.5,1657.35555555555
