"","spp","year","site","ind","provenance.long","provenance.lat","plot","leafout","budset","pgs","pgsGDD"
"40","ALNINC",2018,"WM","5B",-71.230138,44.112337,16,142,263,121,1439.33333333333
"41","ALNINC",2018,"WM","5B",-71.230138,44.112337,2,128,253,125,1415.38611111111
"42","ALNINC",2019,"GR","1",-71.146683,44.794942,3,119,274,155,1505.65
"43","ALNINC",2019,"GR","1",-71.146683,44.794942,5,119,263,144,1404.72222222222
"44","ALNINC",2019,"GR","11",-71.146683,44.794942,1,115,249,134,1310.35
"45","ALNINC",2019,"GR","11",-71.146683,44.794942,15,119,263,144,1404.72222222222
"46","ALNINC",2019,"GR","11A",-71.146683,44.794942,3,112,274,162,1518.925
"47","ALNINC",2019,"GR","11B",-71.146683,44.794942,3,119,274,155,1505.65
"48","ALNINC",2019,"GR","8",-71.146683,44.794942,16,127,263,136,1388.93888888889
"49","ALNINC",2019,"GR","8",-71.146683,44.794942,3,119,274,155,1505.65
"50","ALNINC",2019,"GR","8A",-71.146683,44.794942,5,129,274,145,1483.75555555555
"51","ALNINC",2019,"GR","8B",-71.146683,44.794942,5,119,263,144,1404.72222222222
"52","ALNINC",2019,"HF","1",-72.18992,42.531705,1,119,249,130,1304.90833333333
"53","ALNINC",2019,"HF","1",-72.18992,42.531705,16,119,249,130,1304.90833333333
"54","ALNINC",2019,"HF","2",-72.18992,42.531705,1,136,249,113.5,1262.48888888888
"55","ALNINC",2019,"HF","5",-72.18992,42.531705,6,129,263,134,1382.82777777777
"56","ALNINC",2019,"HF","8",-72.18992,42.531705,12,127,263,136,1388.93888888889
"57","ALNINC",2019,"HF","9",-72.18992,42.531705,15,119,253,134,1335.53888888889
"58","ALNINC",2019,"HF","9",-72.18992,42.531705,2,132,253,121,1302.20555555556
"59","ALNINC",2019,"HF","9",-72.18992,42.531705,6,123,253,130,1331.20555555556
"60","ALNINC",2019,"HF","9",-72.18992,42.531705,9,123,253,130,1331.20555555556
"61","ALNINC",2019,"SH","1",-74.02507,45.932675,1,119,274,155,1505.65
"62","ALNINC",2019,"SH","1",-74.02507,45.932675,12,123,263,140,1400.38888888889
"63","ALNINC",2019,"SH","3",-74.02507,45.932675,16,119,263,144,1404.72222222222
"64","ALNINC",2019,"SH","4",-74.02507,45.932675,15,115,253,138,1340.98055555556
"65","ALNINC",2019,"SH","5",-74.02507,45.932675,2,129,260,131,1366.48333333333
"66","ALNINC",2019,"SH","5",-74.02507,45.932675,3,123,274,151,1501.31666666667
"67","ALNINC",2019,"SH","6",-74.02507,45.932675,5,112,274,162,1518.925
"68","ALNINC",2019,"SH","8",-74.02507,45.932675,9,129,274,145,1483.75555555555
"69","ALNINC",2019,"WM","1",-71.230138,44.112337,1,123,249,126,1300.575
"70","ALNINC",2019,"WM","2A",-71.230138,44.112337,1,112,253,141,1348.81388888889
"71","ALNINC",2019,"WM","2B",-71.230138,44.112337,1,119,263,144,1404.72222222222
"72","ALNINC",2019,"WM","5",-71.230138,44.112337,1,112,274,162,1518.925
"73","ALNINC",2019,"WM","5A",-71.230138,44.112337,16,112,274,162,1518.925
"74","ALNINC",2019,"WM","5A",-71.230138,44.112337,2,123,253,130,1331.20555555556
"75","ALNINC",2019,"WM","5B",-71.230138,44.112337,16,123,274,151,1501.31666666667
"76","ALNINC",2019,"WM","5B",-71.230138,44.112337,2,119,274,155,1505.65
"77","ALNINC",2020,"GR","1",-71.146683,44.794942,3,143,282,139,1626.725
"78","ALNINC",2020,"GR","1",-71.146683,44.794942,5,148,282,134,1593.96111111111
"79","ALNINC",2020,"GR","11",-71.146683,44.794942,1,154,268,114,1434.13333333333
"80","ALNINC",2020,"GR","11",-71.146683,44.794942,15,143,282,139,1626.725
"81","ALNINC",2020,"GR","11A",-71.146683,44.794942,3,154,282,128,1540.38333333333
"82","ALNINC",2020,"GR","11B",-71.146683,44.794942,3,148,282,134,1593.96111111111
"83","ALNINC",2020,"GR","8",-71.146683,44.794942,16,143,282,139,1626.725
"84","ALNINC",2020,"GR","8",-71.146683,44.794942,3,154,282,128,1540.38333333333
"85","ALNINC",2020,"GR","8A",-71.146683,44.794942,5,154,282,128,1540.38333333333
"86","ALNINC",2020,"GR","8B",-71.146683,44.794942,5,154,282,128,1540.38333333333
"87","ALNINC",2020,"HF","1",-72.18992,42.531705,1,133,282,149,1680.825
"88","ALNINC",2020,"HF","1",-72.18992,42.531705,16,135,282,147,1671.73055555555
"89","ALNINC",2020,"HF","2",-72.18992,42.531705,1,143,282,139,1626.725
"90","ALNINC",2020,"HF","5",-72.18992,42.531705,6,154,282,128,1540.38333333333
"91","ALNINC",2020,"HF","8",-72.18992,42.531705,12,157,282,125,1503.98055555555
"92","ALNINC",2020,"HF","9",-72.18992,42.531705,15,154,282,128,1540.38333333333
"93","ALNINC",2020,"HF","9",-72.18992,42.531705,2,154,282,128,1540.38333333333
"94","ALNINC",2020,"HF","9",-72.18992,42.531705,6,157,282,125,1503.98055555555
"95","ALNINC",2020,"HF","9",-72.18992,42.531705,9,164,282,118,1438.98333333333
"96","ALNINC",2020,"SH","1",-74.02507,45.932675,12,143,275,132,1593.33611111111
"97","ALNINC",2020,"SH","3",-74.02507,45.932675,16,157,282,125,1503.98055555555
"98","ALNINC",2020,"SH","4",-74.02507,45.932675,15,154,275,121,1506.99444444444
"99","ALNINC",2020,"SH","4",-74.02507,45.932675,2,157,282,125,1503.98055555555
"100","ALNINC",2020,"SH","5",-74.02507,45.932675,3,139,282,143,1649.46944444444
"101","ALNINC",2020,"SH","6",-74.02507,45.932675,5,148,282,134,1593.96111111111
"102","ALNINC",2020,"WM","1",-71.230138,44.112337,1,143,282,139,1626.725
"103","ALNINC",2020,"WM","2B",-71.230138,44.112337,1,148,282,134,1593.96111111111
"104","ALNINC",2020,"WM","5",-71.230138,44.112337,1,148,282,134,1593.96111111111
"105","ALNINC",2020,"WM","5A",-71.230138,44.112337,16,148,282,134,1593.96111111111
"106","ALNINC",2020,"WM","5A",-71.230138,44.112337,2,143,282,139,1626.725
"107","ALNINC",2020,"WM","5B",-71.230138,44.112337,16,143,282,139,1626.725
"108","AMECAN",2019,"GR","10",-71.146683,44.794942,2,135,253,118,1298.56388888889
"109","AMECAN",2019,"GR","10",-71.146683,44.794942,6,112,240,128,1230.12222222222
"110","AMECAN",2019,"GR","10A",-71.146683,44.794942,3,112,232,120,1149.35833333333
"111","AMECAN",2019,"GR","10A",-71.146683,44.794942,5,135,240,105,1179.87222222222
"112","AMECAN",2019,"GR","10B",-71.146683,44.794942,3,112,249,137,1318.18333333333
"113","AMECAN",2019,"GR","10B",-71.146683,44.794942,5,119,232,113,1136.08333333333
"114","AMECAN",2019,"SH","3",-74.02507,45.932675,15,112,260,148,1401.65277777778
"115","AMECAN",2019,"SH","4",-74.02507,45.932675,5,112,260,148,1401.65277777778
"116","AMECAN",2019,"SH","4",-74.02507,45.932675,6,112,260,148,1401.65277777778
"117","AMECAN",2019,"WM","1",-71.230138,44.112337,2,112,256,144,1373.16666666667
"118","AMECAN",2020,"GR","10",-71.146683,44.794942,6,126,214,88,966.350000000002
"119","AMECAN",2020,"GR","10A",-71.146683,44.794942,3,128,214,86.5,961.069444444447
"120","AMECAN",2020,"GR","10B",-71.146683,44.794942,3,128,214,86.5,961.069444444447
"121","AMECAN",2020,"SH","3",-74.02507,45.932675,15,133,268,135,1574.575
"122","AMECAN",2020,"SH","4",-74.02507,45.932675,5,120,275,154.5,1694.82222222222
"123","AMECAN",2020,"SH","4",-74.02507,45.932675,6,126,255,129,1513.23888888889
"124","AROMEL",2019,"HF","10",-72.18992,42.531705,8,119,249,130,1304.90833333333
"125","AROMEL",2019,"HF","12",-72.18992,42.531705,11,115,240,125,1222.28888888889
"126","AROMEL",2019,"HF","12",-72.18992,42.531705,14,115,267,152,1458.98888888889
"127","AROMEL",2019,"HF","13",-72.18992,42.531705,14,115,249,134,1310.35
"128","AROMEL",2019,"HF","4",-72.18992,42.531705,8,119,249,130,1304.90833333333
"129","AROMEL",2019,"HF","8A",-72.18992,42.531705,11,119,249,130,1304.90833333333
"130","AROMEL",2019,"HF","8B",-72.18992,42.531705,11,115,240,125,1222.28888888889
"131","AROMEL",2019,"WM","15",-71.230138,44.112337,4,129,256,127,1337.99722222222
"132","AROMEL",2019,"WM","2",-71.230138,44.112337,14,115,253,138,1340.98055555556
"133","AROMEL",2019,"WM","2",-71.230138,44.112337,4,129,245,116,1247.28333333333
"134","AROMEL",2019,"WM","5",-71.230138,44.112337,11,119,249,130,1304.90833333333
"135","AROMEL",2019,"WM","5",-71.230138,44.112337,4,142,253,111,1250.18333333333
"136","AROMEL",2019,"WM","7",-71.230138,44.112337,8,115,249,134,1310.35
"137","AROMEL",2020,"HF","10",-72.18992,42.531705,8,126,268,142,1592.01666666666
"138","AROMEL",2020,"HF","12",-72.18992,42.531705,11,133,263,130,1546.76944444445
"139","AROMEL",2020,"HF","12",-72.18992,42.531705,14,133,263,130,1546.76944444445
"140","AROMEL",2020,"HF","13",-72.18992,42.531705,14,133,263,130,1546.76944444445
"141","AROMEL",2020,"HF","4",-72.18992,42.531705,8,126,275,149,1664.87777777777
"142","AROMEL",2020,"HF","8A",-72.18992,42.531705,11,133,263,130,1546.76944444445
"143","AROMEL",2020,"HF","8B",-72.18992,42.531705,11,133,268,135,1574.575
"144","AROMEL",2020,"WM","15",-71.230138,44.112337,4,124,282,158.5,1706.90833333333
"145","AROMEL",2020,"WM","2",-71.230138,44.112337,14,133,248,115,1416.18611111112
"146","AROMEL",2020,"WM","2",-71.230138,44.112337,4,128,282,154.5,1692.98611111111
"147","AROMEL",2020,"WM","5",-71.230138,44.112337,11,133,282,149,1680.825
"148","AROMEL",2020,"WM","7",-71.230138,44.112337,8,128,282,154.5,1692.98611111111
"149","BETALL",2018,"GR","1",-71.146683,44.794942,3,128,253,125,1415.38611111111
"150","BETALL",2018,"GR","12",-71.146683,44.794942,1,124,268,144,1564.92777777777
"151","BETALL",2018,"GR","12",-71.146683,44.794942,3,124,281,157,1643.525
"152","BETALL",2018,"GR","13",-71.146683,44.794942,1,128,268,140,1541.89444444444
"153","BETALL",2018,"GR","13",-71.146683,44.794942,15,131,253,122,1397.5
"154","BETALL",2018,"GR","13",-71.146683,44.794942,2,128,263,135,1515.96944444444
"155","BETALL",2018,"GR","14",-71.146683,44.794942,15,135,225,90,1022.21944444445
"156","BETALL",2018,"GR","14",-71.146683,44.794942,16,142,225,83,984.605555555559
"157","BETALL",2018,"GR","9",-71.146683,44.794942,3,128,263,135,1515.96944444444
"158","BETALL",2018,"SH","2",-74.02507,45.932675,6,124,263,139,1539.00277777777
"159","BETALL",2018,"SH","4",-74.02507,45.932675,3,131,263,132,1498.08333333333
"160","BETALL",2018,"SH","4A",-74.02507,45.932675,9,124,239,115,1260.22777777777
"161","BETALL",2018,"SH","4B",-74.02507,45.932675,9,131,239,108,1219.30833333333
"162","BETALL",2018,"SH","5",-74.02507,45.932675,6,131,263,132,1498.08333333333
"163","BETALL",2018,"SH","5",-74.02507,45.932675,9,135,232,97,1116.24722222223
"164","BETALL",2018,"SH","7",-74.02507,45.932675,16,142,239,97,1160.55833333333
"165","BETALL",2018,"SH","9",-74.02507,45.932675,6,131,239,108,1219.30833333333
"166","BETALL",2018,"SH","9",-74.02507,45.932675,9,128,239,111,1237.19444444444
"167","BETALL",2018,"WM","8",-71.230138,44.112337,1,138,277,139,1545.71666666666
"168","BETALL",2018,"WM","8",-71.230138,44.112337,9,131,239,108,1219.30833333333
"169","BETALL",2018,"WM","8A",-71.230138,44.112337,12,142,268,126,1465.25833333333
"170","BETALL",2018,"WM","8A",-71.230138,44.112337,5,131,256,125,1426.925
"171","BETALL",2018,"WM","8B",-71.230138,44.112337,12,138,268,130,1488.53888888888
"172","BETALL",2018,"WM","8B",-71.230138,44.112337,5,128,268,140,1541.89444444444
"173","BETALL",2018,"WM","9",-71.230138,44.112337,5,131,268,137,1524.00833333333
"174","BETALL",2018,"WM","9",-71.230138,44.112337,9,124,235,111,1209.70555555555
"175","BETALL",2019,"GR","1",-71.146683,44.794942,3,135,260,125,1351.40277777778
"176","BETALL",2019,"GR","12",-71.146683,44.794942,1,115,260,145,1393.81944444445
"177","BETALL",2019,"GR","12",-71.146683,44.794942,3,123,260,137,1384.04444444445
"178","BETALL",2019,"GR","13",-71.146683,44.794942,1,127,260,133,1372.59444444445
"179","BETALL",2019,"GR","13",-71.146683,44.794942,15,119,249,130,1304.90833333333
"180","BETALL",2019,"GR","13",-71.146683,44.794942,2,123,260,137,1384.04444444445
"181","BETALL",2019,"GR","14",-71.146683,44.794942,15,119,249,130,1304.90833333333
"182","BETALL",2019,"GR","14",-71.146683,44.794942,16,119,249,130,1304.90833333333
"183","BETALL",2019,"GR","9",-71.146683,44.794942,3,127,249,122,1289.125
"184","BETALL",2019,"SH","2",-74.02507,45.932675,6,115,249,134,1310.35
"185","BETALL",2019,"SH","4",-74.02507,45.932675,3,135,263,128,1367.74722222222
"186","BETALL",2019,"SH","4A",-74.02507,45.932675,9,119,263,144,1404.72222222222
"187","BETALL",2019,"SH","4B",-74.02507,45.932675,9,137,249,112,1257.98333333333
"188","BETALL",2019,"SH","5",-74.02507,45.932675,6,119,263,144,1404.72222222222
"189","BETALL",2019,"SH","7",-74.02507,45.932675,16,119,260,141,1388.37777777778
"190","BETALL",2019,"SH","9",-74.02507,45.932675,6,127,249,122,1289.125
"191","BETALL",2019,"SH","9",-74.02507,45.932675,9,119,263,144,1404.72222222222
"192","BETALL",2019,"WM","8",-71.230138,44.112337,1,135,260,125,1351.40277777778
"193","BETALL",2019,"WM","8",-71.230138,44.112337,9,119,260,141,1388.37777777778
"194","BETALL",2019,"WM","8A",-71.230138,44.112337,12,115,260,145,1393.81944444445
"195","BETALL",2019,"WM","8A",-71.230138,44.112337,5,123,249,126,1300.575
"196","BETALL",2019,"WM","8B",-71.230138,44.112337,12,127,274,147,1489.86666666667
"197","BETALL",2019,"WM","8B",-71.230138,44.112337,5,127,260,133,1372.59444444445
"198","BETALL",2019,"WM","9",-71.230138,44.112337,5,127,260,133,1372.59444444445
"199","BETALL",2020,"GR","1",-71.146683,44.794942,3,135,255,120,1486.70277777778
"200","BETALL",2020,"GR","12",-71.146683,44.794942,1,143,263,120,1492.66944444445
"201","BETALL",2020,"GR","12",-71.146683,44.794942,3,135,248,113,1407.09166666667
"202","BETALL",2020,"GR","13",-71.146683,44.794942,1,130,282,151.5,1690.74444444444
"203","BETALL",2020,"GR","13",-71.146683,44.794942,15,135,263,128,1537.675
"204","BETALL",2020,"GR","13",-71.146683,44.794942,2,143,255,112,1441.69722222223
"205","BETALL",2020,"GR","14",-71.146683,44.794942,15,143,263,120,1492.66944444445
"206","BETALL",2020,"GR","14",-71.146683,44.794942,16,135,248,113,1407.09166666667
"207","BETALL",2020,"GR","9",-71.146683,44.794942,3,143,248,105,1362.08611111112
"208","BETALL",2020,"SH","2",-74.02507,45.932675,6,148,255,107,1408.93333333334
"209","BETALL",2020,"SH","4",-74.02507,45.932675,3,135,248,113,1407.09166666667
"210","BETALL",2020,"SH","4A",-74.02507,45.932675,9,143,282,139,1626.725
"211","BETALL",2020,"SH","5",-74.02507,45.932675,6,143,268,125,1520.475
"212","BETALL",2020,"SH","5",-74.02507,45.932675,9,143,268,125,1520.475
"213","BETALL",2020,"SH","7",-74.02507,45.932675,16,135,268,133,1565.48055555555
"214","BETALL",2020,"SH","9",-74.02507,45.932675,6,148,263,115,1459.90555555556
"215","BETALL",2020,"SH","9",-74.02507,45.932675,9,154,268,114,1434.13333333333
"216","BETALL",2020,"WM","8",-71.230138,44.112337,1,143,268,125,1520.475
"217","BETALL",2020,"WM","8A",-71.230138,44.112337,12,135,248,113,1407.09166666667
"218","BETALL",2020,"WM","8A",-71.230138,44.112337,5,135,263,128,1537.675
"219","BETALL",2020,"WM","8B",-71.230138,44.112337,12,143,282,139,1626.725
"220","BETALL",2020,"WM","8B",-71.230138,44.112337,5,143,282,139,1626.725
"221","BETALL",2020,"WM","9",-71.230138,44.112337,5,143,268,125,1520.475
"222","BETALL",2020,"WM","9",-71.230138,44.112337,9,135,282,147,1671.73055555555
"223","BETPAP",2018,"GR","5",-71.146683,44.794942,1,184,274,90,1098.86666666666
"224","BETPAP",2018,"GR","5A",-71.146683,44.794942,2,124,263,139,1539.00277777777
"225","BETPAP",2018,"GR","8",-71.146683,44.794942,12,124,263,139,1539.00277777777
"226","BETPAP",2018,"GR","8",-71.146683,44.794942,3,124,268,144,1564.92777777777
"227","BETPAP",2018,"GR","8",-71.146683,44.794942,5,135,253,118,1376.36388888889
"228","BETPAP",2018,"GR","8",-71.146683,44.794942,6,131,246,115,1319.83333333333
"229","BETPAP",2018,"HF","16",-72.18992,42.531705,12,124,274,150,1605.81666666666
"230","BETPAP",2018,"HF","16",-72.18992,42.531705,2,124,263,139,1539.00277777777
"231","BETPAP",2018,"HF","16",-72.18992,42.531705,3,124,270,146,1586.175
"232","BETPAP",2018,"HF","16",-72.18992,42.531705,5,124,268,144,1564.92777777777
"233","BETPAP",2018,"HF","16A",-72.18992,42.531705,6,124,274,150,1605.81666666666
"234","BETPAP",2018,"HF","16B",-72.18992,42.531705,6,124,274,150,1605.81666666666
"235","BETPAP",2018,"SH","1A",-74.02507,45.932675,1,128,263,135,1515.96944444444
"236","BETPAP",2018,"SH","1B",-74.02507,45.932675,1,124,263,139,1539.00277777777
"237","BETPAP",2019,"GR","5",-71.146683,44.794942,1,127,274,147,1489.86666666667
"238","BETPAP",2019,"GR","5A",-71.146683,44.794942,2,127,263,136,1388.93888888889
"239","BETPAP",2019,"GR","8",-71.146683,44.794942,12,115,260,145,1393.81944444445
"240","BETPAP",2019,"GR","8",-71.146683,44.794942,3,123,274,151,1501.31666666667
"241","BETPAP",2019,"GR","8",-71.146683,44.794942,5,119,274,155,1505.65
"242","BETPAP",2019,"GR","8",-71.146683,44.794942,6,135,263,128,1367.74722222222
"243","BETPAP",2019,"HF","16",-72.18992,42.531705,3,119,274,155,1505.65
"244","BETPAP",2019,"HF","16",-72.18992,42.531705,5,119,274,155,1505.65
"245","BETPAP",2019,"HF","16A",-72.18992,42.531705,6,115,274,159,1511.09166666667
"246","BETPAP",2019,"HF","16B",-72.18992,42.531705,6,115,267,152,1458.98888888889
"247","BETPAP",2019,"SH","1A",-74.02507,45.932675,1,129,274,145,1483.75555555555
"248","BETPAP",2019,"SH","1B",-74.02507,45.932675,1,119,274,155,1505.65
"249","BETPAP",2020,"GR","5",-71.146683,44.794942,1,148,255,107,1408.93333333334
"250","BETPAP",2020,"GR","5A",-71.146683,44.794942,2,135,263,128,1537.675
"251","BETPAP",2020,"GR","8",-71.146683,44.794942,12,143,255,112,1441.69722222223
"252","BETPAP",2020,"GR","8",-71.146683,44.794942,5,148,282,134,1593.96111111111
"253","BETPAP",2020,"GR","8",-71.146683,44.794942,6,130,268,137.5,1584.49444444444
"254","BETPAP",2020,"HF","16",-72.18992,42.531705,12,148,293,145,1640.6
"255","BETPAP",2020,"HF","16",-72.18992,42.531705,2,130,282,151.5,1690.74444444444
"256","BETPAP",2020,"HF","16",-72.18992,42.531705,3,136,282,146.5,1662.65833333333
"257","BETPAP",2020,"HF","16",-72.18992,42.531705,5,143,293,150,1673.36388888889
"258","BETPAP",2020,"HF","16A",-72.18992,42.531705,6,132,293,160.5,1729.70555555555
"259","BETPAP",2020,"HF","16B",-72.18992,42.531705,6,143,282,139,1626.725
"260","BETPAP",2020,"SH","1A",-74.02507,45.932675,1,133,275,142,1647.43611111111
"261","BETPAP",2020,"SH","1B",-74.02507,45.932675,1,148,282,134,1593.96111111111
"262","BETPOP",2018,"GR","3",-71.146683,44.794942,6,124,268,144,1564.92777777777
"263","BETPOP",2018,"GR","5",-71.146683,44.794942,1,124,239,115,1260.22777777777
"264","BETPOP",2018,"GR","5",-71.146683,44.794942,6,124,268,144,1564.92777777777
"265","BETPOP",2018,"GR","5A",-71.146683,44.794942,12,124,268,144,1564.92777777777
"266","BETPOP",2018,"GR","5A",-71.146683,44.794942,3,124,263,139,1539.00277777777
"267","BETPOP",2018,"GR","5B",-71.146683,44.794942,12,124,268,144,1564.92777777777
"268","BETPOP",2018,"GR","5B",-71.146683,44.794942,3,124,260,136,1513.66944444444
"269","BETPOP",2018,"GR","5C",-71.146683,44.794942,12,124,253,129,1438.41944444444
"270","BETPOP",2018,"HF","1",-72.18992,42.531705,2,124,268,144,1564.92777777777
"271","BETPOP",2018,"HF","1",-72.18992,42.531705,3,124,270,146,1586.175
"272","BETPOP",2018,"HF","3",-72.18992,42.531705,1,124,260,136,1513.66944444444
"273","BETPOP",2018,"HF","3A",-72.18992,42.531705,6,124,263,139,1539.00277777777
"274","BETPOP",2018,"HF","3B",-72.18992,42.531705,6,124,263,139,1539.00277777777
"275","BETPOP",2018,"HF","4",-72.18992,42.531705,9,124,297,173,1701.50833333333
"276","BETPOP",2018,"HF","5",-72.18992,42.531705,2,124,263,139,1539.00277777777
"277","BETPOP",2018,"HF","5",-72.18992,42.531705,6,124,270,146,1586.175
"278","BETPOP",2018,"WM","7",-71.230138,44.112337,1,124,268,144,1564.92777777777
"279","BETPOP",2018,"WM","7",-71.230138,44.112337,15,124,268,144,1564.92777777777
"280","BETPOP",2018,"WM","7",-71.230138,44.112337,2,124,274,150,1605.81666666666
"281","BETPOP",2018,"WM","7",-71.230138,44.112337,3,124,268,144,1564.92777777777
"282","BETPOP",2018,"WM","7",-71.230138,44.112337,6,124,268,144,1564.92777777777
"283","BETPOP",2018,"WM","7",-71.230138,44.112337,9,124,268,144,1564.92777777777
"284","BETPOP",2018,"WM","8",-71.230138,44.112337,15,124,268,144,1564.92777777777
"285","BETPOP",2018,"WM","8",-71.230138,44.112337,16,142,268,126,1465.25833333333
"286","BETPOP",2018,"WM","9",-71.230138,44.112337,15,124,263,139,1539.00277777777
"287","BETPOP",2019,"GR","5",-71.146683,44.794942,6,127,263,136,1388.93888888889
"288","BETPOP",2019,"GR","5A",-71.146683,44.794942,12,127,274,147,1489.86666666667
"289","BETPOP",2019,"GR","5A",-71.146683,44.794942,3,129,267,138,1431.65277777777
"290","BETPOP",2019,"GR","5B",-71.146683,44.794942,12,119,274,155,1505.65
"291","BETPOP",2019,"GR","5B",-71.146683,44.794942,3,132,260,128,1355.04444444445
"292","BETPOP",2019,"GR","5C",-71.146683,44.794942,12,127,240,113,1201.06388888889
"293","BETPOP",2019,"HF","1",-72.18992,42.531705,2,119,267,148,1453.54722222222
"294","BETPOP",2019,"HF","1",-72.18992,42.531705,3,119,274,155,1505.65
"295","BETPOP",2019,"HF","3A",-72.18992,42.531705,6,117,274,157,1509.95833333333
"296","BETPOP",2019,"HF","3B",-72.18992,42.531705,6,119,260,141,1388.37777777778
"297","BETPOP",2019,"HF","4",-72.18992,42.531705,9,134,260,125.5,1354.31111111111
"298","BETPOP",2019,"HF","5",-72.18992,42.531705,2,115,263,148,1410.16388888889
"299","BETPOP",2019,"WM","7",-71.230138,44.112337,15,119,274,155,1505.65
"300","BETPOP",2019,"WM","7",-71.230138,44.112337,2,119,267,148,1453.54722222222
"301","BETPOP",2019,"WM","7",-71.230138,44.112337,3,119,274,155,1505.65
"302","BETPOP",2019,"WM","7",-71.230138,44.112337,6,112,274,162,1518.925
"303","BETPOP",2019,"WM","7",-71.230138,44.112337,9,112,260,148,1401.65277777778
"304","BETPOP",2019,"WM","8",-71.230138,44.112337,15,119,263,144,1404.72222222222
"305","BETPOP",2019,"WM","8",-71.230138,44.112337,16,115,274,159,1511.09166666667
"306","BETPOP",2019,"WM","9",-71.230138,44.112337,15,115,267,152,1458.98888888889
"307","BETPOP",2020,"GR","3",-71.146683,44.794942,16,135,282,147,1671.73055555555
"308","BETPOP",2020,"GR","3",-71.146683,44.794942,6,130,282,151.5,1690.74444444444
"309","BETPOP",2020,"GR","5",-71.146683,44.794942,1,143,282,139,1626.725
"310","BETPOP",2020,"GR","5",-71.146683,44.794942,6,133,282,149,1680.825
"311","BETPOP",2020,"GR","5A",-71.146683,44.794942,12,148,282,134,1593.96111111111
"312","BETPOP",2020,"GR","5B",-71.146683,44.794942,12,135,282,147,1671.73055555555
