"","spp","year","site","ind","provenance.long","provenance.lat","plot","leafout","budset","pgs","pgsGDD"
"1","ACEPEN",2018,"WM","5",-71.230138,44.112337,2,131,260,129,1472.75
"2","ACEPEN",2019,"WM","5",-71.230138,44.112337,5,123,260,137,1384.04444444445
"3","ACEPEN",2020,"HF","12",-72.18992,42.531705,12,143,282,139,1626.725
"4","ACEPEN",2020,"WM","5",-71.230138,44.112337,5,135,275,140,1638.34166666666
"5","ACESPI",2019,"GR","4",-71.146683,44.794942,10,145,260,115,1284.79722222222
"6","ALNINC",2018,"GR","1",-71.146683,44.794942,3,124,274,150,1605.81666666666
"7","ALNINC",2018,"GR","1",-71.146683,44.794942,5,128,268,140,1541.89444444444
"8","ALNINC",2018,"GR","11",-71.146683,44.794942,1,124,274,150,1605.81666666666
"9","ALNINC",2018,"GR","11",-71.146683,44.794942,15,124,268,144,1564.92777777777
"10","ALNINC",2018,"GR","11A",-71.146683,44.794942,3,124,274,150,1605.81666666666
"11","ALNINC",2018,"GR","11B",-71.146683,44.794942,3,124,274,150,1605.81666666666
"12","ALNINC",2018,"GR","8",-71.146683,44.794942,16,142,246,104,1261.08333333333
"13","ALNINC",2018,"GR","8",-71.146683,44.794942,3,124,274,150,1605.81666666666
"14","ALNINC",2018,"GR","8A",-71.146683,44.794942,5,124,263,139,1539.00277777777
"15","ALNINC",2018,"GR","8B",-71.146683,44.794942,5,124,268,144,1564.92777777777
"16","ALNINC",2018,"HF","1",-72.18992,42.531705,1,128,297,169,1678.475
"17","ALNINC",2018,"HF","1",-72.18992,42.531705,16,142,263,121,1439.33333333333
"18","ALNINC",2018,"HF","2",-72.18992,42.531705,1,124,297,173,1701.50833333333
"19","ALNINC",2018,"HF","5",-72.18992,42.531705,6,128,239,111,1237.19444444444
"20","ALNINC",2018,"HF","8",-72.18992,42.531705,12,124,274,150,1605.81666666666
"21","ALNINC",2018,"HF","9",-72.18992,42.531705,15,121,246,125,1403.05277777777
"22","ALNINC",2018,"HF","9",-72.18992,42.531705,2,128,288,160,1661.73055555556
"23","ALNINC",2018,"HF","9",-72.18992,42.531705,6,124,263,139,1539.00277777777
"24","ALNINC",2018,"HF","9",-72.18992,42.531705,9,128,268,140,1541.89444444444
"25","ALNINC",2018,"SH","1",-74.02507,45.932675,1,124,277,153,1622.10555555555
"26","ALNINC",2018,"SH","1",-74.02507,45.932675,12,124,263,139,1539.00277777777
"27","ALNINC",2018,"SH","3",-74.02507,45.932675,16,142,274,132,1506.14722222222
"28","ALNINC",2018,"SH","4",-74.02507,45.932675,15,124,274,150,1605.81666666666
"29","ALNINC",2018,"SH","4",-74.02507,45.932675,2,124,260,136,1513.66944444444
"30","ALNINC",2018,"SH","5",-74.02507,45.932675,2,124,253,129,1438.41944444444
"31","ALNINC",2018,"SH","5",-74.02507,45.932675,3,124,274,150,1605.81666666666
"32","ALNINC",2018,"SH","6",-74.02507,45.932675,5,124,288,164,1684.76388888889
"33","ALNINC",2018,"SH","8",-74.02507,45.932675,9,124,263,139,1539.00277777777
"34","ALNINC",2018,"WM","1",-71.230138,44.112337,1,124,274,150,1605.81666666666
"35","ALNINC",2018,"WM","2A",-71.230138,44.112337,1,124,270,146,1586.175
"36","ALNINC",2018,"WM","2B",-71.230138,44.112337,1,124,288,164,1684.76388888889
"37","ALNINC",2018,"WM","5",-71.230138,44.112337,1,124,281,157,1643.525
"38","ALNINC",2018,"WM","5A",-71.230138,44.112337,16,142,288,146,1585.09444444445
"39","ALNINC",2018,"WM","5A",-71.230138,44.112337,2,124,263,139,1539.00277777777
