ID,Plot,Phase,3.3.2020,3.9.2020,3.9.2020,3.18.2020,3.25.2020,3.31.2020,4.7.2020,4.9.2020,4.17.2020,4.20.2020,4.23.2020,4.28.2020,5.1.2020,5.7.2020,5.12.2020,5.14.2020,5.22.2020,5.27.2020,6.2.2020,6.5.2020,6.12.2020,6.15.2020,6.23.2020,6.25.2020,7.3.2020,7.6.2020,7.16.2020,7.24.2020,8.1.2020,8.7.2020,8.16.2020,8.28.2020,9.4.2020,9.11.2020,9.19.2020,9.24.2020,10.1.2020,10.8.2020,10.19.2020,10.27.2020,11.6.2020,11.16.2020
BETALL_WM_8,1,Leaves,,,,,,,,,9,9,10,10,11,16,18,18,19,,,,,,,,,,,,,,,,,,,,91,"102,91",91,96,98,99
BETALL_WM_8,1,Flowers,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100,100,100,101,101,102,,NA,,,,
ALNINC_WM_2A,1,Leaves,,,,,,,9,10,12,15,15,16,18,18,18,18,18,18,19,,,,,,,,,,,,100,"93,100",94/77,100/100m,101/101m,102/102m,78/97,98,98,98,99,99
ALNINC_WM_2A,1,Flowers,64-m,67-m; 62-f,67-m; 62-f,68-m; 62-f,69-m; 68-f,68-f,68-f,68-f,68-f,68-f,69-f,,,,,,,73,73,73,74,74,74,74,74,75,75,76/100m,76/100m,76/100m,77/100m,77/100m,100/100m,94/77,77/95,77/95,,79,,79,,
BETPOP_HF_3,1,Leaves,,,,,,,,,9,10,10,11,14,19,19,,,,,,,,,,,,,,,,,,,,,,102/101m,"102,92",94,96,97,99
BETPOP_HF_3,1,Flowers,,,,,,,,,,,61,61,61,67,68,69,,,72,73,74,74,74,74,75,76,76,77,79,100,100,100/100m,100/100m,100/100m,100/100m,100/101m,92,102m,,,,
BETALL_GR_13,1,Leaves,,,,,,,9,9,10,11,11,12,14,19,19,,,,,,,,,,,,,,,,,,,,,,,"102,91",95,98,99,99
BETALL_GR_13,1,Flowers,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100,100,100,101,101,12,91,NA,,,,
ALNINC_WM_5,1,Leaves,,,,,9,9,11,12,14,15,16,17,18,18,18,18,18,19,,,,,,,,,,,,,100,100/100m,100/100m,100/100m,101/101m,101/101m,102/101m,"102,97",97,97,99,99
ALNINC_WM_5,1,Flowers,62-m; 61-f,67-m; 64-f,67-m; 64-f,67-m; 65-f,69-m; 68-f,68-f,68-f,68-f,68-f,69-f,,,,,,71,72,72,72,73,73,74,74,75,75,75,75,76/100m,76/100m,77/100m,78/100m,75,77,77/92,95/77,79/95,97,102m,,,,
ALNINC_WM_1,1,Leaves,,,,,,,,,9,14,14,15,16,17,18,18,19,,,,,,,,,,,,,,100,100/100m,100/100m,100/100m,101/101m,101/101m,102/102m,"102,98",98,98,99,99
ALNINC_WM_1,1,Flowers,62-m; 61-f,67-m; 64-f,67-m; 64-f,68-m; 65-f,68-m; 68-f,68-f,68-f,68-f,69-f,,,,,,,,71,72,73,73,74,74,74,74,75,75,75,76,76/100m,76/100m,76/100m,77/93,95/77,77/95,77/94,78/96,78.96,102m,,,,
ALNINC_HF_2,1,Leaves,,,,,,,,,9,11,12,14,15,17,18,18,19,,,,,,,,,,,,,,,100,100/100m,100/100m,101/101m,102/102m,79,"102,97",97,98,99,99
ALNINC_HF_2,1,Flowers,,61-m,61-m,65-m; 62-f,68-m; 67-f,68-f,68-f,68-f,69-f,,,,,,,71,73,73,73,73,74,74,74,74,75,75,75,75/100m,76/100m,76/100m,77/100m,100m/77,77/92,77/92,78/92,78/93,95,102m,,,,
ALNINC_HF_1,1,Leaves,,,,,,,,,9,11,12,14,15,17,19,,,,,,,,,,,,,,,,,100,100/100m,100/100m,101/100m,101/101m,102/102m,"102,98",98,98,99,99
ALNINC_HF_1,1,Flowers,,62-m; 62-f,62-m; 62-f,63-m; 62-f,69-m; 67-f,69-m; 67-f,68-f,68-f,69-f,,,,,,,,,,,,,,,,,,75,76,76/100m,76/100m,77/100m,77/100m,77/92,77/95,78/93,78/95,"78, 97",102m,,,,
BETALL_GR_12,1,Leaves,,,,,,,9,9,9,11,11,12,15,18,17,18,19,,,,,,,,,,,,,,,,100/100m,101,102,,91,"102,95",95,97,99,99
BETALL_GR_12,1,Flowers,,,,,,,,,,,,,,,,,,,,,,,73,73,76,76,,,,100m,100,100,91,,,,,102m,,,,
BETPOP_GR_5,1,Leaves,,,,,,,,,9,10,10,12,14,17,18,18,19,,,,,,,,,,76,76/100m,77/100m,79/100,100m,100/100m,100/100m,100/100m,101/101m,101/101m,101/101m,"102,93",96,98,99,99
BETPOP_GR_5,1,Flowers,,,,,,,,,,,,,,,,,,,,,,,,,73,74,,,,,,,,,,,92,101m,102m,,,
BETPAP_SH_1B,1,Leaves,,,,,,,,9,9,11,12,13,16,18,18,18,18,19,,,,,,,,,,,,100m,100m/100,100/100m/93,100/93,101/100m,101/101m,102/101m,102m,"102,95",96,97,98,99
BETPAP_SH_1B,1,Flowers,,,,,,,,,,,,,,,,,,71,73,73,73,74,74,75,75,75,,,,,,,,93,94,95,95,102m,,,,
ALNINC_WM_2B,1,Leaves,,,,,,,9,10,12,14,15,16,17,18,17,17,18,19,,,,,,,,,,,,,100,93/77,100/100m,100/100m,101/101m,101/101m,102/101m,"102,94",95,96,98,99
ALNINC_WM_2B,1,Flowers,62-m; 61-f,68-m; 63-f,68-m; 63-f,68-m; 64-f,69-m; 68-f,68-f,68-f,68-f,69-f,,,,,,,,,71,72,73,74,74,74,75,75,75,76,76/100m,76/100m,76/100m,77/100m,100/100m,93/77,93/77,77/94,78/94,"78, 94","102m,78","102m,79",79,,
ALNINC_SH_4,2,Leaves,,,,,,,9,10,12,15,15,16,16,17,17,18,18,18,18,19,,,,,,,,,,,100,100/100m,100/100m,100/101m,101/101m,101/101m,102/102m,"102,95",97,98,99,99
