id,gh.tray,species,site,has.assigned.cg.spot?,space,set,plot,
ACESPI01_WM,4,ACESPI,WM,yes,1.5,shrub shade,13,
ACESPI02_SH,4,ACESPI,SH,yes,1.5,shrub shade,10,
ACESPI02_SH,NA,ACESPI,SH,yes,1.5,shrub shade,10,
ACESPI04_GR,4,ACESPI,GR,yes,1.5,shrub shade,10,
ACESPI09_SH,4,ACESPI,SH,yes,1.5,shrub shade,10,
ALNINC01_GR,4,ALNINC,GR,no,3,tree,1,
ALNINC01_SH,3,ALNINC,SH,no,3,tree,1,
ALNINC01_WM,4,ALNINC,WM,no,3,tree,1,
ALNINC02_HF,NA,ALNINC,HF,no,3,tree,1,
ALNINC05_SH,4,ALNINC,SH,no,3,tree,3,
ALNINC07_HF,4,ALNINC,HF,no,3,tree,6,
ALNINC11_GR,5,ALNINC,GR,no,3,tree,3,
AMECAN03_SH,4,AMECAN,SH,yes,1.5,tree,12,
AMECAN03_SH,4,AMECAN,SH,yes,1.5,tree,15,
BETALL02_SH,4,BETALL,SH,no,1.5,tree,6,
BETALL05_SH,4,BETALL,SH,no,1.5,tree,9,
BETALL08_WM,5,BETALL,WM,no,1.5,tree,12,
BETALL08_WM,NA,BETALL,WM,no,1.5,tree,12,
BETALL13_GR,5,BETALL,GR,no,1.5,tree,15,
BETALL14_GR,5,BETALL,GR,no,1.5,tree,15,
BETPAP08_GR,3,BETPAP,GR,yes,1.5,tree,3,
BETPAP08_GR,3,BETPAP,GR,yes,1.5,tree,5,
BETPAP08_GR,3,BETPAP,GR,yes,1.5,tree,6,
BETPAP08_GR,3,BETPAP,GR,yes,1.5,tree,12,
BETPAP09_GR,NA,BETPAP,GR,yes,1.5,tree,9,
BETPAP16_HF,3,BETPAP,HF,yes,1.5,tree,2,
BETPAP16_HF,3,BETPAP,HF,yes,1.5,tree,3,
BETPAP16_HF,3,BETPAP,HF,yes,1.5,tree,5,
BETPAP16_HF,3,BETPAP,HF,yes,1.5,tree,6,
BETPAP16_HF,3,BETPAP,HF,yes,1.5,tree,6,
BETPAP16_HF,3,BETPAP,HF,yes,1.5,tree,12,
BETPOP01_HF,5,BETPOP,HF,no,1.5,tree,3,
BETPOP03_GR,4,BETPOP,GR,no,1.5,tree,6,
BETPOP03_HF,5,BETPOP,HF,no,1.5,tree,6,
BETPOP05_GR,NA,BETPOP,GR,no,1.5,tree,12,
BETPOP08_WM,NA,BETPOP,WM,no,1.5,tree,15,
BETPOP09_WM,NA,BETPOP,WM,no,1.5,tree,15,
DIELON01_HF,4,DIELON,HF,no,1.5,shrub shade,7,
DIELON01_SH,4,DIELON,SH,no,1.5,shrub shade,7,
DIELON02_HF,NA,DIELON,HF,no,1.5,shrub shade,7,
DIELON02_SH,3,DIELON,SH,no,1.5,shrub shade,10,
DIELON05_GR,5,DIELON,GR,no,1.5,shrub shade,10,
DIELON08_GR,5,DIELON,GR,no,1.5,shrub shade,10,
MYRGAL04_WM,4,MYRGAL,WM,yes,1,shrub sun,11,
MYRGAL07_GR,4,MYRGAL,GR,yes,1,shrub sun,4,
MYRGAL08_GR,3,MYRGAL,GR,yes,1,shrub sun,4,
MYRGAL08_GR,3,MYRGAL,GR,yes,1,shrub sun,4,
MYRGAL08_GR,3,MYRGAL,GR,yes,1,shrub sun,4,
MYRGAL08_GR,3,MYRGAL,GR,yes,1,shrub sun,4,
QUERUB_HF,NA,QUERUB,HF,no_anewspecies,3,tree,5,
QUERUB_HF,NA,QUERUB,HF,no_anewspecies,3,tree,5,
QUERUB09_WM,NA,QUERUB,WM,no_anewspecies,3,tree,9,
QUERUB09_WM,NA,QUERUB,WM,no_anewspecies,3,tree,12,
SAMRAC02_GR,2,SAMRAC,GR,yes,0.75,shrub shade,7,
SAMRAC07_GR,3,SAMRAC,GR,yes,0.75,shrub shade,7,
SORAME03_SH,5,SORAME,SH,yes,1.5,shrub shade,13,
SPIALB02_WM,NA,SPIALB,WM,yes,1,shrub sun,4?,
SPIALB04_HF,NA,SPIALB,HF,no,1,shrub sun,11,
SPIALB04_SH,NA,SPIALB,SH,no,1,shrub sun,4?,
SPIALB04_WM,NA,SPIALB,WM,yes,1,shrub sun,11,
SPIALB04_WM,NA,SPIALB,WM,yes,1,shrub sun,11,
SPIALB04_WM,NA,SPIALB,WM,no,1,shrub sun,11,
SPIALB05_GR,NA,SPIALB,GR,no,1,shrub sun,8?,
SPIALB05_WM,5,SPIALB,WM,yes,1,shrub sun,11,
SPIALB05_WM,5,SPIALB,WM,no,1,shrub sun,11,
SPIALB07_SH,4,SPIALB,SH,yes,1,shrub sun,4?,
SPIALB08_SH,4,SPIALB,SH,yes,1,shrub sun,4?,
SPIALB09_GR,NA,SPIALB,GR,no,1,shrub sun,8?,
SPIALB09_SH,3,SPIALB,SH,no,1,shrub sun,4?,
SPIALB12_HF,NA,SPIALB,HF,no,1,shrub sun,11,
SPITOM01_GR,3,SPITOM,GR,no,1,shrub sun,8,
SPITOM01_GR,3,SPITOM,GR,yes,1,shrub sun,11,
SPITOM01_GR,3,SPITOM,GR,yes,1,shrub sun,11,
SPITOM01_GR,3,SPITOM,GR,yes,1,shrub sun,11,
SPITOM02_GR,NA,SPITOM,GR,no,1,shrub sun,8,
SPITOM02_GR,NA,SPITOM,GR,yes,1,shrub sun,8,
SPITOM02_GR,NA,SPITOM,GR,yes,1,shrub sun,8,
SPITOM02_GR,NA,SPITOM,GR,yes,1,shrub sun,8,
SPITOM02_WM,3,SPITOM,WM,no,1,shrub sun,8,
SPITOM04_WM,3,SPITOM,WM,no,1,shrub sun,8,
SPITOM06_HF,NA,SPITOM,HF,no,1,shrub sun,8,
SPITOM09_HF,NA,SPITOM,HF,no,1,shrub sun,8,
SPITOM99_SH,3,SPITOM,SH,no,1,shrub sun,4,
SPITOM99_SH,3,SPITOM,SH,no,1,shrub sun,4,
SPITOM99_SH,3,SPITOM,SH,yes,1,shrub sun,11,
SPITOM99_SH,3,SPITOM,SH,yes,1,shrub sun,11,
SPITOM99_SH,3,SPITOM,SH,yes,1,shrub sun,11,
SPITOM99_SH,3,SPITOM,SH,yes,1,shrub sun,11,
SPITOM99_SH,3,SPITOM,SH,yes,1,shrub sun,11,
SPITOM99_SH,3,SPITOM,SH,yes,1,shrub sun,11,
VACMYR05_WM,NA,VACMYR,WM,no_anewspecies,0.75,shrub shade,13,
VACMYR05_WM,NA,VACMYR,WM,no_anewspecies,0.75,shrub shade,13,
VACMYR10_GR,NA,VACMYR,GR,no_anewspecies,0.75,shrub shade,13,
VACMYR10_GR,NA,VACMYR,GR,no_anewspecies,0.75,shrub shade,13,
VIBCAS01_SH,5,VIBCAS,SH,no,1,shrub sun,8,
VIBCAS03_GR,4,VIBCAS,GR,no,1,shrub sun,8,
VIBCAS06_WM,NA,VIBCAS,WM,no,1,shrub sun,11,
VIBCAS07_HF,4,VIBCAS,HF,yes,1,shrub sun,4,
VIBCAS09_SH,5,VIBCAS,SH,no,1,shrub sun,11,
VIBCAS10_GR,5,VIBCAS,GR,no,1,shrub sun,11,
VIBCAS10_WM,5,VIBCAS,WM,no,1,shrub sun,11,
ACEPEN05_WM,4,ACEPEN,WM,yes,3,tree,9,replace dead one in plot 9
ACEPEN05_WM,4,ACEPEN,WM,yes,3,tree,9,replace dead one in plot 9
ACEPEN05_WM,NA,ACEPEN,WM,yes,3,tree,6,replace dead one in plot 6 (I would add an extra one but we do not have it)
DIELONXX_GR,,DIELON,GR,yes,1.5,shrub shade,,"in GH5, according to Kea's email; replaces dead 1 in plot 10"
DIELONXX_WM,,DIELON,WM,yes,1.5,shrub shade,13,"in GH5, according to Kea's email"
DIELONXX_WM,,DIELON,WM,yes,1.5,shrub shade,13,"in GH5, according to Kea's email"
DIELONXX_WM,,DIELON,WM,yes,1.5,shrub shade,13,"in GH5, according to Kea's email"
DIELONXX_WM,,DIELON,WM,yes,1.5,shrub shade,7,"in GH5, according to Kea's email"
BETALL09_SH,4,BETALL,SH,yes,1.5,tree,,replace dead one in plot 9
ALNINC08_GR,NA,ALNINC,GR,yes,3,tree,,replace dead one in plot 5
ALNINC10_GR,4,ALNINC,GR,yes,3,tree,,replace dead one in plot 6
ALNINC11_GR,4,ALNINC,GR,no,3,tree,15,just adding an extra one since 2 already died!
SORAME01_SH,3,SORAME,SH,yes,1.5,shrub shade,,replace dead one in plot 10
SAMRAC08_GR,3,SAMRAC,GR,no,0.75,shrub shade,13,just adding an extra one since 2 already died!
SAMRAC09_GR,3,SAMRAC,GR,yes,0.75,shrub shade,,replace dead one in plot 10
SAMRAC01_GR,3,SAMRAC,GR,yes,0.75,shrub shade,,replace dead one in plot 10
MYRGAL06_WM,4,MYRGAL,WM,yes,1,shrub sun,,replace dead one in plot 8
