Species,Common name,Collected at HF?,Collected at WM?,Collected at GR?,Collected at SH?,"Seed Ripeness Phenology (1=Early, 4=Late)",Ring porous,Ring porous notes,Rate of growth,Height,Spacing between planting points (m),Est. # of plants per 6m x 6m plot,# shadecloths needed,How long in shade,Availability,# plants in raised beds from 2015 season,Notes
Acer pensylvanicum,Striped maple,Y,Y,,,4,Diffuse,,fast,shrub/tree to 50',3,8,,,,10,understory shrub - prefers shade
Acer rubrum,,Y,,Y,Y,1,Diffuse,,fast,tree,3,8,,,none germinated,,
Acer saccharum,,,,,,4,Diffuse,,fast,tree,3,8,,,,,
Acer spicatum,,,Y,Y,Y,4,Diffuse,Congener value,moderate,tree,1.5,16,3.75,Whole life,,2,
Alnus incana subsp. rug,gray alder,Y,Y,Y,Y,4,Diffuse,,fast,tree,3,8,,,,30,
Amelanchier canadensis,,,Y,Y,Y,1,Diffuse,,moderate,shrub to 20',1 (or 1.5?),20,,,,,
Amelanchier laevis,,,,Y,,2,Diffuse,,moderate,shrub to 25',1 (or 1.5?),20,,,,,
Aronia melanocarpa,black chokeberry,Y,Y,,Y,3,Diffuse,,moderate,shrub to 6',1,20,,,,15,
Betula alleghaniensis,,,Y,Y,Y,3,Diffuse,,fast,tree,1.5 (or 2?),16,,,,,
Betula lenta,,,,,,3,Diffuse,,fast,tree,1.5 (or 2?),16,,,none collected,,
Betula papyrifera,,Y,,Y,Y,3,Diffuse,,fast,tree,1.5 (or 2?),16,,,,,
betula populifolia,gray birch,,Y,Y,,4,Diffuse,,fast,tree,1.5 (or 2?),16,,,,15,prefers full sun
Cornus alternifolia,,Y,Y,,,3,Diffuse,Congener value,moderate,shrub to 35',1,20,,,,,
Corylus cornuta,,,Y,Y,Y,3,Diffuse,,moderate,shrub to 8',1 (or 1.5?),20,,,,,
Diervilla lonicera,northern bush honeysuckle,Y,Y,Y,Y,3,,,moderate,shrub to 4',1.5 (or 1?),16,3.75,Whole life,,10,
Fagus grandifolia,,Y,Y,,,4,Semi,,slow,tree,1.5,16,,,some germinated!,,
Fraxinus americana,,,,,,4,Ring,,fast,tree,,,,,none collected,,
Fraxinus nigra,,,,,,3,Ring,,fast,tree,,,,,none collected,,
Hamamelis virginiana,,Y,Y,,,4,Diffuse,,moderate,shrub to 15',1 (or 1.5?),,,,,,
Ilex verticillata,,Y,,,,4,Semi,,slow,shrub to 10',1,20,,,,,
Ilex mucronata,,,Y,Y,Y,3,Semi,,slow,,1,20,,,,,
Kalmia angustifolia,,Y,Y,Y,Y,3,Diffuse,,slow,shrub to 3',0.75,25,2.4,Whole life,,,
Lonicera canadensis,American fly honeysuckle,Y,Y,Y,Y,2,Ring,,moderate,,0.75,25,,,,,
Lyonia ligustrina,,Y,,,,4,,Genus variable,slow,shrub to 12',1,20,3,Whole life,,1,
Myrica gale,sweet gale or bog myrtle,,Y,Y,Y,4,Ring,,fast,shrub to 6',1,20,,,,12,
Nyssa sylvatica,,,,,,4,Diffuse,Genus value,moderate,,1.5,16,,,none collected,,
Ostrya virginiana,,,,,,3,Diffuse,,moderate,,2,10,,,none collected,,
Populus grandidentata,,,,,,1,Semi,Species variable,fast,tree,3,8,,,,,
Populus tremuloides,,,,,,1,Semi,,fast,tree,3,8,,,,,
Prunus pensylvanica,,Y,Y,Y,Y,2,Diffuse,"Congerner, genus variable",fast,,2 (or 1.5),12,,,,,
Quercus alba,,Y,,,,3,Ring,,slow,tree,1.5,16,,,,,
Quercus rubra,,Y,Y,,Y,4,Ring,,slow,tree,1.5,16,,,,,
Quercus velutina,,,,,,4,Ring,,slow,tree,1.5,16,,,,,
Rhamnus frangula,alder buckthorn,Y,,,,3,Semi,,fast,,2 (or 1.5),12,,,,13,NON-NATIVE; aggressive under soggy soil conditions
Rhododendron prinophyl,,Y,Y,,,3,,Genus variable,slow,,0.75,25,2.4,Whole life,,,
Ribes glandulosum,,,,,,3,Semi,Genus value,moderate,,0.5,40,,,none collected,,
Salix bebbiana,,,,,,1,Diffuse,Genus value,fast,,1.5 (or 2?),16,,,none collected,,
Salix discolor,,,,,,1,Diffuse,,fast,,1.5 (or 2?),16,,,none collected,,
Salix lucida,,,,,,1,Semi,,fast,,1.5 (or 2?),16,,,none collected,,
Sambucus racemosa,,MAYBE,,Y,,2,Diffuse,,moderate,,1 (or 1.5?),16,,,,,
Sorbus americana,,,,Y,Y,3,Semi,,,,1 (or 1.5?),16,3.75,Whole life,,,
Spiraea alba,white meadowsweet,Y,Y,Y,Y,3,Semi,Congener value,fast,shrub to 6',1.5,20,,,,25,
Spiraea tomentosa,steeplebush or rosy meadowsweet,,Y,Y,Y,3,Semi,Congener value,fast,shrub to 6',1.5,20,,,,25,
Tilia americana,,,,,Y,4,Diffuse,,fast,,3,8,,,none collected,,
Ulmus americana,,,,,,1,Ring,,fast,tree,3,8,,,none collected,,
Vaccinium myrtilloides,,,Y,Y,Y,2,Diffuse,Genus value,slow,,0.5,100,0.6,Whole life,,,
viburnum cassinoides,witherod viburnum,,Y,Y,Y,4,Semi,Genus value,fast,shrub to 12',2,12,,,,15,
Viburnum lantanoides,,Y,Y,Y,Y,4,Semi,,fast,,2,10,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
