ID,Plot,Height,Year
ALNINC_SH_1_1,1,1.053,2019
BETALL_WM_8_1,1,1.366,2019
BETPOP_WM_7_1,1,1.972,2019
BETPAP_GR_5_1,1,0.678,2019
ALNINC_WM_2A_1,1,1.238,2019
ALNINC_GR_11_1,1,1.73,2019
BETPAP_SH_1A_1,1,1.58,2019
BETPOP_HF_3_1,1,2.482,2019
ALNINC_WM_5_1,1,1.617,2019
ALNINC_WM_1_1,1,0.924,2019
ALNINC_HF_2_1,1,0.941,2019
ALNINC_HF_1_1,1,1.843,2019
BETALL_GR_12_1,1,1.388,2019
ALNINC_WM_2B_1,1,1.796,2019
BETPOP_GR_5_1,1,1.486,2019
BETPAP_SH_1B_1,1,1.558,2019
BETALL_GR_13_1,1,1.374,2019
ALNINC_WM_5B_1,2,1.922,2019
AMECAN_GR_10_1,2,1.056,2019
BETPOP_HF_1_1,2,1.964,2019
BETPAP_GR_5B_1,2,0.323,2019
ACEPEN_WM_5_1,2,1.14,2019
ALNINC_HF_9_1,2,2.482,2019
BETPOP_WM_7_1,2,2.104,2019
BETPOP_HF_5_1,2,0.574,2019
BETPAP_HF_16_1,2,1.992,2019
ALNINC_WM_5A_1,2,2.208,2019
BETALL_GR_13_1,2,1.259,2019
BETPAP_GR_5A_1,2,0.92,2019
ALNINC_SH_5_1,2,1.294,2019
ALNINC_SH_4_1,2,2.626,2019
BETALL_SH_4_1,3,1.416,2019
ALNINC_GR_11B_1,3,1.594,2019
BETPOP_GR_5B_1,3,1.462,2019
ALNINC_GR_1_1,3,1.554,2019
ALNINC_GR_8_1,3,1.912,2019
BETPOP_HF_1_1,3,1.116,2019
BETPOP_WM_7_1,3,2.166,2019
AMECAN_GR_10B_1,3,1.106,2019
ALNINC_GR_11A_1,3,0.958,2019
AMECAN_GR_10A_1,3,0.904,2019
BETPAP_HF_16_1,3,0.898,2019
BETALL_GR_9_1,3,1.44,2019
BETPOP_GR_5A_1,3,1.286,2019
BETALL_GR_12_1,3,1.019,2019
BETPAP_GR_8_1,3,0.558,2019
BETALL_GR_1_1,3,1.518,2019
ALNINC_SH_5_1,3,1.524,2019
VIBCAS_SH_5_1,4,0.968,2019
VIBCAS_GR_10_1,4,0.674,2019
SPIALB_SH_9B_1,4,0.864,2019
AROMEL_WM_5_1,4,0.306,2019
SPITOM_WM_5E_1,4,0.468,2019
SPIALB_WM_7B_1,4,1.092,2019
MYRGAL_GR_8D_1,4,0.452,2019
SPIALB_WM_2B_1,4,0.884,2019
MYRGAL_SH_1B_1,4,0.652,2019
MYRGAL_WM_6A_1,4,0.387,2019
SPIALB_SH_9A_1,4,0.938,2019
AROMEL_WM_2_1,4,0.464,2019
SPIALB_HF_1_1,4,1.142,2019
SPITOM_WM_5B_1,4,0.504,2019
SPIALB_WM_2A_1,4,0.966,2019
MYRGAL_SH_2A_1,4,0.65,2019
MYRGAL_GR_8B_1,4,0.361,2019
SPITOM_SH_99_1,4,0.564,2019
MYRGAL_GR_8A_1,4,0.414,2019
SPIALB_HF_4_1,4,1.198,2019
SPITOM_SH_9_1,4,0.566,2019
MYRGAL_SH_1A_1,4,0.684,2019
SPIALB_GR_3_1,4,0.934,2019
VIBCAS_WM_4_1,4,0.704,2019
SPITOM_WM_5C_1,4,0.504,2019
SPIALB_SH_8_1,4,0.778,2019
VIBCAS_GR_12A_1,4,0.865,2019
AROMEL_WM_15_1,4,0.65,2019
