id,species,site,ind,leaf,SLA,LDMC,year
SAMRAC_GR_7A_1,SAMRAC,GR,7A,1,19.76359185,260.4365928,2022
MYRGAL_WM_6B_1,MYRGAL,WM,6B,1,24.4752757,261.4883721,2019
DIELON_WM_1C_1,DIELON,WM,1C,1,46.04642526,261.5347256,2022
BETALL_SH_4_1,BETALL,SH,4,1,24.11302674,261.6507353,2019
BETALL_GR_13_2,BETALL,GR,13,2,24.4250889,261.8735913,2019
SPIALB_HF_3_2,SPIALB,HF,3,2,33.70654628,261.913208,2019
MYRGAL_SH_2A_2,MYRGAL,SH,2A,2,26.72550213,262.2924649,2019
BETPOP_WM_7_1,BETPOP,WM,7,1,25.88425086,262.3809524,2019
VIBCAS_SH_1_1,VIBCAS,SH,1,1,20.48949804,262.5233645,2019
SAMRAC_GR_7A_2,SAMRAC,GR,7A,2,24.854867,262.5678233,2019
VIBCAS_GR_12B_2,VIBCAS,GR,12B,2,17.08811337,264.7862157,2019
SPITOM_WM_5B_1,SPITOM,WM,5B,1,34.67545144,265.655387,2019
ACEPEN_HF_12_2,ACEPEN,HF,12,2,28.53684893,265.9195402,2019
BETPAP_SH_1B_2,BETPAP,SH,1B,2,18.08437763,265.9942155,2019
SAMRAC_GR_1_1,SAMRAC,GR,1,1,15.57597173,266.7071562,2019
SPIALB_GR_12_1,SPIALB,GR,12,1,54.19125683,266.9973738,2022
SPIALB_WM_2B_2,SPIALB,WM,2B,2,41.0776767,267.1028037,2019
SPITOM_WM_5A_2,SPITOM,WM,5A,2,26.60409556,267.1732523,2019
MYRGAL_GR_8A_2,MYRGAL,GR,8A,2,25.05300353,267.6122931,2019
MYRGAL_SH_1_2,MYRGAL,SH,1,2,23.05652477,267.8504673,2019
MYRGAL_GR_8B_1,MYRGAL,GR,8B,1,27.49277874,268.0396408,2019
BETPAP_GR_5A_1,BETPAP,GR,5A,1,24.73665396,268.7934403,2019
SPIALB_GR_3_1,SPIALB,GR,3,1,39.11837238,269.3010128,2019
SPIALB_HF_3_1,SPIALB,HF,3,1,31.48089172,269.3737489,2019
SPIALB_SH_9B_2,SPIALB,SH,9B,2,36.8698597,269.808119,2019
SAMRAC_GR_9_1,SAMRAC,GR,9,1,17.66683164,269.8953069,2019
SPITOM_WM_5B_2,SPITOM,WM,5B,2,37.45236123,270.1130133,2019
DIELON_HF_2A_2,DIELON,HF,2A,2,24.89861111,270.3717612,2019
BETALL_SH_4A_1,BETALL,SH,4A,1,26.03976608,270.398482,2019
SAMRAC_HF_B_2,SAMRAC,HF,B,2,25.85877098,270.4323669,2022
