Data Format: 
71,1/23/15 14:35:00,1.8,-0.204,0.006,292,6.6,12.0,270,35.98,48.30,18.36,31.94,0.000,0.0795,29.948,4.56
72,1/23/15 14:40:00,1.8,-0.204,0.006,281,5.8,10.4,265,36.22,48.30,18.57,31.94,0.000,0.0795,29.945,4.56
73,1/23/15 14:45:00,1.8,-0.204,0.006,271,6.6,11.6,281,36.17,48.00,18.39,31.94,0.000,0.0795,29.942,4.54
74,1/23/15 14:50:00,1.8,-0.204,0.006,259,5.0,7.9,268,36.84,47.70,18.86,31.89,0.000,0.0802,29.945,4.55
75,1/23/15 14:55:00,1.8,-0.204,0.006,251,4.2,7.9,256,37.13,47.20,18.88,31.94,0.000,0.0802,29.945,4.55
76,1/23/15 15:00:00,1.8,-0.204,0.006,242,4.6,7.5,261,37.18,46.60,18.63,31.94,0.000,0.0795,29.942,4.56
77,1/23/15 15:05:00,1.8,-0.204,0.006,231,6.6,11.2,256,36.70,46.70,18.25,31.94,0.000,0.0795,29.936,4.56
78,1/23/15 15:10:00,1.8,-0.204,0.006,219,5.4,9.1,254,37.03,46.60,18.50,31.94,0.000,0.0802,29.939,4.56
79,1/23/15 15:15:00,1.8,-0.204,0.006,207,7.1,13.3,237,37.32,46.40,18.66,31.94,0.000,0.0795,29.936,4.56
80,1/23/15 15:20:00,1.2,-0.204,0.006,198,8.7,12.9,243,36.55,46.00,17.76,31.94,0.000,0.0795,29.936,4.56
81,1/23/15 15:25:00,1.8,-0.204,0.006,186,7.1,12.0,237,36.75,46.20,18.03,31.94,0.000,0.0795,29.933,4.56
82,1/23/15 15:30:00,1.8,-0.204,0.006,176,7.9,13.7,244,36.60,46.10,17.85,31.94,0.000,0.0795,29.936,4.56
83,1/23/15 15:35:00,1.8,-0.204,0.006,164,7.9,11.6,227,36.60,46.40,18.00,31.94,0.000,0.0795,29.933,4.56
84,1/23/15 15:40:00,1.8,-0.204,0.006,153,5.4,9.1,248,36.89,46.40,18.27,31.94,0.000,0.0795,29.930,4.56
85,1/23/15 15:45:00,1.8,-0.204,0.006,142,5.8,12.0,258,36.70,46.30,18.03,31.94,0.000,0.0802,29.927,4.54
86,1/23/15 15:50:00,1.2,-0.204,0.006,129,6.2,13.3,237,36.51,46.50,17.96,31.94,0.000,0.0795,29.927,4.55
87,1/23/15 15:55:00,1.8,-0.204,0.006,114,5.4,11.2,240,36.60,46.70,18.16,31.94,0.000,0.0795,29.924,4.56
88,1/23/15 16:00:00,1.2,-0.204,0.006,84,5.8,10.8,250,36.31,46.60,17.83,31.94,0.000,0.0795,29.924,4.56
89,1/23/15 16:05:00,0.6,-0.204,0.006,43,6.2,12.5,251,35.98,47.10,17.78,31.94,0.000,0.0795,29.924,4.56
90,1/23/15 16:10:00,1.2,-0.204,0.006,26,5.4,9.1,260,35.73,47.40,17.69,31.89,0.000,0.0795,29.927,4.54
91,1/23/15 16:15:00,0.6,-0.204,0.006,19,3.3,6.2,256,35.30,47.90,17.55,31.84,0.000,0.0795,29.924,4.54
92,1/23/15 16:20:00,1.2,-0.204,0.006,17,5.4,8.3,251,35.59,48.00,17.85,31.84,0.000,0.0795,29.921,4.53
93,1/23/15 16:25:00,1.2,-0.204,0.006,14,4.2,6.6,247,35.25,48.10,17.58,31.84,0.000,0.0795,29.918,4.51
94,1/23/15 16:30:00,0.6,-0.204,0.006,13,4.2,7.9,246,35.20,48.50,17.74,31.84,0.000,0.0795,29.915,4.51
95,1/23/15 16:35:00,0.6,-0.204,0.006,9,2.1,3.7,244,34.76,48.80,17.47,31.84,0.000,0.0787,29.915,4.50
96,1/23/15 16:40:00,0.6,-0.204,0.006,6,1.7,3.7,247,34.42,49.30,17.40,31.84,0.000,0.0787,29.909,4.53
97,1/23/15 16:45:00,0.6,-0.204,0.006,3,2.9,6.2,247,34.47,49.70,17.62,31.79,0.000,0.0787,29.909,4.46
98,1/23/15 16:50:00,1.2,-0.204,0.006,2,2.9,5.4,247,34.37,49.90,17.64,31.79,0.000,0.0780,29.909,4.47
99,1/23/15 16:55:00,1.2,-0.204,0.006,1,2.1,3.7,239,34.22,50.20,17.64,31.79,0.000,0.0780,29.912,4.47
100,1/23/15 17:00:00,0.6,-0.204,0.006,1,2.5,4.2,239,34.03,50.50,17.58,31.79,0.000,0.0780,29.907,4.47
101,1/23/15 17:05:00,1.2,-0.204,0.006,1,2.9,4.6,226,34.12,50.50,17.67,31.79,0.000,0.0780,29.904,4.47
102,1/23/15 17:10:00,1.2,-0.204,0.006,1,3.3,6.2,227,34.12,50.30,17.58,31.79,0.000,0.0780,29.907,4.47
103,1/23/15 17:15:00,0.6,-0.204,0.006,1,2.5,5.0,227,34.08,50.30,17.55,31.74,0.000,0.0773,29.909,4.47
104,1/23/15 17:20:00,0.6,-0.204,0.006,1,1.2,3.3,223,33.34,50.70,17.04,31.74,0.000,0.0773,29.909,4.46
105,1/23/15 17:25:00,1.2,-0.204,0.006,1,2.5,8.3,215,33.53,51.60,17.64,31.74,0.000,0.0773,29.909,4.46
106,1/23/15 17:30:00,0.6,-0.204,0.006,1,3.3,6.6,222,33.44,51.10,17.31,31.69,0.000,0.0773,29.909,4.46
107,1/23/15 17:35:00,1.2,-0.204,0.006,1,2.9,5.0,225,33.53,51.40,17.55,31.69,0.000,0.0773,29.904,4.46
108,1/23/15 17:40:00,1.2,-0.204,0.006,1,3.3,5.8,215,33.39,51.60,17.49,31.69,0.000,0.0773,29.904,4.46
109,1/23/15 17:45:00,1.2,-0.204,0.006,1,3.7,5.8,212,33.34,51.80,17.53,31.64,0.000,0.0773,29.907,4.44
110,1/23/15 17:50:00,1.2,-0.204,0.006,1,3.3,5.4,222,32.94,52.00,17.26,31.64,0.000,0.0773,29.907,4.44
111,1/23/15 17:55:00,1.2,-0.204,0.006,1,3.3,5.8,219,33.04,52.20,17.44,31.59,0.000,0.0766,29.904,4.44
112,1/23/15 18:00:00,1.2,-0.204,0.006,1,3.7,6.6,213,32.74,52.30,17.20,31.59,0.000,0.0766,29.901,4.44
113,1/23/15 18:05:00,1.2,-0.204,0.006,1,3.3,5.0,223,32.64,52.90,17.37,31.59,0.000,0.0766,29.904,4.44
114,1/23/15 18:10:00,1.2,-0.204,0.006,1,2.9,5.0,206,32.09,53.20,16.99,31.54,0.000,0.0758,29.901,4.44
115,1/23/15 18:15:00,1.2,-0.204,0.006,1,3.3,5.0,215,32.19,53.80,17.35,31.49,0.000,0.0766,29.901,4.44
116,1/23/15 18:20:00,1.2,-0.204,0.006,1,3.3,5.4,215,32.09,54.00,17.33,31.49,0.000,0.0766,29.904,4.44
117,1/23/15 18:25:00,1.2,-0.204,0.006,1,2.5,4.2,212,31.89,54.20,17.24,31.49,0.000,0.0766,29.901,4.44
118,1/23/15 18:30:00,1.2,-0.204,0.006,1,1.7,2.9,225,31.59,54.50,17.08,31.44,0.000,0.0766,29.898,4.44
119,1/23/15 18:35:00,1.2,-0.204,0.006,1,2.1,3.7,220,31.49,55.00,17.20,31.44,0.000,0.0758,29.898,4.46
120,1/23/15 18:40:00,1.2,-0.204,0.006,1,3.3,7.9,209,31.54,55.40,17.42,31.39,0.000,0.0758,29.895,4.44
121,1/23/15 18:45:00,1.2,-0.204,0.006,1,5.4,9.5,216,31.79,55.80,17.82,31.34,0.000,0.0758,29.901,4.42
122,1/23/15 18:50:00,1.2,-0.204,0.006,1,6.6,12.5,226,31.79,56.50,18.10,31.29,0.000,0.0758,29.904,4.42
123,1/23/15 18:55:00,1.2,-0.204,0.006,1,4.2,6.6,226,31.34,57.50,18.09,31.29,0.000,0.0758,29.907,4.43
124,1/23/15 19:00:00,1.2,-0.204,0.006,1,5.4,8.3,232,31.39,58.50,18.54,31.29,0.000,0.0758,29.907,4.44
125,1/23/15 19:05:00,1.2,-0.204,0.006,1,6.2,12.0,222,31.39,59.20,18.81,31.29,0.000,0.0751,29.909,4.44
126,1/23/15 19:10:00,1.2,-0.204,0.006,1,7.5,12.9,222,31.39,59.40,18.90,31.29,0.000,0.0751,29.907,4.44
127,1/23/15 19:15:00,1.8,-0.204,0.006,1,7.5,12.9,215,31.44,59.30,18.90,31.29,0.000,0.0751,29.907,4.44
128,1/23/15 19:20:00,1.8,-0.204,0.006,1,6.6,12.0,222,31.09,59.60,18.68,31.24,0.000,0.0751,29.901,4.44
129,1/23/15 19:25:00,1.2,-0.204,0.006,1,6.2,12.0,232,31.04,59.90,18.75,31.24,0.000,0.0751,29.901,4.44
130,1/23/15 19:30:00,1.8,-0.204,0.006,1,6.6,12.0,225,31.14,60.20,18.97,31.24,0.000,0.0751,29.898,4.44
131,1/23/15 19:35:00,1.8,-0.204,0.006,1,6.2,11.2,225,30.88,60.20,18.72,31.19,0.000,0.0751,29.898,4.44
132,1/23/15 19:40:00,1.8,-0.204,0.006,1,5.4,8.7,222,30.88,60.60,18.88,31.19,0.000,0.0751,29.895,4.44
133,1/23/15 19:45:00,1.2,-0.204,0.006,1,6.2,9.5,225,30.94,60.70,18.97,31.19,0.000,0.0751,29.895,4.39
134,1/23/15 19:50:00,1.8,-0.204,0.006,1,6.2,11.6,216,30.78,60.70,18.82,31.19,0.000,0.0751,29.889,4.42
135,1/23/15 19:55:00,1.8,-0.204,0.006,1,7.1,10.4,218,30.94,60.80,19.00,31.19,0.000,0.0751,29.886,4.42
136,1/23/15 20:00:00,1.8,-0.204,0.006,1,4.2,9.1,220,30.53,61.00,18.70,31.14,0.000,0.0751,29.883,4.42
137,1/23/15 20:05:00,1.8,-0.204,0.006,1,5.8,10.8,215,30.58,61.30,18.86,31.19,0.000,0.0751,29.883,4.42
138,1/23/15 20:10:00,1.8,-0.204,0.006,1,4.2,7.9,215,30.43,61.70,18.86,31.14,0.000,0.0751,29.883,4.42
139,1/23/15 20:15:00,1.8,-0.204,0.006,1,5.4,8.3,211,30.53,62.00,19.08,31.14,0.000,0.0751,29.880,4.42
140,1/23/15 20:20:00,1.8,-0.204,0.006,1,5.8,10.8,213,30.58,62.10,19.17,31.14,0.000,0.0751,29.880,4.42
141,1/23/15 20:25:00,1.8,-0.204,0.006,1,5.0,8.7,215,30.38,62.40,19.08,31.14,0.000,0.0751,29.877,4.42
142,1/23/15 20:30:00,1.8,-0.204,0.006,1,5.8,9.1,223,30.48,62.70,19.29,31.14,0.000,0.0751,29.877,4.42
143,1/23/15 20:35:00,1.8,-0.204,0.006,1,5.4,10.4,225,30.28,62.80,19.13,31.09,0.000,0.0751,29.877,4.42
144,1/23/15 20:40:00,1.8,-0.204,0.006,1,6.2,10.0,222,30.33,62.90,19.22,31.09,0.000,0.0751,29.874,4.42
145,1/23/15 20:45:00,1.8,-0.204,0.006,1,5.0,8.7,222,30.07,63.20,19.08,31.09,0.000,0.0751,29.871,4.39
146,1/23/15 20:50:00,1.8,-0.204,0.006,1,5.4,9.1,223,30.17,63.30,19.22,31.09,0.000,0.0751,29.865,4.39
147,1/23/15 20:55:00,1.8,-0.204,0.006,1,4.2,9.1,227,29.97,63.30,19.02,31.09,0.000,0.0744,29.859,4.39
148,1/23/15 21:00:00,1.8,-0.204,0.006,1,5.0,8.3,222,30.02,63.50,19.15,31.09,0.000,0.0744,29.856,4.40
149,1/23/15 21:05:00,1.8,-0.204,0.006,1,5.0,7.9,230,30.22,63.70,19.42,31.09,0.000,0.0751,29.859,4.41
150,1/23/15 21:10:00,1.8,-0.204,0.006,1,5.8,10.8,227,30.17,63.60,19.33,31.04,0.000,0.0751,29.856,4.41
151,1/23/15 21:15:00,1.8,-0.204,0.006,1,5.4,7.9,222,30.17,63.60,19.33,31.04,0.000,0.0744,29.850,4.42
152,1/23/15 21:20:00,1.8,-0.204,0.006,1,5.0,8.7,215,30.22,63.70,19.42,31.04,0.000,0.0751,29.847,4.42
153,1/23/15 21:25:00,1.8,-0.204,0.006,1,5.0,9.5,223,30.38,63.70,19.56,31.04,0.000,0.0751,29.844,4.42
154,1/23/15 21:30:00,1.8,-0.204,0.006,1,5.0,8.3,222,30.38,63.40,19.45,31.04,0.000,0.0751,29.839,4.42
155,1/23/15 21:35:00,1.8,-0.204,0.006,1,4.6,9.1,222,30.28,63.70,19.45,31.04,0.000,0.0744,29.836,4.42
156,1/23/15 21:40:00,1.8,-0.204,0.006,1,5.4,9.5,225,30.22,63.80,19.45,31.04,0.000,0.0751,29.836,4.42
157,1/23/15 21:45:00,1.8,-0.204,0.006,1,5.4,10.0,226,30.17,64.20,19.54,31.04,0.000,0.0751,29.836,4.42
158,1/23/15 21:50:00,1.8,-0.204,0.006,1,6.6,10.0,229,30.33,63.90,19.58,31.04,0.000,0.0744,29.836,4.39
159,1/23/15 21:55:00,1.8,-0.204,0.006,1,5.8,9.1,227,30.17,64.00,19.47,31.04,0.000,0.0744,29.839,4.39
160,1/23/15 22:00:00,1.8,-0.204,0.006,1,5.8,8.7,225,30.02,64.50,19.51,31.04,0.000,0.0744,29.839,4.39
161,1/23/15 22:05:00,1.8,-0.204,0.006,1,6.2,10.0,222,30.17,64.80,19.76,30.99,0.000,0.0744,29.839,4.39
162,1/23/15 22:10:00,2.4,-0.204,0.006,1,6.2,10.4,225,30.12,64.80,19.72,30.99,0.000,0.0744,29.833,4.39
163,1/23/15 22:15:00,1.8,-0.204,0.006,1,7.1,10.8,223,30.28,64.90,19.90,30.99,0.000,0.0744,29.836,4.40
164,1/23/15 22:20:00,1.8,-0.204,0.006,1,5.8,13.3,225,30.17,65.00,19.83,30.99,0.000,0.0744,29.830,4.40
