Data Format: 
  dateTimeDelimiter: " "
  decimalSeparator: "."
  dataDelimiter: ","
  dateFormat: M/d/yy
  timeFormat: HH:mm:ss
  gmtOffset: "-5"
  daylightSavings: false

Logger Info: 
  - &1
    launchDescription: "In Field "
    model: U30
    vendor: Onset Computer Corporation
    serialNumber: 9927044
    memorySize: 0
    firmwareVersion: 1.113
    firmwareVersionRaw: 0
    deploymentNumber: 2238
Series Info: 
  - name: "Wetness"
    type: value
    unitName: ""
    OMClassName: OMeasurementH21
    OMPartNumber: S-LWA-M003
    OMUnitIndex: 0
    OMChannelType: 21
    OMValuePattern: "#,##0.0;-#,##0.0"
    logger: *1
  - name: "Voltage"
    type: value
    unitName: ""
    OMClassName: OMeasurementH21
    OMPartNumber: 91-U30-CVIA-XX 
    OMUnitIndex: 0
    OMChannelType: 4
    OMValuePattern: "#,##0.000;-#,##0.000"
    logger: *1
  - name: "Current"
    type: value
    unitName: ""
    OMClassName: OMeasurementH21
    OMPartNumber: 91-U30-CVIA-XX 
    OMUnitIndex: 0
    OMChannelType: 4
    OMValuePattern: "#,##0.000;-#,##0.000"
    logger: *1
  - name: "Solar Rad"
    type: value
    unitName: ""
    OMClassName: OMSolarRad_HWS
    OMPartNumber: S-LIB-XXXX
    OMUnitIndex: 0
    OMChannelType: 19
    OMValuePattern: "#,##0;-#,##0"
    logger: *1
  - name: "Wind Speed"
    type: value
    unitName: "mph"
    OMClassName: OMWindWCA_HWS
    OMPartNumber: S-WCA-XXXX
    OMUnitIndex: 2
    OMChannelType: 16
    OMValuePattern: "#,##0.0;-#,##0.0"
    logger: *1
  - name: "Gust Speed"
    type: value
    unitName: "mph"
    OMClassName: OMWindWCA_HWS
    OMPartNumber: S-WCA-XXXX
    OMUnitIndex: 2
    OMChannelType: 16
    OMValuePattern: "#,##0.0;-#,##0.0"
    logger: *1
  - name: "Wind Dir"
    type: value
    unitName: ""
    OMClassName: OMeasurementH21
    OMPartNumber: S-WCA-XXXX
    OMUnitIndex: 0
    OMChannelType: 16
    OMValuePattern: "#,##0;-#,##0"
    logger: *1
  - name: "Temp"
    type: value
    unitName: "*F"
    OMClassName: OMTemp12bit_HWS
    OMPartNumber: S-THB-XXXX
    OMUnitIndex: 1
    OMChannelType: 1
    OMValuePattern: "#,##0.00;-#,##0.00"
    logger: *1
  - name: "RH"
    type: value
    unitName: ""
    OMClassName: OMRH_HWS
    OMPartNumber: S-THB-XXXX
    OMUnitIndex: 0
    OMChannelType: 2
    OMValuePattern: "#,##0.00;-#,##0.00"
    logger: *1
  - name: "DewPt"
    type: value
    unitName: "*F"
    OMClassName: OMDewPoint_HWS
    OMPartNumber: S-THB-XXXX
    OMUnitIndex: 1
    OMChannelType: 6
    OMValuePattern: "#,##0.00;-#,##0.00"
    logger: *1
  - name: "Temp"
    type: value
    unitName: "*F"
    OMClassName: OMTemp12bit_HWS
    OMPartNumber: S-TMB-XXXX
    OMUnitIndex: 1
    OMChannelType: 1
    OMValuePattern: "#,##0.00;-#,##0.00"
    logger: *1
  - name: "Rain"
    type: value
    unitName: "in"
    OMClassName: OMRain_HWS
    OMPartNumber: S-RGA-M002
    OMUnitIndex: 1
    OMChannelType: 17
    OMValuePattern: "#,##0.000;-#,##0.000"
    logger: *1
  - name: "Water Cont"
    type: value
    unitName: ""
    OMClassName: OMWaterContent_HWS
    OMPartNumber: S-SMC-M003
    OMUnitIndex: 0
    OMChannelType: 4
    OMValuePattern: "#,##0.0000;-#,##0.0000"
    logger: *1
  - name: "Pressure"
    type: value
    unitName: "inHg"
    OMClassName: OMPressure_HWS
    OMPartNumber: S-BPB-XXXX
    OMUnitIndex: 4
    OMChannelType: 4
    OMValuePattern: "#,##0.000;-#,##0.000"
    logger: *1
  - name: "Batt"
    type: value
    unitName: ""
    OMClassName: OMVoltage_PipeBattery
    OMPartNumber: U30 Battery
    OMUnitIndex: 0
    OMChannelType: 5
    OMValuePattern: "#,##0.00;-#,##0.00"
    logger: *1
------------
"#","Time, Eastern Daylight Time","Wetness, %","Voltage, V","Current, mA","Solar Rad, W/m^2","Wind Speed, mph","Gust Speed, mph","Wind Dir, *","Temp, *F","RH, %","DewPt, *F","Temp, *F","Rain, in","Water Cont, m^3/m^3","Pressure, inHg","Batt, V"
1,1/23/15 08:45:00,2.4,-0.204,0.006,222,5.0,8.3,244,24.39,58.10,11.79,30.38,0.000,0.0707,30.110,4.54
2,1/23/15 08:50:00,2.4,-0.204,0.006,233,4.2,7.1,247,24.93,57.80,12.18,30.33,0.000,0.0707,30.113,4.54
3,1/23/15 08:55:00,2.4,-0.204,0.006,244,3.3,7.1,258,25.47,57.10,12.40,30.38,0.000,0.0715,30.113,4.56
4,1/23/15 09:00:00,1.8,-0.204,0.006,254,4.6,7.5,260,25.63,56.10,12.16,30.38,0.000,0.0715,30.116,4.56
5,1/23/15 09:05:00,1.8,-0.204,0.006,264,4.6,7.9,253,25.90,55.10,12.00,30.38,0.000,0.0707,30.113,4.56
6,1/23/15 09:10:00,1.8,-0.204,0.006,274,5.0,8.3,258,26.06,54.60,11.95,30.43,0.000,0.0715,30.113,4.56
7,1/23/15 09:15:00,1.8,-0.204,0.006,286,5.0,10.0,243,26.38,54.30,12.13,30.43,0.000,0.0707,30.113,4.56
8,1/23/15 09:20:00,1.8,-0.204,0.006,298,6.2,10.4,250,26.54,53.50,11.93,30.48,0.000,0.0715,30.113,4.56
9,1/23/15 09:25:00,1.8,-0.204,0.006,307,5.4,8.3,270,26.96,53.10,12.16,30.48,0.000,0.0715,30.113,4.56
10,1/23/15 09:30:00,1.8,-0.204,0.006,316,5.8,8.3,254,26.91,53.00,12.07,30.48,0.000,0.0715,30.113,4.56
11,1/23/15 09:35:00,1.8,-0.204,0.006,323,6.6,12.5,248,27.01,53.30,12.29,30.53,0.000,0.0715,30.113,4.56
12,1/23/15 09:40:00,1.8,-0.204,0.006,333,6.6,10.0,265,27.54,53.00,12.67,30.53,0.000,0.0715,30.113,4.56
13,1/23/15 09:45:00,1.8,-0.204,0.006,342,5.4,9.5,267,28.06,52.60,12.97,30.58,0.000,0.0715,30.110,4.54
14,1/23/15 09:50:00,1.8,-0.204,0.006,351,5.4,7.9,254,28.27,52.40,13.08,30.58,0.000,0.0715,30.110,4.56
15,1/23/15 09:55:00,2.4,-0.204,0.006,359,3.7,6.6,251,29.20,52.30,13.91,30.63,0.000,0.0722,30.113,4.56
16,1/23/15 10:00:00,1.8,-0.204,0.006,367,5.8,9.1,253,28.58,51.10,12.81,30.68,0.000,0.0722,30.110,4.56
17,1/23/15 10:05:00,1.8,-0.204,0.006,377,6.6,10.0,227,28.63,51.50,13.03,30.68,0.000,0.0722,30.110,4.56
18,1/23/15 10:10:00,1.8,-0.204,0.006,383,6.6,11.6,244,28.63,51.20,12.90,30.73,0.000,0.0722,30.104,4.56
19,1/23/15 10:15:00,1.8,-0.204,0.006,391,5.4,9.1,253,29.25,51.00,13.39,30.78,0.000,0.0722,30.104,4.56
20,1/23/15 10:20:00,1.8,-0.204,0.006,396,5.8,9.5,250,29.30,50.50,13.21,30.78,0.000,0.0722,30.104,4.56
21,1/23/15 10:25:00,1.8,-0.204,0.006,402,5.4,8.3,265,30.02,50.50,13.87,30.83,0.000,0.0729,30.101,4.56
22,1/23/15 10:30:00,1.8,-0.204,0.006,409,5.0,8.7,240,30.12,50.00,13.75,30.83,0.000,0.0722,30.098,4.56
23,1/23/15 10:35:00,1.8,-0.204,0.006,414,4.2,10.0,230,31.09,50.10,14.68,30.88,0.000,0.0729,30.098,4.56
24,1/23/15 10:40:00,1.8,-0.204,0.006,421,5.8,9.5,264,30.73,49.60,14.13,30.94,0.000,0.0729,30.095,4.56
25,1/23/15 10:45:00,2.4,-0.204,0.006,424,7.5,10.8,251,30.78,50.80,14.72,30.99,0.000,0.0729,30.087,4.55
26,1/23/15 10:50:00,2.4,-0.204,0.006,429,5.8,11.6,251,31.24,51.20,15.31,30.99,0.000,0.0729,30.087,4.56
27,1/23/15 10:55:00,1.8,-0.204,0.006,433,7.1,12.5,240,30.78,51.60,15.08,31.04,0.000,0.0736,30.084,4.56
28,1/23/15 11:00:00,2.9,-0.204,0.006,438,5.0,10.4,243,31.89,51.80,16.20,31.09,0.000,0.0736,30.081,4.56
29,1/23/15 11:05:00,2.4,-0.204,0.006,441,4.6,10.4,265,32.29,51.10,16.25,31.09,0.000,0.0736,30.078,4.56
30,1/23/15 11:10:00,2.4,-0.204,0.006,446,4.6,8.3,248,32.09,50.80,15.93,31.14,0.000,0.0736,30.075,4.56
31,1/23/15 11:15:00,2.4,-0.204,0.006,448,3.7,7.5,248,33.48,51.10,17.37,31.14,0.000,0.0736,30.072,4.56
32,1/23/15 11:20:00,1.8,-0.204,0.006,451,7.1,12.5,233,32.04,50.80,15.89,31.19,0.000,0.0736,30.069,4.56
33,1/23/15 11:25:00,2.4,-0.204,0.006,453,5.0,10.4,260,33.24,51.40,17.26,31.24,0.000,0.0736,30.066,4.56
34,1/23/15 11:30:00,1.8,-0.204,0.006,456,5.8,9.5,272,32.64,50.90,16.48,31.29,0.000,0.0744,30.063,4.56
35,1/23/15 11:35:00,2.4,-0.204,0.006,457,6.2,10.8,260,32.59,51.20,16.57,31.29,0.000,0.0744,30.060,4.56
36,1/23/15 11:40:00,1.8,-0.204,0.006,459,6.2,10.4,270,33.19,51.40,17.22,31.29,0.000,0.0751,30.054,4.56
37,1/23/15 11:45:00,1.8,-0.204,0.006,461,6.6,11.6,222,32.74,51.00,16.63,31.44,0.000,0.0751,30.054,4.54
38,1/23/15 11:50:00,2.4,-0.204,0.006,462,5.0,7.9,284,33.68,50.70,17.37,31.54,0.000,0.0758,30.054,4.55
39,1/23/15 11:55:00,1.8,-0.204,0.006,459,6.2,10.4,260,32.64,50.70,16.39,31.54,0.000,0.0758,30.048,4.56
40,1/23/15 12:00:00,2.4,-0.204,0.006,459,5.0,10.0,233,33.83,51.60,17.91,31.59,0.000,0.0758,30.042,4.56
41,1/23/15 12:05:00,1.8,-0.204,0.006,456,5.8,11.6,253,33.88,50.90,17.64,31.59,0.000,0.0758,30.036,4.56
42,1/23/15 12:10:00,1.8,-0.204,0.006,457,6.2,11.6,267,33.48,51.20,17.40,31.64,0.000,0.0758,30.036,4.56
43,1/23/15 12:15:00,1.8,-0.204,0.006,456,5.0,9.5,281,33.68,51.00,17.49,31.64,0.000,0.0758,30.031,4.56
44,1/23/15 12:20:00,2.4,-0.204,0.006,456,5.4,10.8,260,34.96,51.10,18.72,31.64,0.000,0.0766,30.028,4.56
45,1/23/15 12:25:00,2.4,-0.204,0.006,454,6.2,11.6,257,34.32,50.40,17.82,31.69,0.000,0.0766,30.022,4.56
46,1/23/15 12:30:00,1.8,-0.204,0.006,451,6.6,12.9,260,33.88,50.30,17.37,31.69,0.000,0.0766,30.019,4.56
47,1/23/15 12:35:00,1.8,-0.204,0.006,444,7.9,13.7,247,33.58,50.80,17.31,31.74,0.000,0.0773,30.016,4.56
48,1/23/15 12:40:00,1.8,-0.204,0.006,444,6.6,11.2,234,34.08,50.30,17.55,31.79,0.000,0.0773,30.010,4.56
49,1/23/15 12:45:00,1.8,-0.204,0.006,442,8.3,12.5,275,33.63,49.50,16.75,31.79,0.000,0.0773,30.010,4.54
50,1/23/15 12:50:00,1.8,-0.204,0.006,439,7.5,12.0,295,33.29,49.80,16.57,31.79,0.000,0.0780,30.007,4.56
51,1/23/15 12:55:00,1.8,-0.204,0.006,433,5.8,10.4,277,34.37,49.90,17.64,31.79,0.000,0.0780,30.004,4.56
52,1/23/15 13:00:00,1.8,-0.204,0.006,431,7.9,13.7,284,34.08,49.40,17.13,31.79,0.000,0.0780,30.001,4.56
53,1/23/15 13:05:00,1.8,-0.204,0.006,427,5.8,10.8,260,34.52,49.00,17.35,31.79,0.000,0.0780,29.998,4.56
54,1/23/15 13:10:00,1.8,-0.204,0.006,422,7.5,12.9,257,34.47,48.60,17.11,31.79,0.000,0.0780,29.995,4.56
55,1/23/15 13:15:00,1.8,-0.204,0.006,417,6.6,14.1,263,34.66,48.70,17.33,31.84,0.000,0.0780,29.995,4.56
56,1/23/15 13:20:00,1.8,-0.204,0.006,408,6.6,11.6,288,34.61,48.60,17.24,31.79,0.000,0.0787,29.986,4.56
57,1/23/15 13:25:00,1.8,-0.204,0.006,406,7.9,13.7,275,34.66,48.30,17.15,31.79,0.000,0.0780,29.983,4.56
58,1/23/15 13:30:00,1.8,-0.204,0.006,398,7.5,13.7,251,34.96,48.80,17.65,31.79,0.000,0.0787,29.974,4.56
59,1/23/15 13:35:00,1.8,-0.204,0.006,392,7.9,13.3,270,34.96,48.60,17.56,31.84,0.000,0.0787,29.974,4.56
60,1/23/15 13:40:00,1.8,-0.204,0.006,386,7.1,12.9,258,35.44,48.60,18.01,31.84,0.000,0.0787,29.971,4.56
61,1/23/15 13:45:00,1.8,-0.204,0.006,376,5.8,10.0,247,35.69,48.40,18.14,31.89,0.000,0.0795,29.966,4.54
62,1/23/15 13:50:00,1.8,-0.204,0.006,369,7.5,12.0,243,34.86,48.40,17.38,31.94,0.000,0.0795,29.963,4.55
63,1/23/15 13:55:00,1.8,-0.204,0.006,361,7.5,13.7,239,35.10,48.90,17.83,31.94,0.000,0.0787,29.960,4.55
64,1/23/15 14:00:00,1.8,-0.204,0.006,353,7.5,15.4,263,35.49,48.80,18.16,31.94,0.000,0.0787,29.957,4.56
65,1/23/15 14:05:00,1.8,-0.204,0.006,347,9.1,14.5,248,35.44,48.70,18.05,31.94,0.000,0.0795,29.954,4.56
66,1/23/15 14:10:00,1.8,-0.204,0.006,338,8.7,12.9,244,35.20,48.80,17.89,31.94,0.000,0.0795,29.951,4.56
67,1/23/15 14:15:00,1.8,-0.204,0.006,328,7.1,12.9,261,35.88,48.60,18.41,31.94,0.000,0.0795,29.954,4.56
68,1/23/15 14:20:00,1.8,-0.204,0.006,319,6.2,12.5,274,36.17,48.30,18.54,31.94,0.000,0.0795,29.951,4.56
69,1/23/15 14:25:00,1.8,-0.204,0.006,311,6.6,12.5,260,35.93,47.90,18.12,31.94,0.000,0.0795,29.951,4.56
70,1/23/15 14:30:00,1.8,-0.204,0.006,301,7.1,15.8,272,35.98,48.00,18.21,31.94,0.000,0.0795,29.948,4.56
