ID,Plot,Feet,Inches,Notes,
BETPAP_GR_5,1,6,5,Dead,We assumed 16 ft 4 in was the max. Inches are on a 10 in scale but equate to 12 inches 
ALNINC_SH_1,1,11,2,,
BETPAP_SH_1A,1,14,6,,
ALNINC_GR_11,1,13,3.5,,
BETPOP_WM_7,1,18,0,est,
BETALL_WM_8,1,11,3,,
ALNINC_WM_2A,1,13,4,,
BETPOP_HF_3,1,16,4,,
BETALL_GR_13,1,10,6,,
ALNINC_WM_5,1,12,9,,
ALNINC_WM_1,1,12,4,,
ALNINC_HF_2,1,10,8.5,,
ALNINC_HF_1,1,10,6,,
BETALL_GR_12,1,12,2,,
BETPOP_GR_5,1,13,7,,
BETPAP_SH_1B,1,13,1,,
ALNINC_WM_2B,1,14,0,,
ALNINC_SH_4,2,13,0,,
ALNINC_SH_5,2,8,7,,
AMECAN_WM_1,2,5,3,,
BETPAP_GR_5A,2,6,4.5,,
BETALL_GR_13,2,9,6,,
ALNINC_WM_5A,2,13,0,,
BETPAP_HF_16,2,16,1.5,,
BETPOP_HF_5,2,,,dead,
ACEPEN_HF_12,2,,,Dead,
BETPOP_WM_7,2,20,4,,
ACEPEN_WM_5,2,,,dead,
BETPAP_GR_5B,2,,,Dead,
ALNINC_HF_9,2,13,5,,
BETPOP_HF_1,2,15,1,,
AMECAN_GR_10,2,,,dead,
ALNINC_WM_5B,2,12,4,,
ACEPEN_HF_12,2,,,dead,
BETALL_GR_9,3,11,6,,
BETPAP_HF_16,3,12,3,,
AMECAN_GR_10A,3,,,dead,
ALNINC_GR_11A,3,13,6,,
BETALL_SH_4,3,10,5,,
BETPOP_GR_5A,3,10,2,,
BETALL_GR_12,3,10,4,,
ALNINC_SH_5,3,10,9,,
BETPAP_GR_8,3,,,dead,
AMECAN_GR_10B,3,5,8.5,,
BETALL_GR_1,3,11,7,,
BETPOP_HF_1,3,13,3,,
ALNINC_GR_1,3,12,0.5,,
BETPOP_GR_5B,3,14,7.5,,
ALNINC_GR_8,3,13,0,,
ACEPEN_HF_12,3,,,dead,
ALNINC_GR_11B,3,12,3,,
BETPOP_WM_7,3,19,4,est,
