Ind,Plot,2.27.18,3.5.18,3.23.18,3.27.18,3.30.18,4.3.18,4.6.18,4.10.18,4.13.18,4.17.18,4.20.18,4.24.18,4.26.18,5.1.18,5.4.18,5.8.18,5.11.18,5.15.18,5.18.18,5.22.18,5.25.18,5.29.18,5.31.18,6.5.18,6.8.18,6.12.18,6.15.18,6.19.18,6.22.18,6.26.18,6.29.18,7.3.18,7.6.18,7.10.18,7.13.18,7.16.18,7.19.18,7.23.18,7.27.18,7.30.18,8.1.18,8.7.18,8.9.18,8.13.18,8.16.18,8.20.18,8.23.18,8.27.18,8.30.18,9.3.18,9.6.18,9.10.18,9.13.18,9.17.18,9.20.18,9.25.18,9.27.18,10.1.18,10.4.18,10.8.18,10.15.18,10.24.18,10.31.18,11.7.18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ALNINC01_HF,1,,,,,55-F,,,,,,,9,11,15,17,"69-F,19",,,,,,,71,71,72,72,75,75,76,76,77,77,"79, 100-m","79,100-m","79,100-m","79,100-m","79,100-m",79-100-m,"79,100-m","79, 100-m","79,100-m","81,100-m","88,100-m,100","101,88,100-m","100-m,88","81,100-m,","81,100-m,101","82,100-m,100","82,100-m,100","82,100-m,100","82,101,100-m","82,101,100-m","82,101,100-m","82,100-m,102","83,100-m","83,100-m","83,101-m","83,101-m","83, 101-m","83,101-m","83,101m,90","89,102-m ,96",97,99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BETALL12_GR,1,,,,,,,,,,,,9,11,15,19,19,,,,,,,,,,,,,,,,,,,,,,,,,,100,100,100,100,100,100,100,100,100,100,100,100,101,101,102,,90,91,91,92,94,96,99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BETPOP05_GR1,1,,,,,,,,,7,7,7,9,11,17,19,19,,,,,,,,,,,,,,,,,,,,,,,,,,,100,100,100,100,101,102,100,100,100,101,101,102,,,,90,91,91,92,94,95,99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BETPAP1_SH,1,,,,,,,,7,7,9,9,11,15,17,19,19,,,,,,,,,,,,,,,,,,,,,,,,,,100,100,100,100,100,100,100,100,101,101,101,101,101,102,92,92,94,94,94,94,95,95,96,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ALNINC02_WM,1,"51-M,","60-M,","69-M,",,69-M,"69-M,",,,9,11,11,11,11,17,19,19,,,,,,,,,,,,,,,,,"79, 100-m","79,100-m","79,100-m","79,100-m","79,100-m","79,100-m","79,100-m","79, 100-m","79,100-m","79,100-m","81,100-m,100","85,100,100-m","85,100,100-m","85,100,100-m","85,100,100-m","85,100-m,100","85,100-m,100","85,100-m,100","85,100,100-m","85,100,100-m","85,100,100-m","85,101,100-m","85,101,100-m","101,85,100-m","101,85,100-m","101,85,100-,90","101,85,100-m","101,85,100-m","85,102,101-m","89,102-m,92",94,94,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ALNINC04_SH,2,"65-M,","67-M,",69-M,,,,,7,,9,9,9,11,"67-F,17","69,19","69,19",,,,,,71,75,75,75,75,77,77,78,78,79,79,79,"79,100-m","79,100-m","79,100-m","79,100-m","79,100-m","79,100-m","79, 100-m","79,100-m","81,100-m,100","85,100-m,100","88,100,100-m","88,100,100-m","85,100,100-m","85,100,100-m","81,100-m,100","81,100-m,100","81,100-m,100","82,100-m,100","82,100-m,100,90","82,100-m,101","82,102,101-m","82,101-m","83,101-m","83,101-m","83,101-m,90","88,102-m,90","89,90",91,92,95,96,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ALNINC05_SH_A,2,,,,,,,,,,7,7,9,"51,11",17,19,19,,,,,,,,,,,,,,,,,,,100-m,100-m,100-m,100-m,100-m,100-m,100-m,"100,100-m","101,100-m",100-m,100-m,"100,100-m","100-m,101","100-m,101","100-m,101","100-m,101","100-m,101","100-m,102",100-m,101-m,101-m,101-m,101-m,"101-m,90","102-m,90",91,93,96,98,96,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AMECAN01_WM,2,THIS IS SPI,,,,7,9,9,11,11,11,11,15,15,17,19,19,,,69,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BETPAP05_GR-A,2,,,,,,,7,9,9,9,11,11,11,17,19,19,,,,,,,,,,,,,,,,,,,,,,,,,,,100,100,100,100,100,100,100,100,100,100,100,101,102,,,90,90,91,91,91,93,93,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BETALL13_GR,2,,,,,,,,,,,7,9,11,11,17,19,,,,,,,,,,,,,,,,,,,,,,,,,,,100,100,100,100,100,100,100,100,100,100,100,101,102,,,90,90,90,91,93,95,98,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
