Ind,Plot,2.27.18,3.5.18,3.23.18,3.27.18,3.30.18,4.3.18,4.6.18,4.10.18,4.13.18,4.17.18,4.20.18,4.24.18,4.26.18,5.1.18,5.4.18,5.8.18,5.11.18,5.15.18,5.18.18,5.22.18,5.25.18,5.29.18,5.31.18,6.5.18,6.8.18,6.12.18,6.15.18,6.19.18,6.22.18,6.26.18,6.29.18,7.3.18,7.6.18,7.10.18,7.13.18,7.16.18,7.19.18,7.23.18,7.27.18,7.30.18,8.1.18,8.7.18,8.9.18,8.13.18,8.16.18,8.20.18,8.23.18,8.27.18,8.30.18,9.3.18,9.6.18,9.10.18,9.13.18,9.17.18,9.20.18,9.25.18,9.27.18,10.1.18,10.4.18,10.8.18,10.15.18,10.24.18,10.31.18,11.7.18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SPIALB12_GR,4,,,,,9,11,11,11,11,11,15,15,17,19,,19,,,,,,,,,55,55,57,60,62,63,67,67,67,67,69,71,71,73,74,77,77,81,85,88,88,88,88,88,"88,67","88,67","88,67","67,88","67,88","67,88","67,88","69,88,92","88,92","88,92","89,92",92,92,93,94,96,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SPITOM05_WM,4,,,,,7,9,9,11,11,11,11,11,15,"60,15","65,19","65,19",69,WEED FLOWER?,,,,,,,,,,,51,55,60,61,64,67,67,67,67,69,71,74,74,79,81,85,88,88,88,88,88,88,88,88,88,88,89,"89,92",92,92,92,92,93,93,93,93,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SPIALB02_WM,4,,,,,,7,9,9,11,11,11,15,15,17,19,19,,,,,,,,,,51,55,55,57,57,64,65,67,67,67,69,71,73,73,78,78,79,84,88,88,88,88,88,"88,67","88,67","88,67","88,67","88,67","88,67","88,67","67,88","67,89","67,89","67,89","67,90",92,93,93,93,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MYRGAL01_SH_A,4,,,"51-M,","60-M,",63-M,63-M,65-M,65-M,69-M,67-M,69,11,15,15,19,19,,,,,,,,,,,,,,,,,,100,100,100,"101,101-m",,,,,,,,,,,,,,,90,90,95,95,95,95,95,"65-m,95","65-m,95",96,96,96,98,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AROMEL02_WM,4,,,,,,,7,9,9,11,15,15,15,"51,17","55,19","51,19",62,65,65,67,69,71,75,75,75,75,75,75,78,78,79,79,81,"81,100","81,100","81,100","81,100","87,100","89,100","89,100","89,100","81,100","85,100","88,101",89,89,,,"89,101",89,89,89,89,"89,90","89,92","89,92","89,92",94,95,95,96,97,98,99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AROMEL07_WM,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SPIALB09_SH,4,,,,",7",10,11,11,11,11,15,15,15,17,19,19,19,,,,,,,,,55,55,59,61,65,67,67,67,67,67,67,69,71,73,74,77,77,81,85,85,85,85,85,87,"88,67","88,67","88,67","88,67",88,88,"67,88,90","67,88,90","67,88,90","67,88,90","88,90","89,90",92,95,95,97,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SPITOM05_WM,4,,,,,7,9,9,11,11,11,11,15,15,17,"60,19",19,,,,,,,,,,,51,55,57,57,60,61,64,67,67,69,71,71,71,74,74,79,81,85,85,85,87,88,88,88,88,89,89,92,92,93,93,94,94,95,95,96,96,97,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MYRGAL02_SH,4,,"51-M,","60-M,","60-M,",65-M,65-M,65-M,65-M,65-M,65-M,69,11,15,17,19,19,,,,,,,,,,,,,,,,,,100,100,100,"101,101-m",,,,,,,,,,,,,,,90,90,94,94,95,95,95,95,95,95,96,96,98,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MYRGAL08_GR_A,4,,,,,,,,,,,,,9,11,17,17,19,,,,,,,,,,,,,,,,,100,100,100,100,100,100,101,,,,,,,,,,,,90,90,92,94,94,94,95,95,95,95,97,97,98,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SPIALB01_HF,4,,,,,7,11,11,11,11,11,11,15,17,19,19,19,,,,,,,,51,55,55,59,59,61,62,63,67,67,67,67,67,67,67,69,71,72,79,81,85,86,86,86,87,88,88,88,"88,67","88,67","88,67","67,88",88,89,"67,89","67,89",67,,90,91,92,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SPIALB02_WM,4,,,,,,9,11,11,11,11,11,15,17,17,19,19,,,,,,,,,55,55,55,59,62,65,67,67,69,,71,71,71,73,73,76,76,81,82,84,84,84,85,85,88,88,88,"88,67","88,67",88,"88,90","89,92","88,92","88,92","88,92","88,92","88,92","94,89",95,98,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SPITOM99_SH,4,,,,,,9,9,11,11,11,11,11,15,17,19,19,,,,,,,,,53,51,51,51,55,55,59,59,62,65,67,67,67,67,67,69,71,79,79,79,81,85,86,88,89,89,89,88,88,88,"89,90",92,92,94,95,96,96,97,97,98,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MYRGAL08_GR_B,4,,,,,,,,,,,,,9,9,15,17,19,,,,,,,,,,,,,,,,,,,100,100,100,100,101,,,,,,,,,,,,90,90,90,90,92,92,92,92,92,92,92,94,98,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SPIALB04_HF,4,,,,,7,9,9,11,11,11,11,15,15,17,19,19,,,,,,,,,55,55,59,59,60,62,67,67,67,67,67,67,67,67,69,72,72,79,81,85,85,85,86,86,87,88,88,"88,67","88,67","88,67","67,88","67,88","67,89","67,89","67,89,91","67,91",92,94,94,96,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SPITOM09_SH,4,,,,,,7,9,9,11,11,11,11,15,17,19,19,,,,,,,,,51,51,51,51,55,55,57,59,64,65,67,67,67,67,69,72,72,79,81,84,85,85,85,88,88,89,89,89,89,92,92,94,94,94,94,94,95,96,97,98,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SPITOM05_WM,4,,,,",7",7,7,11,11,11,11,11-D,11,15,17,19,19,,,,,,,,,51,51,51,51,55,55,59,59,64,65,67,67,67,69,69,72,72,79,81,84,84,85,85,88,88,89,89,89,89,90,90,90,90,90,90,92,93,94,97,98,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SPIALB08_SH,4,,,,,7,9,11,11,11,11,15,15,17,19,19,19,,,,,,,,,55,55,57,57,59,64,67,67,67,67,67,69,71,71,71,74,74,79,81,84,84,84,84,85,87,88,88,88,88,88,89,90,"89,90",90,"89,90",90,91,93,95,98,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MYRGAL01_SH,4,,,,,,,,,,,,9,11,"65-F,15","67-F,17","67-F,17",67,69,,,,,,71,75,75,78,78,79,79,81,81,,"81,100","81,100","83,100","83,100","83,100","83,100","85,101",85,85,86,87,87,87,87,87,87,87,87,"87,90","87,90","89,90","89,99","89,92","89,92","89,92","89,92",92,92,93,93,94,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SPIALB03_GR,4,,,,,7,9,11,11,11,11,11,15,15,17,19,19,,,,,,,,,55,55,55,55,55,59,64,67,67,67,69,71,72,73,73,76,76,81,85,86,87,88,88,88,88,88,88,89,89,89,89,90,"89,90",90,91,93,93,95,96,99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VIBCAS04_WM,4,,,,,,,,,9,9,11,11,11,17,19,19,,,,,,,,,,,,,,,,,,100,100,100,100,100,100,101,,,,,,,,,,,,,,,,,,,,,90,91,93,94,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VIBCAS12_GR,4,,,,,,,,,9,9,11,11,15,17,"51,19","51,19",51,51,55,55,55,65,67,67,71,71,72,74,75,76,78,78,"81, 100","81,100","81,101","81,100","81,100","81,101","81,101",85,85,86,86,88,88,89,,,,,,,,90,90,90,90,91,91,92,93,94,96,98,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MYRGAL06_WM_A,4,,,,,,,,,,,,9,9,11,17,17,19,,,,,,,,,,,,,,,,,,,,,,100,100,100,101,,,,,,,,,92,92,92,92,92,92,92,93,93,93,93,94,94,95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AROMEL15_WM 05?,4,,,,,,7,9,9,9,11,11,15,15,"51,17","60,19","61,19",65,65,67,67,69,71,71,72,72,72,72,,75,,,,,100,100,100,100,100,100,100,100,100,100,100,101,,,,,,,,,90,90,90,90,92,94,94,94,96,96,99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SPIALB04_SH,4,,,,,7,11,11,11,11,11,15,15,15,19,,19,,,,,,,,51,55,55,57,60,63,65,67,67,67,67,67,67,69,73,73,76,76,79,81,84,87,88,88,88,"88,67","67,88","67,88","67,88","67,88","67,88","67,88","67,88","67,89","67,90","67,90","67,91",91,92,92,95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SPIALB07_SH,4,,,,,7,11,11,11,11,11,15,15,15,19,,19,,,,,,,,51,55,55,57,59,61,64,67,67,67,67,67,69,71,73,73,78,78,79,81,84,"65,87","67,87","67,87","67,87","87,67","67,88","67,88","67,88","67,88","67,89",89,,89,89,"89,90",90,92,93,93,98,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MYRGAL06_WM_B,4,,,,,,,,,,,,9,11,"60-F,15",19,19,,,,,,,,,,,,,,,,,,,100,100,100,100,100,101,,,,,,,,,,,,94,94,94,94,94,94,94,94,94,95,96,96,97,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SPIALB07_GR,4,,,,,7,9,11,11,11,11,11,15,15,17,19,19,,,,,,,,51,55,55,57,62,62,65,68,67,67,67,67,67,69,71,71,75,75,79,79,79,79,81,84,87,87,88,88,88,88,88,"89,92",94,"89,94","89,95",95,95,95,96,96,98,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SPIALB04_SH,4,,,,,9,11,11,11,11,11,11,15,15,17,19,19,,,,,,,,51,55,55,61,61,64,64,67,67,67,67,67,69,71,73,73,76,76,79,79,79,79,81,84,85,"85,67","87,67","87,67","67,88","67,88","67,88",84,85,88,"88,93","88,93","88,93","88,93","89,93",93,95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SPIALB07_WM,4,,,,,7,9,11,11,11,11,11,15,15,17,19,19,,,,,,,,,51,55,55,55,60,61,67,67,67,67,67,69,71,71,73,75,75,79,81,84,"67,87",88,88,88,88,88,88,88,88,88,88,"89,90","89,90","89,90",90,92,93,93,95,95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VIBCAS12_GR-B,4,,,,,,,,9,9,9,11,11,11,17,19,19,,,,,,,,,,,,,,,,,,100,100,100,100,100,100,101,,,,,,,,,,,,,,,,,,,,,91,92,92,94,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MYRGAL08_GR_C,4,,,,,,,,,,,,11,11,15,19,19,,,,,,,,,,,,,,,,,,100,100,100,100,100,100,100,100,100,100,100,101,,,,,,,,90,90,90,90,90,90,90,91,92,92,96,98,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SPIALB08_HF,4,,,,,7,11,11,11,11,11,11,15,15,17,19,19,,,,,,,,,51,55,57,57,59,59,60,64,67,67,67,67,67,71,73,76,76,79,81,84,85,85,86,86,87,87,87,87,87,87,87,"67,88","67,88","67,89","67,89,90","67,91",91,93,93,95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SPITOM05_WM,4,,,,,7,11,11,11,11,11,11,11,15,17,19,19,,,,,,,,,51,51,55,55,55,55,59,61,65,67,67,69,71,71,73,75,75,79,81,84,85,86,86,88,89,,89,,89,89,"89,90",90,90,93,93,94,95,97,98,99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SPIALB01_SH,4,,,,,7,9,9,11,11,11,11,15,17,17,19,19,,,,,,,,,51,55,57,57,61,64,66,67,71,71,71,71,71,73,73,75,75,79,81,84,85,85,85,86,87,88,88,88,88,88,88,"89,92","89,92","89,93",94,94,95,96,97,97,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MYRGAL02_SH,4,,,,,60-M,60-M,62-M,62-M,65-M,65-M,67,69,11,15,19,19,,,,,,,,,,,,,,,,,,100,100,100,100,"101,100-m","101,101-m",,,,,,,,,,,,92,94,94,94,95,96,96,96,96,96,96,96,96,97,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VIBCAS05_SH,4,,,,,,,,15-D?,9,9,9,11,11,"51,17","51,19","51,19",51,51,57,57,57,57,61,65,67,67,69,71,73,74,77,78,79,"81,100","81,100","81,100","81,100","81,100","81,100","85,100","85,100","85,101",85,85,85,85,85,85,85,85,85,"85,92","85,92","87,92","87,92","88,92","88,92","88,93","88,93","88,93","88,93","89,94",94,98,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MYRGAL08_GR_D,4,,,,,,,,,,,,9,11,11,17,19,,,,,,,,,,,,,,,,,,,,,,,,100,100,100,100,100,101,,,,,,92,92,92,92,92,94,94,94,94,94,95,96,97,99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SPIALB07_WM,4,,,,",7",7,9,11,11,11,11,11,15,17,19,,19,,,,,,,55,55,57,57,62,65,67,67,68,68,67,67,67,69,71,73,73,78,78,79,81,84,"67,86","67,86","67,86","67,86","67,87","67,88","67,88","67,88","67,88","67,88","67,88","67,88","67,89",67,"67,91",91,92,94,95,96,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SPITOM05_WM,4,,,,rep,,7,9,9,11,11,11,11,15,17,19,19,,,,,,,,,,51,51,51,55,55,59,59,62,65,67,67,69,71,71,75,75,79,81,84,86,86,86,86,88,89,89,,89,"89,90","89,90",90,90,91,91,91,92,96,96,98,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AROMEL04_HF,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AROMEL05_WM,4,,,,,,,,,,,,,,,,,,19,,,,,,,,,,,,,,,,,100,100,100,100,100,100,100,100,100,100,101,,,,,,,,,,,,90,92,94,94,94,99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SPIALB09_SH,4,,,,",7",7,11,11,11,11,11,11,15,17,19,,19,,,,,,,,51,55,55,59,59,62,65,67,67,71,71,71,71,71,71,71,75,75,74,77,"69,74","67,84","67,88","67,88","67,88","88,67","67,88","67,88","67,88","67,88","67,88","67,88","67,88,90","67,88,91","67,89,92",92,93,93,95,96,97,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VIBCAS10_GR,4,,,,",15",,15-D,15-D,15-D,11,11,11,15,15,17,19,19,,,,,,,,,,,,,,,,,100,100,101,101,,,,,,,,,,,,,,,,,,,,,,,,90,90,92,93,94,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BETPAP08_GR,5,,,,",7",7,7,9,9,9,9,9,9,9,15,17,17,17,19,,,,,,,,,,,,,,,,,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,"102,90",90,90,90,91,91,92,92,92,92,94,95,99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BETALL08_WM,5,,,,,,,7,7,9,9,9,9,9,11,17,17,19,,,,,,,,,,,,,,,,,,,,,,,,,100,100,100,100,100,100,100,100,100,101,101,102,,,,,90,90,92,93,96,96,99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BETALL09_WM,5,,,,,,,7,7,7,7,7,9,9,9,15,17,19,,,,,,,,,,,,,,,,,,,,,,,,,100,100,100,100,100,100,100,100,100,100,"100,90",100,101,101,102,,90,91,94,95,97,97,98,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ACEPEN12_HF,5,,,,rep,,,,,,,,,,,,15,17,"51,17","55,17","60,17","62,17","69,17","71,19",71,72,72,,,,,,,,,,,,,,100,100,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AMECAN10_GR,5,,,,,,,7,7,9,9,11,11,"51,11","51,15","60,19","67,19",69,71,,75,78,78,79,79,79,79,79,79,,,,100,100,100,101,,,,,,,,,,,,,,,,,90,90,91,93,94,94,94,95,95,96,97,98,99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ALNINC08_GR-A,5,,,,,,,,,,,,11,11,17,19,19,,,,,,,,,,,,,,,,,,,,,,,,,,100,100,100,100,100,"100,100-m","100,100-m","100,100-m","100,100-m","100,100-m","101,100-m","101,100-m",101.100-m,"102,100-m",101-m,101-m,,,101-m,101-m,90,91,96,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ALNINC08_GR-B,5,,,,,,,,7,7,9,9,11,11,17,19,19,,,,,,,,,,,,,,,,,,,,,,,,,100-m,100-m,"100-m,100","100-m,101",100-m,"100-m,101","100-m,101","101,100-m","101,100-m","101,100-m","101,100-m","101,100-m,90","101,100-m","101,100-m","101,101-m,90","102,101--m,92","101-m,90","101-m,90","101-m,90","101-m,90","101-m,91","102-m,92",93,94,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ALNINC01_GR,5,,,,,,,,7,9,9,11,11,11,17,17,19,,,,,,,,,,,,,,,,,,,,,,,,,100-m,"100-m,100","100-m,100","101,100-m",100-m,"100-m,101","100-m,101","101,100-m","101,100-m","101,100-m","101,100-m","101,100-m,90","101,100-m","101,100-m","101,100-m","102,100-m",100-m,101-m,101-m,101-m,"102-m,90",91,93,96,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
QUERUB9_HF,5,,,,,,,,,9,,7,9,11,15,19,19,,,,,,,,,,,,,,,,,,,,,,,,100,100,101,,,,,,,,,,,,,,90,90,90,90,91,92,94,94,94,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AMECAN04_SH,5,,,,,,,9,9,9,9,9,11,"51,11","51,17","60,19","67,19",69,71,,73,75,77,78,79,79,79,79,79,79,87,89,89,100,100,100,100,100,101,,,,,,,,,,,,,,,,90,90,90,92,92,94,95,96,96,96,97,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AMECAN10_GR,5,,,,,,,7,7,9,9,9,11,"51,11","51,17","65,19","67,19",69,71,,72,78,78,79,79,79,79,79,79,79,89,,87,89,100,100,100,100,101,,,,,,,,,,,,,,90,90,90,90,92,90,93,93,93,94,98,98,99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BETALL08_WM,5,,,,,,,,7,7,7,9,11,"51,11",11,17,19,,,,,,,,,,,,,,,,,,,,,,,,,,100,100,100,100,100,100,100,100,100,100,100,100,101,101,102,,90,90,91,92,96,96,98,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BETPAP16_HF,5,,,,,,,,,7,9,9,11,11,17,19,19,,,,,,,,,,,,,,,,,,,,,,,,,,100,100,100,100,100,100,100,100,100,100,100,101,101,"101,94","94,102",,95,95,95,95,96,96,97,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
QUERUB99_HF,5,,,,,,,,,,,,9,11,9,15,17,19,,,,,,,,,,,,,,,,,,,100,100,100,100,101,,,,,,,,,,,,,,,,,,,,,91,94,95,95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ACEPEN05_WM,5,,,,,,,7,7,9,9,9,9,11,11,17,17,19,,,,,,,,,,,,,,,,,,100,100,100,100,100,100,100,100,100,100,100,100,100,100,"100,11",100,"100,15","100,15,90",15,90,90,94,94,94,94,95,95,95,97,99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ALNINC06_SH,5,"60-M,","67-M,","69-M,",,,,,7,7,9,9,11,15,15,19,19,,,,,,,75,76,78,78,79,79,79,79,81,"100-m,","81, 100-m","81,100-m","81,100","81,100-m","81,100-m","81,100-m","81,100-m","82,100-m","82,100-m","84,100-m","85,100-m,100","88,100-m,101","101-m,88","100-m,88,100","100-m,88,100","100-m,85,100","100-m,85,100","100-m,85,100","85,100-m,100","101,85,100-m","101,85,100-m","101,85,101-m","101,85,101-m","101,85,101-m","101,85,101-m","101-m,85,101","101-m,85,101","101-m,85,102","102-m,86","89,90",94,97,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BETALL09_SH,6,,,,,,,,,,,7,9,9,11,17,17,19,,,,,,,,,,,,,,,,,,,,,,,,,100,100,100,100,100,101,102,,,,90,90,90,90,94,94,94,94,94,95,97,97,99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BETPOP05_GR,6,,,,,,,,,7,7,9,9,11,15,19,19,,,,,,,,,,,,,,,,,,,,,,,,,,100,100,100,100,100,"100,100-m","101,100-m","101,100-m","101,100-m",101,"101,100-m",101,101,"101,90","102,93",94,95,95,95,95,96,97,99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BETPOP03_GR,6,,,,,,,,7,9,9,11,11,11,17,19,19,,,,,,,,,,,,,,,,,,,,,,,,,,,100,100,100,100,100,100,100,100,100,100,100,100,"90,101","102,92",92,94,94,94,94,95,96,98,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AMECAN04_SH,6,,,,,,,7,7,9,9,9,11,11,17,19,19,,,,,,,,,,,,,,,,,100,100,100,100,100,100,100,100,100,100,101,,,,,,,,,,,90,90,93,93,93,93,94,94,94,96,97,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BETPAP08_GR,6,,,,,,,,,7,7,9,9,9,9,15,17,19,,,,,,,,,,,,,,,,,,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,102,,,,90,90,92,92,94,95,95,96,96,98,99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BETPOP03_HF,6,,,,,,,,,7,9,9,9,11,17,19,19,,,,,,,,,,,,,,,,,,,,,,,,,,,100,100,"100,100-m","100,100-m","100,100-m","100,100-m","100,100-m","100,100-m","100,100-m",100,101,101,102,90,90,92,92,93,93,96,97,98,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BETPOP03_HF,6,,,,,,,,,7,7,9,9,9,15,19,"65-F,19",69,,,,,,71,71,72,72,75,75,77,77,79,79,79,79,"79,100-m,100","79,100-m,100","81,100-m,100","81,100-m,100","81,100-m,100","82,100-m,100","82,100-m,100","88,100,100-m","88,100,100-m","89,100,100-m","88,100,100-m","88,100,100-m","88,100,100-m","88,100,100-m","88,100,100-m","100,100-m,88","101,100-m,88","101,100-m,88","101,100-m,88","101,100-m,88","102,101-m,88","88,101-m","88,101-m","101-m,88","101-m,88","101-m,88","101-m,88,92","102-m,89,96",96,98,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
