sp,site,rep,ind,done,set,space,order,plotno
BETPAP,GR,9,BETPAP_GR_9,x,Tree,1.5,1,1
ACEPEN,SH,7,ACEPEN_SH_7,x,Tree,3,2,1
BETPAP,SH,1,BETPAP_SH_1,x,Tree,1.5,3,1
ALNINC,GR,5,ALNINC_GR_5,x,Tree,3,4,1
BETPOP,WM,9,BETPOP_WM_9,x,Tree,1.5,5,1
BETALL,WM,6,BETALL_WM_6,x,Tree,1.5,6,1
ALNINC,WM,3,ALNINC_WM_3,x,Tree,3,7,1
BETPOP,HF,2,BETPOP_HF_2,x,Tree,1.5,8,1
BETALL,GR,7,BETALL_GR_7,x,Tree,1.5,9,1
ACEPEN,SH,8,ACEPEN_SH_8,x,Tree,3,10,1
ACEPEN,SH,3,ACEPEN_SH_3,x,Tree,3,11,1
ALNINC,WM,6,ALNINC_WM_6,x,Tree,3,12,1
ALNINC,HF,1,ALNINC_HF_1,x,Tree,3,13,1
BETALL,GR,1,BETALL_GR_1,x,Tree,1.5,14,1
BETPOP,GR,9,BETPOP_GR_9,x,Tree,1.5,15,1
AMECAN,HF,8,AMECAN_HF_8,x,Tree,1.5,16,1
BETPAP,SH,5,BETPAP_SH_5,x,Tree,1.5,17,1
ALNINC,WM,9,ALNINC_WM_9,x,Tree,3,18,1
ALNINC,SH,5,ALNINC_SH_5,x,Tree,3,19,2
ALNINC,SH,4,ALNINC_SH_4,x,Tree,3,20,2
AMECAN,WM,6,AMECAN_WM_6,x,Tree,1.5,21,2
BETPAP,GR,7,BETPAP_GR_7,x,Tree,1.5,22,2
BETALL,GR,6,BETALL_GR_6,x,Tree,1.5,23,2
AMECAN,HF,6,AMECAN_HF_6,x,Tree,1.5,24,2
ALNINC,WM,8,ALNINC_WM_8,x,Tree,3,25,2
BETPAP,HF,4,BETPAP_HF_4,x,Tree,1.5,26,2
BETPOP,HF,5,BETPOP_HF_5,x,Tree,1.5,27,2
BETPAP,WM,5,BETPAP_WM_5,x,Tree,1.5,28,2
ACEPEN,HF,6,ACEPEN_HF_6,x,Tree,3,29,2
BETPOP,WM,4,BETPOP_WM_4,x,Tree,1.5,30,2
ACEPEN,WM,2,ACEPEN_WM_2,x,Tree,3,31,2
BETPAP,GR,6,BETPAP_GR_6,x,Tree,1.5,32,2
ALNINC,HF,9,ALNINC_HF_9,x,Tree,3,33,2
BETPOP,HF,7,BETPOP_HF_7,x,Tree,1.5,34,2
AMECAN,WM,8,AMECAN_WM_8,x,Tree,1.5,35,2
AMECAN,HF,1,AMECAN_HF_1,x,Tree,1.5,36,2
AMECAN,GR,8,AMECAN_GR_8,x,Tree,1.5,37,2
ALNINC,WM,5,ALNINC_WM_5,x,Tree,3,38,2
ACEPEN,HF,5,ACEPEN_HF_5,x,Tree,3,39,2
BETALL,GR,4,BETALL_GR_4,x,Tree,1.5,40,3
BETPAP,HF,6,BETPAP_HF_6,x,Tree,1.5,41,3
AMECAN,GR,7,AMECAN_GR_7,x,Tree,1.5,42,3
AMECAN,WM,9,AMECAN_WM_9,x,Tree,1.5,43,3
BETPAP,SH,7,BETPAP_SH_7,x,Tree,1.5,44,3
BETPAP,WM,7,BETPAP_WM_7,x,Tree,1.5,45,3
BETALL,SH,1,BETALL_SH_1,x,Tree,1.5,46,3
BETPOP,GR,1,BETPOP_GR_1,x,Tree,1.5,47,3
BETALL,GR,9,BETALL_GR_9,x,Tree,1.5,48,3
ACEPEN,SH,4,ACEPEN_SH_4,x,Tree,3,49,3
BETPAP,GR,4,BETPAP_GR_4,x,Tree,1.5,50,3
AMECAN,GR,2,AMECAN_GR_2,x,Tree,1.5,51,3
BETALL,GR,5,BETALL_GR_5,x,Tree,1.5,52,3
BETPOP,SH,2,BETPOP_SH_2,x,Tree,1.5,53,3
ALNINC,GR,1,ALNINC_GR_1,x,Tree,3,54,3
BETPOP,GR,5,BETPOP_GR_5,x,Tree,1.5,55,3
AMECAN,WM,4,AMECAN_WM_4,x,Tree,1.5,56,3
ALNINC,GR,9,ALNINC_GR_9,x,Tree,3,57,3
ALNINC,GR,2,ALNINC_GR_2,x,Tree,3,58,3
ALNINC,WM,1,ALNINC_WM_1,x,Tree,3,59,3
ACEPEN,HF,9,ACEPEN_HF_9,x,Tree,3,60,3
BETPOP,WM,7,BETPOP_WM_7,x,Tree,1.5,61,3
VIBCAS,SH,1,VIBCAS_SH_1,x,Shrub Sun,1,1,4
VIBCAS,GR,4,VIBCAS_GR_4,x,Shrub Sun,1,2,4
SPIALB,GR,1,SPIALB_GR_1,x,Shrub Sun,1,3,4
SPITOM,WM,5,SPITOM_WM_5,x,Shrub Sun,1,4,4
SPIALB,WM,2,SPIALB_WM_2,x,Shrub Sun,1,5,4
MYRGAL,SH,8,MYRGAL_SH_8,x,Shrub Sun,1,6,4
MYRGAL,GR,9,MYRGAL_GR_9,x,Shrub Sun,1,7,4
AROMEL,WM,2,AROMEL_WM_2,x,Shrub Sun,1,8,4
AROMEL,WM,6,AROMEL_WM_6,x,Shrub Sun,1,9,4
SPIALB,SH,7,SPIALB_SH_7,x,Shrub Sun,1,10,4
SPITOM,WM,9,SPITOM_WM_9,x,Shrub Sun,1,11,4
MYRGAL,SH,3,MYRGAL_SH_3,x,Shrub Sun,1,12,4
MYRGAL,HF,4,MYRGAL_HF_4,x,Shrub Sun,1,13,4
SPIALB,HF,1,SPIALB_HF_1,x,Shrub Sun,1,14,4
AROMEL,SH,4,AROMEL_SH_4,x,Shrub Sun,1,15,4
SPITOM,SH,2,SPITOM_SH_2,x,Shrub Sun,1,16,4
MYRGAL,GR,6,MYRGAL_GR_6,x,Shrub Sun,1,17,4
SPIALB,HF,5,SPIALB_HF_5,x,Shrub Sun,1,18,4
SPITOM,SH,6,SPITOM_SH_6,x,Shrub Sun,1,19,4
SPITOM,WM,8,SPITOM_WM_8,x,Shrub Sun,1,20,4
MYRGAL,HF,8,MYRGAL_HF_8,x,Shrub Sun,1,21,4
MYRGAL,SH,4,MYRGAL_SH_4,x,Shrub Sun,1,22,4
SPIALB,GR,2,SPIALB_GR_2,x,Shrub Sun,1,23,4
VIBCAS,WM,2,VIBCAS_WM_2,x,Shrub Sun,1,24,4
VIBCAS,GR,7,VIBCAS_GR_7,x,Shrub Sun,1,25,4
MYRGAL,WM,6,MYRGAL_WM_6,x,Shrub Sun,1,26,4
AROMEL,WM,3,AROMEL_WM_3,x,Shrub Sun,1,27,4
SPIALB,SH,2,SPIALB_SH_2,x,Shrub Sun,1,28,4
SPIALB,SH,1,SPIALB_SH_1,x,Shrub Sun,1,29,4
MYRGAL,WM,7,MYRGAL_WM_7,x,Shrub Sun,1,30,4
SPIALB,GR,9,SPIALB_GR_9,x,Shrub Sun,1,31,4
MYRGAL,HF,3,MYRGAL_HF_3,x,Shrub Sun,1,32,4
SPIALB,WM,6,SPIALB_WM_6,x,Shrub Sun,1,33,4
VIBCAS,HF,1,VIBCAS_HF_1,x,Shrub Sun,1,34,4
