"site","year","ffd.50","ffd.80","ffd.90","spring.50","spring.80","spring.90","fall.50","fall.80","fall.90","n.yrs"
"Harvard forest",1980,108,108,108,164,164,164,272,272,272,1
"Harvard forest",1981,134,134,134,139,139,139,273,273,273,1
"Harvard forest",1982,159,159,159,125,125,125,284,284,284,1
"Harvard forest",1983,129,129,129,139,139,139,268,268,268,1
"Harvard forest",1984,121,121,121,139,139,139,260,260,260,1
"Harvard forest",1985,127,127,127,129,129,129,256,256,256,1
"Harvard forest",1986,126,126,126,154,154,154,280,280,280,1
"Harvard forest",1987,135,135,135,134,134,134,269,269,269,1
"Harvard forest",1988,135,135,135,125,125,125,260,260,260,1
"Harvard forest",1989,140,140,140,128,128,128,268,268,268,1
"Harvard forest",1990,129,129,129,132,132,132,261,261,261,1
"Harvard forest",1991,160,160,160,112,112,112,272,272,272,1
"Harvard forest",1992,121,121,121,147,147,147,268,268,268,1
"Harvard forest",1993,144,144,144,119,119,119,263,263,263,1
"Harvard forest",1994,128,128,128,148,148,148,276,276,276,1
"Harvard forest",1995,125,125,125,129,129,129,254,254,254,1
"Harvard forest",1996,142,142,142,136,136,136,278,278,278,1
"Harvard forest",1997,140,140,140,128,128,128,268,268,268,1
"Harvard forest",1998,133,133,133,134,134,134,267,267,267,1
"Harvard forest",1999,146,146,146,134,134,134,280,280,280,1
"Harvard forest",2000,148,148,148,124,124,124,272,272,272,1
"Harvard forest",2001,153,153,153,128,128,128,281,281,281,1
"Harvard forest",2002,140,140,140,142,142,142,282,282,282,1
"Harvard forest",2003,138,138,138,138,138,138,276,276,276,1
"Harvard forest",2004,154,154,154,126,126,126,280,280,280,1
"Harvard forest",2005,161,161,161,133,133,133,294,294,294,1
"Harvard forest",2006,166,166,166,120,120,120,286,286,286,1
"Harvard forest",2007,175,175,175,127,127,127,302,302,302,1
"Harvard forest",2008,170,170,170,122,122,122,292,292,292,1
"Harvard forest",2009,174,174,174,110,110,110,284,284,284,1
"Harvard forest",2010,161,161,161,131,131,131,292,292,292,1
"Harvard forest",2011,166,166,166,113,113,113,279,279,279,1
"Harvard forest",2012,166,166,166,121,121,121,287,287,287,1
"Harvard forest",2013,161,161,161,135,135,135,296,296,296,1
"Harvard forest",2014,152,152,152,127,127,127,279,279,279,1
"Harvard forest",2015,175,175,175,116,116,116,291,291,291,1
"Harvard forest",2016,154,154,154,131,131,131,285,285,285,1
"Harvard forest",2017,161,161,161,129,129,129,290,290,290,1
"Harvard forest",2018,177,177,177,114,114,114,291,291,291,1
"Harvard forest",2019,159,159,159,119,119,119,278,278,278,1
"Harvard forest",2020,130,130,130,135,135,135,265,265,265,1
"Harvard forest",2021,188,188,188,114,114,114,302,302,302,1
"White Mountain",1980,120,120,120,149,149,149,269,269,269,1
"White Mountain",1981,134,134,134,140,140,140,274,274,274,1
"White Mountain",1982,141,141,141,142,142,142,283,283,283,1
"White Mountain",1983,129,129,129,139,139,139,268,268,268,1
"White Mountain",1984,120,120,120,140,140,140,260,260,260,1
"White Mountain",1985,116,116,116,139,139,139,255,255,255,1
"White Mountain",1986,117,117,117,154,154,154,271,271,271,1
"White Mountain",1987,129,129,129,140,140,140,269,269,269,1
"White Mountain",1988,131,131,131,129,129,129,260,260,260,1
"White Mountain",1989,139,139,139,129,129,129,268,268,268,1
"White Mountain",1990,162,162,162,128,128,128,290,290,290,1
"White Mountain",1991,126,126,126,139,139,139,265,265,265,1
"White Mountain",1992,122,122,122,146,146,146,268,268,268,1
"White Mountain",1993,125,125,125,138,138,138,263,263,263,1
"White Mountain",1994,127,127,127,148,148,148,275,275,275,1
"White Mountain",1995,125,125,125,129,129,129,254,254,254,1
"White Mountain",1996,121,121,121,147,147,147,268,268,268,1
"White Mountain",1997,118,118,118,147,147,147,265,265,265,1
"White Mountain",1998,148,148,148,119,119,119,267,267,267,1
"White Mountain",1999,145,145,145,134,134,134,279,279,279,1
"White Mountain",2000,130,130,130,141,141,141,271,271,271,1
"White Mountain",2001,124,124,124,134,134,134,258,258,258,1
"White Mountain",2002,139,139,139,142,142,142,281,281,281,1
"White Mountain",2003,139,139,139,137,137,137,276,276,276,1
"White Mountain",2004,149,149,149,129,129,129,278,278,278,1
"White Mountain",2005,160,160,160,134,134,134,294,294,294,1
"White Mountain",2006,151,151,151,128,128,128,279,279,279,1
"White Mountain",2007,156,156,156,134,134,134,290,290,290,1
"White Mountain",2008,156,156,156,123,123,123,279,279,279,1
"White Mountain",2009,117,117,117,146,146,146,263,263,263,1
"White Mountain",2010,143,143,143,133,133,133,276,276,276,1
"White Mountain",2011,158,158,158,121,121,121,279,279,279,1
"White Mountain",2012,166,166,166,121,121,121,287,287,287,1
"White Mountain",2013,125,125,125,135,135,135,260,260,260,1
"White Mountain",2014,134,134,134,128,128,128,262,262,262,1
"White Mountain",2015,134,134,134,143,143,143,277,277,277,1
"White Mountain",2016,140,140,140,130,130,130,270,270,270,1
"White Mountain",2017,144,144,144,130,130,130,274,274,274,1
"White Mountain",2018,173,173,173,114,114,114,287,287,287,1
"White Mountain",2019,149,149,149,129,129,129,278,278,278,1
"White Mountain",2020,110,110,110,153,153,153,263,263,263,1
"White Mountain",2021,170,170,170,127,127,127,297,297,297,1
"Grant",1980,107,107,107,161,161,161,268,268,268,1
"Grant",1981,133,133,133,140,140,140,273,273,273,1
"Grant",1982,140,140,140,138,138,138,278,278,278,1
"Grant",1983,98,98,98,160,160,160,258,258,258,1
"Grant",1984,126,126,126,140,140,140,266,266,266,1
"Grant",1985,121,121,121,135,135,135,256,256,256,1
"Grant",1986,116,116,116,154,154,154,270,270,270,1
"Grant",1987,130,130,130,139,139,139,269,269,269,1
"Grant",1988,99,99,99,161,161,161,260,260,260,1
"Grant",1989,138,138,138,130,130,130,268,268,268,1
"Grant",1990,105,105,105,157,157,157,262,262,262,1
"Grant",1991,125,125,125,140,140,140,265,265,265,1
"Grant",1992,121,121,121,147,147,147,268,268,268,1
"Grant",1993,125,125,125,138,138,138,263,263,263,1
"Grant",1994,127,127,127,148,148,148,275,275,275,1
"Grant",1995,125,125,125,129,129,129,254,254,254,1
"Grant",1996,120,120,120,148,148,148,268,268,268,1
"Grant",1997,117,117,117,148,148,148,265,265,265,1
"Grant",1998,120,120,120,147,147,147,267,267,267,1
"Grant",1999,144,144,144,134,134,134,278,278,278,1
"Grant",2000,108,108,108,141,141,141,249,249,249,1
"Grant",2001,139,139,139,134,134,134,273,273,273,1
"Grant",2002,117,117,117,155,155,155,272,272,272,1
"Grant",2003,139,139,139,137,137,137,276,276,276,1
"Grant",2004,126,126,126,152,152,152,278,278,278,1
"Grant",2005,154,154,154,140,140,140,294,294,294,1
"Grant",2006,151,151,151,128,128,128,279,279,279,1
"Grant",2007,118,118,118,142,142,142,260,260,260,1
"Grant",2008,112,112,112,151,151,151,263,263,263,1
"Grant",2009,117,117,117,146,146,146,263,263,263,1
"Grant",2010,143,143,143,133,133,133,276,276,276,1
"Grant",2011,150,150,150,129,129,129,279,279,279,1
"Grant",2012,131,131,131,133,133,133,264,264,264,1
"Grant",2013,113,113,113,147,147,147,260,260,260,1
"Grant",2014,134,134,134,128,128,128,262,262,262,1
"Grant",2015,126,126,126,143,143,143,269,269,269,1
"Grant",2016,132,132,132,138,138,138,270,270,270,1
"Grant",2017,133,133,133,141,141,141,274,274,274,1
"Grant",2018,127,127,127,139,139,139,266,266,266,1
"Grant",2019,130,130,130,132,132,132,262,262,262,1
"Grant",2020,105,105,105,154,154,154,259,259,259,1
"Grant",2021,148,148,148,148,148,148,296,296,296,1
"St. Hippolyte",1980,107,107,107,161,161,161,268,268,268,1
"St. Hippolyte",1981,135,135,135,138,138,138,273,273,273,1
"St. Hippolyte",1982,158,158,158,125,125,125,283,283,283,1
"St. Hippolyte",1983,122,122,122,160,160,160,282,282,282,1
"St. Hippolyte",1984,128,128,128,138,138,138,266,266,266,1
"St. Hippolyte",1985,152,152,152,129,129,129,281,281,281,1
"St. Hippolyte",1986,106,106,106,154,154,154,260,260,260,1
"St. Hippolyte",1987,134,134,134,136,136,136,270,270,270,1
"St. Hippolyte",1988,112,112,112,161,161,161,273,273,273,1
"St. Hippolyte",1989,149,149,149,119,119,119,268,268,268,1
"St. Hippolyte",1990,130,130,130,132,132,132,262,262,262,1
"St. Hippolyte",1991,124,124,124,139,139,139,263,263,263,1
"St. Hippolyte",1992,122,122,122,146,146,146,268,268,268,1
"St. Hippolyte",1993,125,125,125,138,138,138,263,263,263,1
"St. Hippolyte",1994,141,141,141,133,133,133,274,274,274,1
"St. Hippolyte",1995,135,135,135,127,127,127,262,262,262,1
"St. Hippolyte",1996,128,128,128,150,150,150,278,278,278,1
"St. Hippolyte",1997,139,139,139,128,128,128,267,267,267,1
"St. Hippolyte",1998,148,148,148,118,118,118,266,266,266,1
"St. Hippolyte",1999,146,146,146,132,132,132,278,278,278,1
"St. Hippolyte",2000,128,128,128,141,141,141,269,269,269,1
"St. Hippolyte",2001,155,155,155,126,126,126,281,281,281,1
"St. Hippolyte",2002,132,132,132,145,145,145,277,277,277,1
"St. Hippolyte",2003,152,152,152,124,124,124,276,276,276,1
"St. Hippolyte",2004,149,149,149,130,130,130,279,279,279,1
"St. Hippolyte",2005,160,160,160,133,133,133,293,293,293,1
"St. Hippolyte",2006,152,152,152,127,127,127,279,279,279,1
"St. Hippolyte",2007,148,148,148,138,138,138,286,286,286,1
"St. Hippolyte",2008,140,140,140,123,123,123,263,263,263,1
"St. Hippolyte",2009,139,139,139,146,146,146,285,285,285,1
"St. Hippolyte",2010,152,152,152,133,133,133,285,285,285,1
"St. Hippolyte",2011,158,158,158,121,121,121,279,279,279,1
"St. Hippolyte",2012,161,161,161,121,121,121,282,282,282,1
"St. Hippolyte",2013,159,159,159,135,135,135,294,294,294,1
"St. Hippolyte",2014,135,135,135,127,127,127,262,262,262,1
"St. Hippolyte",2015,138,138,138,143,143,143,281,281,281,1
"St. Hippolyte",2016,147,147,147,137,137,137,284,284,284,1
"St. Hippolyte",2017,155,155,155,130,130,130,285,285,285,1
"St. Hippolyte",2018,152,152,152,138,138,138,290,290,290,1
"St. Hippolyte",2019,148,148,148,128,128,128,276,276,276,1
"St. Hippolyte",2020,128,128,128,135,135,135,263,263,263,1
"St. Hippolyte",2021,148,148,148,148,148,148,296,296,296,1
