"sp","site","rep","ind","set","space","order","plotno"
"VIBCAS","SH","6","VIBCAS_SH_6","Shrub Sun",1,68,8
"MYRGAL","HF","7","MYRGAL_HF_7","Shrub Sun",1,69,8
"SPITOM","HF","4","SPITOM_HF_4","Shrub Sun",1,70,8
"SPITOM","HF","8","SPITOM_HF_8","Shrub Sun",1,71,8
"SPIALB","WM","1","SPIALB_WM_1","Shrub Sun",1,72,8
"AROMEL","SH","1","AROMEL_SH_1","Shrub Sun",1,73,8
"AROMEL","SH","7","AROMEL_SH_7","Shrub Sun",1,74,8
"AROMEL","SH","8","AROMEL_SH_8","Shrub Sun",1,75,8
"SPIALB","GR","8","SPIALB_GR_8","Shrub Sun",1,76,8
"SPIALB","GR","5","SPIALB_GR_5","Shrub Sun",1,77,8
"MYRGAL","SH","7","MYRGAL_SH_7","Shrub Sun",1,78,8
"VIBCAS","GR","2","VIBCAS_GR_2","Shrub Sun",1,79,8
"AROMEL","GR","2","AROMEL_GR_2","Shrub Sun",1,80,8
"SPITOM","HF","1","SPITOM_HF_1","Shrub Sun",1,81,8
"MYRGAL","HF","6","MYRGAL_HF_6","Shrub Sun",1,82,8
"SPIALB","HF","6","SPIALB_HF_6","Shrub Sun",1,83,8
"SPIALB","SH","6","SPIALB_SH_6","Shrub Sun",1,84,8
"VIBCAS","WM","9","VIBCAS_WM_9","Shrub Sun",1,85,8
"VIBCAS","HF","4","VIBCAS_HF_4","Shrub Sun",1,86,8
"SPITOM","GR","8","SPITOM_GR_8","Shrub Sun",1,87,8
"VIBCAS","SH","2","VIBCAS_SH_2","Shrub Sun",1,88,8
"AROMEL","GR","5","AROMEL_GR_5","Shrub Sun",1,89,8
"VIBCAS","WM","6","VIBCAS_WM_6","Shrub Sun",1,90,8
"SPIALB","HF","7","SPIALB_HF_7","Shrub Sun",1,91,8
"VIBCAS","GR","5","VIBCAS_GR_5","Shrub Sun",1,92,8
"SPIALB","SH","3","SPIALB_SH_3","Shrub Sun",1,93,8
"MYRGAL","GR","5","MYRGAL_GR_5","Shrub Sun",1,94,8
"VIBCAS","GR","9","VIBCAS_GR_9","Shrub Sun",1,95,8
"MYRGAL","WM","2","MYRGAL_WM_2","Shrub Sun",1,96,8
"AROMEL","GR","6","AROMEL_GR_6","Shrub Sun",1,97,8
"SPITOM","SH","5","SPITOM_SH_5","Shrub Sun",1,98,11
"MYRGAL","WM","9","MYRGAL_WM_9","Shrub Sun",1,99,11
"SPITOM","GR","7","SPITOM_GR_7","Shrub Sun",1,100,11
"SPIALB","HF","4","SPIALB_HF_4","Shrub Sun",1,101,11
"VIBCAS","WM","5","VIBCAS_WM_5","Shrub Sun",1,102,11
"SPIALB","SH","5","SPIALB_SH_5","Shrub Sun",1,103,11
"AROMEL","HF","5","AROMEL_HF_5","Shrub Sun",1,104,11
"MYRGAL","WM","5","MYRGAL_WM_5","Shrub Sun",1,105,11
"SPITOM","SH","4","SPITOM_SH_4","Shrub Sun",1,106,11
"AROMEL","SH","9","AROMEL_SH_9","Shrub Sun",1,107,11
"SPITOM","WM","6","SPITOM_WM_6","Shrub Sun",1,108,11
"MYRGAL","GR","8","MYRGAL_GR_8","Shrub Sun",1,109,11
"MYRGAL","WM","3","MYRGAL_WM_3","Shrub Sun",1,110,11
"AROMEL","GR","8","AROMEL_GR_8","Shrub Sun",1,111,11
"SPITOM","SH","8","SPITOM_SH_8","Shrub Sun",1,112,11
"MYRGAL","WM","8","MYRGAL_WM_8","Shrub Sun",1,113,11
"SPIALB","HF","9","SPIALB_HF_9","Shrub Sun",1,114,11
"SPIALB","WM","5","SPIALB_WM_5","Shrub Sun",1,115,11
"VIBCAS","WM","8","VIBCAS_WM_8","Shrub Sun",1,116,11
"SPITOM","SH","3","SPITOM_SH_3","Shrub Sun",1,117,11
"MYRGAL","SH","6","MYRGAL_SH_6","Shrub Sun",1,118,11
"MYRGAL","GR","3","MYRGAL_GR_3","Shrub Sun",1,119,11
"VIBCAS","HF","5","VIBCAS_HF_5","Shrub Sun",1,120,11
"AROMEL","GR","7","AROMEL_GR_7","Shrub Sun",1,121,11
"VIBCAS","GR","6","VIBCAS_GR_6","Shrub Sun",1,122,11
"VIBCAS","SH","3","VIBCAS_SH_3","Shrub Sun",1,123,11
"AROMEL","WM","8","AROMEL_WM_8","Shrub Sun",1,124,11
"VIBCAS","WM","7","VIBCAS_WM_7","Shrub Sun",1,125,11
"SPIALB","SH","9","SPIALB_SH_9","Shrub Sun",1,126,11
"VIBCAS","WM","1","VIBCAS_WM_1","Shrub Sun",1,127,11
"VIBCAS","HF","6","VIBCAS_HF_6","Shrub Sun",1,128,11
"SPIALB","HF","3","SPIALB_HF_3","Shrub Sun",1,129,11
"SPITOM","GR","4","SPITOM_GR_4","Shrub Sun",1,130,11
"SPITOM","GR","1","SPITOM_GR_1","Shrub Sun",1,131,11
"SPIALB","GR","7","SPIALB_GR_7","Shrub Sun",1,132,11
"SPITOM","GR","5","SPITOM_GR_5","Shrub Sun",1,133,11
"AROMEL","GR","3","AROMEL_GR_3","Shrub Sun",1,134,11
"AROMEL","SH","2","AROMEL_SH_2","Shrub Sun",1,135,11
"AROMEL","GR","9","AROMEL_GR_9","Shrub Sun",1,136,11
"AROMEL","GR","1","AROMEL_GR_1","Shrub Sun",1,137,11
"SPIALB","WM","3","SPIALB_WM_3","Shrub Sun",1,138,11
"SPITOM","SH","7","SPITOM_SH_7","Shrub Sun",1,139,11
"SPIALB","WM","4","SPIALB_WM_4","Shrub Sun",1,140,11
"SPITOM","SH","9","SPITOM_SH_9","Shrub Sun",1,141,11
"AROMEL","HF","3","AROMEL_HF_3","Shrub Sun",1,142,11
"SPITOM","HF","7","SPITOM_HF_7","Shrub Sun",1,143,11
"SPIALB","GR","4","SPIALB_GR_4","Shrub Sun",1,144,11
"MYRGAL","SH","5","MYRGAL_SH_5","Shrub Sun",1,145,11
"AROMEL","WM","5","AROMEL_WM_5","Shrub Sun",1,146,11
"AROMEL","HF","8","AROMEL_HF_8","Shrub Sun",1,147,14
"MYRGAL","SH","9","MYRGAL_SH_9","Shrub Sun",1,148,14
"MYRGAL","GR","2","MYRGAL_GR_2","Shrub Sun",1,149,14
"SPITOM","WM","4","SPITOM_WM_4","Shrub Sun",1,150,14
"SPIALB","SH","4","SPIALB_SH_4","Shrub Sun",1,151,14
"MYRGAL","HF","2","MYRGAL_HF_2","Shrub Sun",1,152,14
"VIBCAS","HF","7","VIBCAS_HF_7","Shrub Sun",1,153,14
"AROMEL","HF","2","AROMEL_HF_2","Shrub Sun",1,154,14
"AROMEL","HF","6","AROMEL_HF_6","Shrub Sun",1,155,14
"SPITOM","SH","1","SPITOM_SH_1","Shrub Sun",1,156,14
"VIBCAS","SH","5","VIBCAS_SH_5","Shrub Sun",1,157,14
"AROMEL","WM","1","AROMEL_WM_1","Shrub Sun",1,158,14
"SPITOM","GR","9","SPITOM_GR_9","Shrub Sun",1,159,14
"MYRGAL","GR","4","MYRGAL_GR_4","Shrub Sun",1,160,14
"SPITOM","HF","5","SPITOM_HF_5","Shrub Sun",1,161,14
"MYRGAL","WM","1","MYRGAL_WM_1","Shrub Sun",1,162,14
"VIBCAS","SH","9","VIBCAS_SH_9","Shrub Sun",1,163,14
"SPITOM","WM","2","SPITOM_WM_2","Shrub Sun",1,164,14
"SPITOM","HF","2","SPITOM_HF_2","Shrub Sun",1,165,14
"VIBCAS","HF","2","VIBCAS_HF_2","Shrub Sun",1,166,14
"VIBCAS","HF","8","VIBCAS_HF_8","Shrub Sun",1,167,14
"VIBCAS","WM","4","VIBCAS_WM_4","Shrub Sun",1,168,14
"AROMEL","SH","5","AROMEL_SH_5","Shrub Sun",1,169,14
"SPITOM","HF","3","SPITOM_HF_3","Shrub Sun",1,170,14
"SPITOM","GR","2","SPITOM_GR_2","Shrub Sun",1,171,14
"AROMEL","HF","7","AROMEL_HF_7","Shrub Sun",1,172,14
"MYRGAL","HF","5","MYRGAL_HF_5","Shrub Sun",1,173,14
"SPIALB","HF","2","SPIALB_HF_2","Shrub Sun",1,174,14
"AROMEL","SH","3","AROMEL_SH_3","Shrub Sun",1,175,14
"VIBCAS","HF","9","VIBCAS_HF_9","Shrub Sun",1,176,14
"AROMEL","WM","7","AROMEL_WM_7","Shrub Sun",1,177,14
"SPIALB","WM","9","SPIALB_WM_9","Shrub Sun",1,178,14
"SPIALB","GR","6","SPIALB_GR_6","Shrub Sun",1,179,14
"SPITOM","HF","9","SPITOM_HF_9","Shrub Sun",1,180,14
"BETPAP","GR","9","BETPAP_GR_9","Tree",1.5,1,1
"ACEPEN","SH","7","ACEPEN_SH_7","Tree",3,2,1
"BETPAP","SH","1","BETPAP_SH_1","Tree",1.5,3,1
"ALNINC","GR","5","ALNINC_GR_5","Tree",3,4,1
"BETPOP","WM","9","BETPOP_WM_9","Tree",1.5,5,1
"BETALL","WM","6","BETALL_WM_6","Tree",1.5,6,1
"ALNINC","WM","3","ALNINC_WM_3","Tree",3,7,1
"BETPOP","HF","2","BETPOP_HF_2","Tree",1.5,8,1
"BETALL","GR","7","BETALL_GR_7","Tree",1.5,9,1
"ACEPEN","SH","8","ACEPEN_SH_8","Tree",3,10,1
"ACEPEN","SH","3","ACEPEN_SH_3","Tree",3,11,1
"ALNINC","WM","6","ALNINC_WM_6","Tree",3,12,1
"ALNINC","HF","1","ALNINC_HF_1","Tree",3,13,1
"BETALL","GR","1","BETALL_GR_1","Tree",1.5,14,1
"BETPOP","GR","9","BETPOP_GR_9","Tree",1.5,15,1
"AMECAN","HF","8","AMECAN_HF_8","Tree",1.5,16,1
"BETPAP","SH","5","BETPAP_SH_5","Tree",1.5,17,1
"ALNINC","WM","9","ALNINC_WM_9","Tree",3,18,1
"ALNINC","SH","5","ALNINC_SH_5","Tree",3,19,2
"ALNINC","SH","4","ALNINC_SH_4","Tree",3,20,2
"AMECAN","WM","6","AMECAN_WM_6","Tree",1.5,21,2
"BETPAP","GR","7","BETPAP_GR_7","Tree",1.5,22,2
"BETALL","GR","6","BETALL_GR_6","Tree",1.5,23,2
"AMECAN","HF","6","AMECAN_HF_6","Tree",1.5,24,2
"ALNINC","WM","8","ALNINC_WM_8","Tree",3,25,2
"BETPAP","HF","4","BETPAP_HF_4","Tree",1.5,26,2
"BETPOP","HF","5","BETPOP_HF_5","Tree",1.5,27,2
"BETPAP","WM","5","BETPAP_WM_5","Tree",1.5,28,2
"ACEPEN","HF","6","ACEPEN_HF_6","Tree",3,29,2
"BETPOP","WM","4","BETPOP_WM_4","Tree",1.5,30,2
"ACEPEN","WM","2","ACEPEN_WM_2","Tree",3,31,2
"BETPAP","GR","6","BETPAP_GR_6","Tree",1.5,32,2
"ALNINC","HF","9","ALNINC_HF_9","Tree",3,33,2
"BETPOP","HF","7","BETPOP_HF_7","Tree",1.5,34,2
"AMECAN","WM","8","AMECAN_WM_8","Tree",1.5,35,2
"AMECAN","HF","1","AMECAN_HF_1","Tree",1.5,36,2
"AMECAN","GR","8","AMECAN_GR_8","Tree",1.5,37,2
"ALNINC","WM","5","ALNINC_WM_5","Tree",3,38,2
"ACEPEN","HF","5","ACEPEN_HF_5","Tree",3,39,2
"BETALL","GR","4","BETALL_GR_4","Tree",1.5,40,3
"BETPAP","HF","6","BETPAP_HF_6","Tree",1.5,41,3
"AMECAN","GR","7","AMECAN_GR_7","Tree",1.5,42,3
"AMECAN","WM","9","AMECAN_WM_9","Tree",1.5,43,3
"BETPAP","SH","7","BETPAP_SH_7","Tree",1.5,44,3
"BETPAP","WM","7","BETPAP_WM_7","Tree",1.5,45,3
"BETALL","SH","1","BETALL_SH_1","Tree",1.5,46,3
"BETPOP","GR","1","BETPOP_GR_1","Tree",1.5,47,3
"BETALL","GR","9","BETALL_GR_9","Tree",1.5,48,3
"ACEPEN","SH","4","ACEPEN_SH_4","Tree",3,49,3
"BETPAP","GR","4","BETPAP_GR_4","Tree",1.5,50,3
"AMECAN","GR","2","AMECAN_GR_2","Tree",1.5,51,3
"BETALL","GR","5","BETALL_GR_5","Tree",1.5,52,3
"BETPOP","SH","2","BETPOP_SH_2","Tree",1.5,53,3
"ALNINC","GR","1","ALNINC_GR_1","Tree",3,54,3
"BETPOP","GR","5","BETPOP_GR_5","Tree",1.5,55,3
"AMECAN","WM","4","AMECAN_WM_4","Tree",1.5,56,3
"ALNINC","GR","9","ALNINC_GR_9","Tree",3,57,3
"ALNINC","GR","2","ALNINC_GR_2","Tree",3,58,3
"ALNINC","WM","1","ALNINC_WM_1","Tree",3,59,3
"ACEPEN","HF","9","ACEPEN_HF_9","Tree",3,60,3
"BETPOP","WM","7","BETPOP_WM_7","Tree",1.5,61,3
"BETPAP","GR","3","BETPAP_GR_3","Tree",1.5,62,5
"BETALL","WM","7","BETALL_WM_7","Tree",1.5,63,5
"BETALL","WM","1","BETALL_WM_1","Tree",1.5,64,5
"ACEPEN","HF","8","ACEPEN_HF_8","Tree",3,65,5
"BETPAP","SH","4","BETPAP_SH_4","Tree",1.5,66,5
"AMECAN","GR","3","AMECAN_GR_3","Tree",1.5,67,5
"ALNINC","GR","6","ALNINC_GR_6","Tree",3,68,5
"AMECAN","WM","1","AMECAN_WM_1","Tree",1.5,69,5
"AMECAN","HF","5","AMECAN_HF_5","Tree",1.5,70,5
"AMECAN","SH","7","AMECAN_SH_7","Tree",1.5,71,5
"ALNINC","GR","3","ALNINC_GR_3","Tree",3,72,5
"ACEPEN","GR","3","ACEPEN_GR_3","Tree",3,73,5
"AMECAN","GR","5","AMECAN_GR_5","Tree",1.5,74,5
"ACEPEN","WM","5","ACEPEN_WM_5","Tree",3,75,5
"BETPAP","WM","6","BETPAP_WM_6","Tree",1.5,76,5
"BETPAP","HF","8","BETPAP_HF_8","Tree",1.5,77,5
"AMECAN","HF","2","AMECAN_HF_2","Tree",1.5,78,5
"ACEPEN","GR","6","ACEPEN_GR_6","Tree",3,79,5
"BETPAP","WM","1","BETPAP_WM_1","Tree",1.5,80,5
"BETALL","WM","8","BETALL_WM_8","Tree",1.5,81,5
"ALNINC","SH","1","ALNINC_SH_1","Tree",3,82,5
"BETALL","SH","3","BETALL_SH_3","Tree",1.5,83,6
"BETPOP","GR","4","BETPOP_GR_4","Tree",1.5,84,6
"BETPOP","SH","6","BETPOP_SH_6","Tree",1.5,85,6
"AMECAN","SH","6","AMECAN_SH_6","Tree",1.5,86,6
"BETPAP","GR","8","BETPAP_GR_8","Tree",1.5,87,6
"BETPOP","SH","7","BETPOP_SH_7","Tree",1.5,88,6
"BETPOP","HF","3","BETPOP_HF_3","Tree",1.5,89,6
"BETALL","GR","3","BETALL_GR_3","Tree",1.5,90,6
"AMECAN","HF","3","AMECAN_HF_3","Tree",1.5,91,6
"BETALL","SH","6","BETALL_SH_6","Tree",1.5,92,6
"BETPAP","HF","1","BETPAP_HF_1","Tree",1.5,93,6
"BETPOP","HF","8","BETPOP_HF_8","Tree",1.5,94,6
"ALNINC","HF","5","ALNINC_HF_5","Tree",3,95,6
"AMECAN","WM","5","AMECAN_WM_5","Tree",1.5,96,6
"BETALL","HF","9","BETALL_HF_9","Tree",1.5,97,6
"ACEPEN","HF","4","ACEPEN_HF_4","Tree",3,98,6
"ACEPEN","SH","5","ACEPEN_SH_5","Tree",3,99,6
"AMECAN","SH","5","AMECAN_SH_5","Tree",1.5,100,6
"BETPAP","HF","5","BETPAP_HF_5","Tree",1.5,101,6
"AMECAN","GR","1","AMECAN_GR_1","Tree",1.5,102,6
"BETPAP","WM","2","BETPAP_WM_2","Tree",1.5,103,6
"BETPAP","WM","4","BETPAP_WM_4","Tree",1.5,104,6
"BETPOP","WM","3","BETPOP_WM_3","Tree",1.5,105,6
"ACEPEN","WM","6","ACEPEN_WM_6","Tree",3,106,6
"BETALL","GR","2","BETALL_GR_2","Tree",1.5,107,9
"ALNINC","SH","2","ALNINC_SH_2","Tree",3,108,9
"BETPAP","GR","1","BETPAP_GR_1","Tree",1.5,109,9
"AMECAN","HF","9","AMECAN_HF_9","Tree",1.5,110,9
"BETPAP","GR","2","BETPAP_GR_2","Tree",1.5,111,9
"BETALL","WM","5","BETALL_WM_5","Tree",1.5,112,9
"BETALL","SH","5","BETALL_SH_5","Tree",1.5,113,9
"ALNINC","WM","7","ALNINC_WM_7","Tree",3,114,9
"BETALL","HF","6","BETALL_HF_6","Tree",1.5,115,9
"BETALL","WM","9","BETALL_WM_9","Tree",1.5,116,9
"ACEPEN","WM","7","ACEPEN_WM_7","Tree",3,117,9
"BETPAP","SH","9","BETPAP_SH_9","Tree",1.5,118,9
"ALNINC","HF","3","ALNINC_HF_3","Tree",3,119,9
"BETALL","SH","7","BETALL_SH_7","Tree",1.5,120,9
"BETALL","GR","8","BETALL_GR_8","Tree",1.5,121,9
"ACEPEN","WM","3","ACEPEN_WM_3","Tree",3,122,9
"BETPOP","HF","1","BETPOP_HF_1","Tree",1.5,123,9
"BETALL","SH","8","BETALL_SH_8","Tree",1.5,124,9
"ACEPEN","SH","6","ACEPEN_SH_6","Tree",3,125,9
"BETPOP","WM","1","BETPOP_WM_1","Tree",1.5,126,9
"BETPOP","HF","6","BETPOP_HF_6","Tree",1.5,127,9
"ALNINC","SH","9","ALNINC_SH_9","Tree",3,128,12
"ACEPEN","WM","1","ACEPEN_WM_1","Tree",3,129,12
"ACEPEN","HF","1","ACEPEN_HF_1","Tree",3,130,12
"ACEPEN","WM","9","ACEPEN_WM_9","Tree",3,131,12
"AMECAN","HF","7","AMECAN_HF_7","Tree",1.5,132,12
"AMECAN","WM","2","AMECAN_WM_2","Tree",1.5,133,12
"ACEPEN","GR","9","ACEPEN_GR_9","Tree",3,134,12
"BETPAP","HF","2","BETPAP_HF_2","Tree",1.5,135,12
"BETPOP","GR","8","BETPOP_GR_8","Tree",1.5,136,12
"BETPAP","HF","3","BETPAP_HF_3","Tree",1.5,137,12
"ALNINC","HF","8","ALNINC_HF_8","Tree",3,138,12
"BETPOP","GR","3","BETPOP_GR_3","Tree",1.5,139,12
"BETPOP","GR","7","BETPOP_GR_7","Tree",1.5,140,12
"AMECAN","GR","4","AMECAN_GR_4","Tree",1.5,141,12
"BETPOP","HF","4","BETPOP_HF_4","Tree",1.5,142,12
"BETALL","HF","1","BETALL_HF_1","Tree",1.5,143,12
"BETALL","SH","2","BETALL_SH_2","Tree",1.5,144,12
"BETALL","HF","3","BETALL_HF_3","Tree",1.5,145,12
"BETPAP","SH","6","BETPAP_SH_6","Tree",1.5,146,12
"BETPAP","HF","9","BETPAP_HF_9","Tree",1.5,147,12
"BETPOP","SH","9","BETPOP_SH_9","Tree",1.5,148,12
"BETALL","WM","2","BETALL_WM_2","Tree",1.5,149,12
"AMECAN","SH","1","AMECAN_SH_1","Tree",1.5,150,12
"BETPOP","HF","9","BETPOP_HF_9","Tree",1.5,151,15
"BETPAP","SH","2","BETPAP_SH_2","Tree",1.5,152,15
"BETALL","HF","5","BETALL_HF_5","Tree",1.5,153,15
"ALNINC","SH","7","ALNINC_SH_7","Tree",3,154,15
"BETPOP","SH","3","BETPOP_SH_3","Tree",1.5,155,15
"BETALL","HF","2","BETALL_HF_2","Tree",1.5,156,15
"AMECAN","SH","2","AMECAN_SH_2","Tree",1.5,157,15
"BETPAP","WM","9","BETPAP_WM_9","Tree",1.5,158,15
"AMECAN","SH","4","AMECAN_SH_4","Tree",1.5,159,15
"ACEPEN","HF","7","ACEPEN_HF_7","Tree",3,160,15
"ALNINC","WM","4","ALNINC_WM_4","Tree",3,161,15
"ALNINC","GR","8","ALNINC_GR_8","Tree",3,162,15
"ACEPEN","WM","8","ACEPEN_WM_8","Tree",3,163,15
"ACEPEN","GR","8","ACEPEN_GR_8","Tree",3,164,15
"AMECAN","GR","9","AMECAN_GR_9","Tree",1.5,165,15
"ALNINC","GR","7","ALNINC_GR_7","Tree",3,166,15
"ACEPEN","SH","2","ACEPEN_SH_2","Tree",3,167,15
"ALNINC","SH","8","ALNINC_SH_8","Tree",3,168,15
"ACEPEN","WM","4","ACEPEN_WM_4","Tree",3,169,16
"ACEPEN","GR","1","ACEPEN_GR_1","Tree",3,170,16
"BETALL","WM","3","BETALL_WM_3","Tree",1.5,171,16
"ACEPEN","SH","1","ACEPEN_SH_1","Tree",3,172,16
"ACEPEN","GR","7","ACEPEN_GR_7","Tree",3,173,16
"ALNINC","HF","4","ALNINC_HF_4","Tree",3,174,16
"BETALL","WM","4","BETALL_WM_4","Tree",1.5,175,16
"BETPAP","SH","3","BETPAP_SH_3","Tree",1.5,176,16
"BETPAP","GR","5","BETPAP_GR_5","Tree",1.5,177,16
"BETPOP","GR","6","BETPOP_GR_6","Tree",1.5,178,16
"ALNINC","SH","6","ALNINC_SH_6","Tree",3,179,16
"BETPOP","SH","1","BETPOP_SH_1","Tree",1.5,180,16
"BETALL","HF","8","BETALL_HF_8","Tree",1.5,181,16
"ALNINC","SH","3","ALNINC_SH_3","Tree",3,182,16
"AMECAN","SH","8","AMECAN_SH_8","Tree",1.5,183,16
"ALNINC","GR","4","ALNINC_GR_4","Tree",3,184,16
"BETPAP","HF","7","BETPAP_HF_7","Tree",1.5,185,16
"ACEPEN","GR","4","ACEPEN_GR_4","Tree",3,186,16
"ACEPEN","HF","3","ACEPEN_HF_3","Tree",3,187,16
"AMECAN","SH","9","AMECAN_SH_9","Tree",1.5,188,17
"BETALL","HF","7","BETALL_HF_7","Tree",1.5,189,17
"BETALL","SH","9","BETALL_SH_9","Tree",1.5,190,17
"BETPOP","SH","8","BETPOP_SH_8","Tree",1.5,191,17
"BETALL","SH","4","BETALL_SH_4","Tree",1.5,192,17
"BETPAP","WM","8","BETPAP_WM_8","Tree",1.5,193,17
"BETPOP","WM","2","BETPOP_WM_2","Tree",1.5,194,17
"BETPAP","SH","8","BETPAP_SH_8","Tree",1.5,195,17
"AMECAN","WM","7","AMECAN_WM_7","Tree",1.5,196,17
"ALNINC","HF","6","ALNINC_HF_6","Tree",3,197,17
"ALNINC","WM","2","ALNINC_WM_2","Tree",3,198,17
"BETALL","HF","4","BETALL_HF_4","Tree",1.5,199,17
"BETPOP","GR","2","BETPOP_GR_2","Tree",1.5,200,17
"ACEPEN","GR","2","ACEPEN_GR_2","Tree",3,201,17
"ACEPEN","HF","2","ACEPEN_HF_2","Tree",3,202,17
"AMECAN","WM","3","AMECAN_WM_3","Tree",1.5,203,17
"BETPOP","WM","5","BETPOP_WM_5","Tree",1.5,204,17
"ACEPEN","GR","5","ACEPEN_GR_5","Tree",3,205,17
"ALNINC","HF","7","ALNINC_HF_7","Tree",3,206,17
"ACEPEN","SH","9","ACEPEN_SH_9","Tree",3,207,17
"AMECAN","GR","6","AMECAN_GR_6","Tree",1.5,208,17
