"sp","site","rep","ind","set","space","order","plotno"
"VIBCAS","SH","1","VIBCAS_SH_1","Shrub Sun",1,1,4
"VIBCAS","GR","4","VIBCAS_GR_4","Shrub Sun",1,2,4
"SPIALB","GR","1","SPIALB_GR_1","Shrub Sun",1,3,4
"SPITOM","WM","5","SPITOM_WM_5","Shrub Sun",1,4,4
"SPIALB","WM","2","SPIALB_WM_2","Shrub Sun",1,5,4
"MYRGAL","SH","8","MYRGAL_SH_8","Shrub Sun",1,6,4
"MYRGAL","GR","9","MYRGAL_GR_9","Shrub Sun",1,7,4
"AROMEL","WM","2","AROMEL_WM_2","Shrub Sun",1,8,4
"AROMEL","WM","6","AROMEL_WM_6","Shrub Sun",1,9,4
"SPIALB","SH","7","SPIALB_SH_7","Shrub Sun",1,10,4
"SPITOM","WM","9","SPITOM_WM_9","Shrub Sun",1,11,4
"MYRGAL","SH","3","MYRGAL_SH_3","Shrub Sun",1,12,4
"MYRGAL","HF","4","MYRGAL_HF_4","Shrub Sun",1,13,4
"SPIALB","HF","1","SPIALB_HF_1","Shrub Sun",1,14,4
"AROMEL","SH","4","AROMEL_SH_4","Shrub Sun",1,15,4
"SPITOM","SH","2","SPITOM_SH_2","Shrub Sun",1,16,4
"MYRGAL","GR","6","MYRGAL_GR_6","Shrub Sun",1,17,4
"SPIALB","HF","5","SPIALB_HF_5","Shrub Sun",1,18,4
"SPITOM","SH","6","SPITOM_SH_6","Shrub Sun",1,19,4
"SPITOM","WM","8","SPITOM_WM_8","Shrub Sun",1,20,4
"MYRGAL","HF","8","MYRGAL_HF_8","Shrub Sun",1,21,4
"MYRGAL","SH","4","MYRGAL_SH_4","Shrub Sun",1,22,4
"SPIALB","GR","2","SPIALB_GR_2","Shrub Sun",1,23,4
"VIBCAS","WM","2","VIBCAS_WM_2","Shrub Sun",1,24,4
"VIBCAS","GR","7","VIBCAS_GR_7","Shrub Sun",1,25,4
"MYRGAL","WM","6","MYRGAL_WM_6","Shrub Sun",1,26,4
"AROMEL","WM","3","AROMEL_WM_3","Shrub Sun",1,27,4
"SPIALB","SH","2","SPIALB_SH_2","Shrub Sun",1,28,4
"SPIALB","SH","1","SPIALB_SH_1","Shrub Sun",1,29,4
"MYRGAL","WM","7","MYRGAL_WM_7","Shrub Sun",1,30,4
"SPIALB","GR","9","SPIALB_GR_9","Shrub Sun",1,31,4
"MYRGAL","HF","3","MYRGAL_HF_3","Shrub Sun",1,32,4
"SPIALB","WM","6","SPIALB_WM_6","Shrub Sun",1,33,4
"VIBCAS","HF","1","VIBCAS_HF_1","Shrub Sun",1,34,4
"VIBCAS","GR","1","VIBCAS_GR_1","Shrub Sun",1,35,4
"MYRGAL","GR","7","MYRGAL_GR_7","Shrub Sun",1,36,4
"SPIALB","HF","8","SPIALB_HF_8","Shrub Sun",1,37,4
"SPITOM","WM","7","SPITOM_WM_7","Shrub Sun",1,38,4
"MYRGAL","HF","1","MYRGAL_HF_1","Shrub Sun",1,39,4
"MYRGAL","SH","2","MYRGAL_SH_2","Shrub Sun",1,40,4
"VIBCAS","SH","7","VIBCAS_SH_7","Shrub Sun",1,41,4
"MYRGAL","GR","1","MYRGAL_GR_1","Shrub Sun",1,42,4
"SPIALB","WM","7","SPIALB_WM_7","Shrub Sun",1,43,4
"SPITOM","WM","3","SPITOM_WM_3","Shrub Sun",1,44,4
"AROMEL","HF","1","AROMEL_HF_1","Shrub Sun",1,45,4
"AROMEL","WM","4","AROMEL_WM_4","Shrub Sun",1,46,4
"SPIALB","SH","8","SPIALB_SH_8","Shrub Sun",1,47,4
"VIBCAS","GR","3","VIBCAS_GR_3","Shrub Sun",1,48,4
"VIBCAS","HF","3","VIBCAS_HF_3","Shrub Sun",1,49,8
"SPITOM","GR","3","SPITOM_GR_3","Shrub Sun",1,50,8
"SPITOM","GR","6","SPITOM_GR_6","Shrub Sun",1,51,8
"AROMEL","HF","4","AROMEL_HF_4","Shrub Sun",1,52,8
"MYRGAL","HF","9","MYRGAL_HF_9","Shrub Sun",1,53,8
"VIBCAS","SH","4","VIBCAS_SH_4","Shrub Sun",1,54,8
"MYRGAL","WM","4","MYRGAL_WM_4","Shrub Sun",1,55,8
"VIBCAS","WM","3","VIBCAS_WM_3","Shrub Sun",1,56,8
"MYRGAL","SH","1","MYRGAL_SH_1","Shrub Sun",1,57,8
"VIBCAS","SH","8","VIBCAS_SH_8","Shrub Sun",1,58,8
"AROMEL","HF","9","AROMEL_HF_9","Shrub Sun",1,59,8
"AROMEL","WM","9","AROMEL_WM_9","Shrub Sun",1,60,8
"SPIALB","WM","8","SPIALB_WM_8","Shrub Sun",1,61,8
"VIBCAS","GR","8","VIBCAS_GR_8","Shrub Sun",1,62,8
"AROMEL","GR","4","AROMEL_GR_4","Shrub Sun",1,63,8
"AROMEL","SH","6","AROMEL_SH_6","Shrub Sun",1,64,8
"SPITOM","WM","1","SPITOM_WM_1","Shrub Sun",1,65,8
"SPITOM","HF","6","SPITOM_HF_6","Shrub Sun",1,66,8
"SPIALB","GR","3","SPIALB_GR_3","Shrub Sun",1,67,8
