sp,site,rep,ind,set,space,order,plotno
BETPOP,WM,6,BETPOP_WM_6,Tree,1.5,57,3
AMECAN,HF,1,AMECAN_HF_1,Tree,1.5,58,3
BETPOP,GR,4,BETPOP_GR_4,Tree,1.5,59,3
ACEPEN,HF,1,ACEPEN_HF_1,Tree,3,60,3
BETPOP,SH,1,BETPOP_SH_1,Tree,1.5,61,3
MYRGAL,GR,5,MYRGAL_GR_5,Shrub Sun,1,1,4
VIBCAS,SH,3,VIBCAS_SH_3,Shrub Sun,1,2,4
MYRGAL,SH,3,MYRGAL_SH_3,Shrub Sun,1,3,4
MYRGAL,WM,3,MYRGAL_WM_3,Shrub Sun,1,4,4
SPITOM,GR,3,SPITOM_GR_3,Shrub Sun,1,5,4
SPIALB,GR,3,SPIALB_GR_3,Shrub Sun,1,6,4
SPITOM,WM,1,SPITOM_WM_1,Shrub Sun,1,7,4
VIBCAS,GR,4,VIBCAS_GR_4,Shrub Sun,1,8,4
MYRGAL,WM,2,MYRGAL_WM_2,Shrub Sun,1,9,4
AROMEL,GR,1,AROMEL_GR_1,Shrub Sun,1,10,4
VIBCAS,HF,1,VIBCAS_HF_1,Shrub Sun,1,11,4
MYRGAL,GR,6,MYRGAL_GR_6,Shrub Sun,1,12,4
SPITOM,GR,2,SPITOM_GR_2,Shrub Sun,1,13,4
SPIALB,WM,4,SPIALB_WM_4,Shrub Sun,1,14,4
AROMEL,HF,6,AROMEL_HF_6,Shrub Sun,1,15,4
SPIALB,GR,1,SPIALB_GR_1,Shrub Sun,1,16,4
AROMEL,SH,6,AROMEL_SH_6,Shrub Sun,1,17,4
VIBCAS,GR,2,VIBCAS_GR_2,Shrub Sun,1,18,4
SPIALB,SH,6,SPIALB_SH_6,Shrub Sun,1,19,4
VIBCAS,HF,6,VIBCAS_HF_6,Shrub Sun,1,20,4
MYRGAL,SH,1,MYRGAL_SH_1,Shrub Sun,1,21,4
SPIALB,HF,2,SPIALB_HF_2,Shrub Sun,1,22,4
SPIALB,HF,6,SPIALB_HF_6,Shrub Sun,1,23,4
MYRGAL,HF,4,MYRGAL_HF_4,Shrub Sun,1,24,4
SPIALB,SH,3,SPIALB_SH_3,Shrub Sun,1,25,4
AROMEL,WM,4,AROMEL_WM_4,Shrub Sun,1,26,4
SPIALB,GR,5,SPIALB_GR_5,Shrub Sun,1,27,4
SPITOM,HF,5,SPITOM_HF_5,Shrub Sun,1,28,4
AROMEL,HF,4,AROMEL_HF_4,Shrub Sun,1,29,4
VIBCAS,WM,4,VIBCAS_WM_4,Shrub Sun,1,30,4
VIBCAS,WM,5,VIBCAS_WM_5,Shrub Sun,1,31,4
VIBCAS,SH,2,VIBCAS_SH_2,Shrub Sun,1,32,4
SPIALB,WM,6,SPIALB_WM_6,Shrub Sun,1,33,4
MYRGAL,GR,1,MYRGAL_GR_1,Shrub Sun,1,34,4
SPITOM,WM,6,SPITOM_WM_6,Shrub Sun,1,35,4
SPITOM,SH,5,SPITOM_SH_5,Shrub Sun,1,36,4
VIBCAS,GR,6,VIBCAS_GR_6,Shrub Sun,1,37,4
AROMEL,SH,5,AROMEL_SH_5,Shrub Sun,1,38,4
VIBCAS,WM,3,VIBCAS_WM_3,Shrub Sun,1,39,4
SPITOM,WM,3,SPITOM_WM_3,Shrub Sun,1,40,4
VIBCAS,WM,6,VIBCAS_WM_6,Shrub Sun,1,41,4
VIBCAS,WM,1,VIBCAS_WM_1,Shrub Sun,1,42,4
MYRGAL,GR,3,MYRGAL_GR_3,Shrub Sun,1,43,4
SPITOM,SH,1,SPITOM_SH_1,Shrub Sun,1,44,4
AROMEL,GR,6,AROMEL_GR_6,Shrub Sun,1,45,4
SPIALB,SH,1,SPIALB_SH_1,Shrub Sun,1,46,4
SPIALB,WM,2,SPIALB_WM_2,Shrub Sun,1,47,4
SPIALB,SH,4,SPIALB_SH_4,Shrub Sun,1,48,4
ACEPEN,GR,4,ACEPEN_GR_4,Tree,3,62,5
BETALL,GR,1,BETALL_GR_1,Tree,1.5,63,5
BETALL,GR,6,BETALL_GR_6,Tree,1.5,64,5
BETALL,WM,1,BETALL_WM_1,Tree,1.5,65,5
ALNINC,HF,6,ALNINC_HF_6,Tree,3,66,5
BETPAP,HF,1,BETPAP_HF_1,Tree,1.5,67,5
BETALL,GR,4,BETALL_GR_4,Tree,1.5,68,5
ACEPEN,SH,3,ACEPEN_SH_3,Tree,3,69,5
BETPOP,WM,2,BETPOP_WM_2,Tree,1.5,70,5
BETPAP,SH,5,BETPAP_SH_5,Tree,1.5,71,5
BETALL,WM,5,BETALL_WM_5,Tree,1.5,72,5
BETPOP,SH,5,BETPOP_SH_5,Tree,1.5,73,5
BETALL,SH,1,BETALL_SH_1,Tree,1.5,74,5
BETPAP,GR,3,BETPAP_GR_3,Tree,1.5,75,5
AMECAN,WM,5,AMECAN_WM_5,Tree,1.5,76,5
BETPOP,SH,4,BETPOP_SH_4,Tree,1.5,77,5
AMECAN,SH,6,AMECAN_SH_6,Tree,1.5,78,5
BETPOP,HF,5,BETPOP_HF_5,Tree,1.5,79,5
BETPOP,SH,6,BETPOP_SH_6,Tree,1.5,80,5
BETPAP,WM,3,BETPAP_WM_3,Tree,1.5,81,5
ACEPEN,GR,5,ACEPEN_GR_5,Tree,3,82,5
ALNINC,SH,5,ALNINC_SH_5,Tree,3,83,5
BETPAP,GR,1,BETPAP_GR_1,Tree,1.5,84,5
ACEPEN,GR,6,ACEPEN_GR_6,Tree,3,85,6
BETALL,HF,6,BETALL_HF_6,Tree,1.5,86,6
BETPAP,HF,2,BETPAP_HF_2,Tree,1.5,87,6
BETALL,HF,3,BETALL_HF_3,Tree,1.5,88,6
ALNINC,WM,2,ALNINC_WM_2,Tree,3,89,6
AMECAN,GR,1,AMECAN_GR_1,Tree,1.5,90,6
ACEPEN,WM,5,ACEPEN_WM_5,Tree,3,91,6
ACEPEN,HF,4,ACEPEN_HF_4,Tree,3,92,6
ALNINC,HF,4,ALNINC_HF_4,Tree,3,93,6
BETPAP,SH,1,BETPAP_SH_1,Tree,1.5,94,6
ACEPEN,SH,1,ACEPEN_SH_1,Tree,3,95,6
ALNINC,WM,4,ALNINC_WM_4,Tree,3,96,6
AMECAN,SH,1,AMECAN_SH_1,Tree,1.5,97,6
ACEPEN,WM,6,ACEPEN_WM_6,Tree,3,98,6
BETPAP,WM,1,BETPAP_WM_1,Tree,1.5,99,6
BETALL,SH,3,BETALL_SH_3,Tree,1.5,100,6
BETPAP,WM,2,BETPAP_WM_2,Tree,1.5,101,6
BETPOP,HF,6,BETPOP_HF_6,Tree,1.5,102,6
AMECAN,GR,4,AMECAN_GR_4,Tree,1.5,103,6
AMECAN,WM,4,AMECAN_WM_4,Tree,1.5,104,6
BETPOP,GR,3,BETPOP_GR_3,Tree,1.5,105,6
ACESPI,GR,1,ACESPI_GR_1,Shrub Shade,1.5,1,7
SORAME,HF,1,SORAME_HF_1,Shrub Shade,1.5,2,7
DIELON,HF,2,DIELON_HF_2,Shrub Shade,1.5,3,7
DIELON,WM,4,DIELON_WM_4,Shrub Shade,1.5,4,7
ACESPI,WM,2,ACESPI_WM_2,Shrub Shade,1.5,5,7
DIELON,GR,1,DIELON_GR_1,Shrub Shade,1.5,6,7
VACMYR,SH,4,VACMYR_SH_4,Shrub Shade,0.75,7,7
SORAME,GR,3,SORAME_GR_3,Shrub Shade,1.5,8,7
DIELON,HF,5,DIELON_HF_5,Shrub Shade,1.5,9,7
SORAME,WM,5,SORAME_WM_5,Shrub Shade,1.5,10,7
DIELON,WM,6,DIELON_WM_6,Shrub Shade,1.5,11,7
VACMYR,GR,5,VACMYR_GR_5,Shrub Shade,0.75,12,7
ACESPI,HF,6,ACESPI_HF_6,Shrub Shade,1.5,13,7
DIELON,HF,1,DIELON_HF_1,Shrub Shade,1.5,14,7
SORAME,GR,2,SORAME_GR_2,Shrub Shade,1.5,15,7
ACESPI,GR,2,ACESPI_GR_2,Shrub Shade,1.5,16,7
ACESPI,SH,1,ACESPI_SH_1,Shrub Shade,1.5,17,7
ACESPI,WM,1,ACESPI_WM_1,Shrub Shade,1.5,18,7
VACMYR,WM,1,VACMYR_WM_1,Shrub Shade,0.75,19,7
DIELON,HF,3,DIELON_HF_3,Shrub Shade,1.5,20,7
SORAME,HF,2,SORAME_HF_2,Shrub Shade,1.5,21,7
SORAME,WM,4,SORAME_WM_4,Shrub Shade,1.5,22,7
VACMYR,WM,3,VACMYR_WM_3,Shrub Shade,0.75,23,7
DIELON,SH,1,DIELON_SH_1,Shrub Shade,1.5,24,7
SORAME,GR,4,SORAME_GR_4,Shrub Shade,1.5,25,7
ACESPI,HF,3,ACESPI_HF_3,Shrub Shade,1.5,26,7
VACMYR,WM,2,VACMYR_WM_2,Shrub Shade,0.75,27,7
SORAME,WM,6,SORAME_WM_6,Shrub Shade,1.5,28,7
ACESPI,GR,3,ACESPI_GR_3,Shrub Shade,1.5,29,7
SORAME,WM,1,SORAME_WM_1,Shrub Shade,1.5,30,7
DIELON,GR,5,DIELON_GR_5,Shrub Shade,1.5,31,7
DIELON,HF,4,DIELON_HF_4,Shrub Shade,1.5,32,7
ACESPI,SH,5,ACESPI_SH_5,Shrub Shade,1.5,33,7
DIELON,SH,5,DIELON_SH_5,Shrub Shade,1.5,34,7
SORAME,SH,5,SORAME_SH_5,Shrub Shade,1.5,35,7
SPIALB,HF,1,SPIALB_HF_1,Shrub Sun,1,49,8
AROMEL,HF,1,AROMEL_HF_1,Shrub Sun,1,50,8
SPIALB,HF,5,SPIALB_HF_5,Shrub Sun,1,51,8
VIBCAS,HF,3,VIBCAS_HF_3,Shrub Sun,1,52,8
SPITOM,SH,4,SPITOM_SH_4,Shrub Sun,1,53,8
VIBCAS,GR,3,VIBCAS_GR_3,Shrub Sun,1,54,8
SPIALB,HF,4,SPIALB_HF_4,Shrub Sun,1,55,8
AROMEL,WM,3,AROMEL_WM_3,Shrub Sun,1,56,8
VIBCAS,GR,5,VIBCAS_GR_5,Shrub Sun,1,57,8
AROMEL,WM,1,AROMEL_WM_1,Shrub Sun,1,58,8
SPITOM,SH,6,SPITOM_SH_6,Shrub Sun,1,59,8
SPIALB,WM,5,SPIALB_WM_5,Shrub Sun,1,60,8
VIBCAS,GR,1,VIBCAS_GR_1,Shrub Sun,1,61,8
SPITOM,SH,3,SPITOM_SH_3,Shrub Sun,1,62,8
VIBCAS,HF,4,VIBCAS_HF_4,Shrub Sun,1,63,8
SPITOM,WM,4,SPITOM_WM_4,Shrub Sun,1,64,8
SPIALB,GR,4,SPIALB_GR_4,Shrub Sun,1,65,8
AROMEL,SH,2,AROMEL_SH_2,Shrub Sun,1,66,8
SPITOM,WM,2,SPITOM_WM_2,Shrub Sun,1,67,8
MYRGAL,WM,5,MYRGAL_WM_5,Shrub Sun,1,68,8
SPITOM,WM,5,SPITOM_WM_5,Shrub Sun,1,69,8
MYRGAL,GR,2,MYRGAL_GR_2,Shrub Sun,1,70,8
VIBCAS,HF,5,VIBCAS_HF_5,Shrub Sun,1,71,8
VIBCAS,SH,4,VIBCAS_SH_4,Shrub Sun,1,72,8
AROMEL,SH,4,AROMEL_SH_4,Shrub Sun,1,73,8
SPIALB,WM,1,SPIALB_WM_1,Shrub Sun,1,74,8
SPITOM,HF,3,SPITOM_HF_3,Shrub Sun,1,75,8
VIBCAS,SH,1,VIBCAS_SH_1,Shrub Sun,1,76,8
MYRGAL,HF,2,MYRGAL_HF_2,Shrub Sun,1,77,8
VIBCAS,SH,5,VIBCAS_SH_5,Shrub Sun,1,78,8
MYRGAL,GR,4,MYRGAL_GR_4,Shrub Sun,1,79,8
MYRGAL,WM,1,MYRGAL_WM_1,Shrub Sun,1,80,8
AROMEL,WM,2,AROMEL_WM_2,Shrub Sun,1,81,8
AROMEL,SH,1,AROMEL_SH_1,Shrub Sun,1,82,8
SPITOM,HF,6,SPITOM_HF_6,Shrub Sun,1,83,8
VIBCAS,SH,6,VIBCAS_SH_6,Shrub Sun,1,84,8
MYRGAL,WM,6,MYRGAL_WM_6,Shrub Sun,1,85,8
AROMEL,HF,5,AROMEL_HF_5,Shrub Sun,1,86,8
SPITOM,HF,2,SPITOM_HF_2,Shrub Sun,1,87,8
AROMEL,HF,3,AROMEL_HF_3,Shrub Sun,1,88,8
VIBCAS,WM,2,VIBCAS_WM_2,Shrub Sun,1,89,8
AROMEL,GR,4,AROMEL_GR_4,Shrub Sun,1,90,8
VIBCAS,HF,2,VIBCAS_HF_2,Shrub Sun,1,91,8
SPIALB,GR,2,SPIALB_GR_2,Shrub Sun,1,92,8
AROMEL,GR,2,AROMEL_GR_2,Shrub Sun,1,93,8
SPIALB,HF,3,SPIALB_HF_3,Shrub Sun,1,94,8
MYRGAL,SH,6,MYRGAL_SH_6,Shrub Sun,1,95,8
MYRGAL,HF,6,MYRGAL_HF_6,Shrub Sun,1,96,8
MYRGAL,SH,5,MYRGAL_SH_5,Shrub Sun,1,97,8
BETALL,SH,4,BETALL_SH_4,Tree,1.5,106,9
AMECAN,SH,2,AMECAN_SH_2,Tree,1.5,107,9
ACEPEN,WM,1,ACEPEN_WM_1,Tree,3,108,9
BETPAP,HF,6,BETPAP_HF_6,Tree,1.5,109,9
ACEPEN,SH,4,ACEPEN_SH_4,Tree,3,110,9
ALNINC,GR,3,ALNINC_GR_3,Tree,3,111,9
ACEPEN,WM,4,ACEPEN_WM_4,Tree,3,112,9
AMECAN,SH,5,AMECAN_SH_5,Tree,1.5,113,9
BETPAP,WM,5,BETPAP_WM_5,Tree,1.5,114,9
BETALL,HF,5,BETALL_HF_5,Tree,1.5,115,9
BETPOP,WM,4,BETPOP_WM_4,Tree,1.5,116,9
ALNINC,WM,5,ALNINC_WM_5,Tree,3,117,9
AMECAN,GR,2,AMECAN_GR_2,Tree,1.5,118,9
BETPAP,HF,5,BETPAP_HF_5,Tree,1.5,119,9
ACEPEN,SH,2,ACEPEN_SH_2,Tree,3,120,9
ACEPEN,SH,5,ACEPEN_SH_5,Tree,3,121,9
BETPOP,HF,1,BETPOP_HF_1,Tree,1.5,122,9
BETPOP,SH,3,BETPOP_SH_3,Tree,1.5,123,9
ACEPEN,GR,2,ACEPEN_GR_2,Tree,3,124,9
BETALL,SH,2,BETALL_SH_2,Tree,1.5,125,9
DIELON,GR,6,DIELON_GR_6,Shrub Shade,1.5,36,10
DIELON,WM,2,DIELON_WM_2,Shrub Shade,1.5,37,10
SORAME,WM,2,SORAME_WM_2,Shrub Shade,1.5,38,10
ACESPI,HF,2,ACESPI_HF_2,Shrub Shade,1.5,39,10
ACESPI,WM,4,ACESPI_WM_4,Shrub Shade,1.5,40,10
VACMYR,WM,4,VACMYR_WM_4,Shrub Shade,0.75,41,10
ACESPI,SH,6,ACESPI_SH_6,Shrub Shade,1.5,42,10
VACMYR,HF,2,VACMYR_HF_2,Shrub Shade,0.75,43,10
ACESPI,WM,3,ACESPI_WM_3,Shrub Shade,1.5,44,10
VACMYR,HF,1,VACMYR_HF_1,Shrub Shade,0.75,45,10
DIELON,SH,6,DIELON_SH_6,Shrub Shade,1.5,46,10
SORAME,SH,3,SORAME_SH_3,Shrub Shade,1.5,47,10
DIELON,WM,5,DIELON_WM_5,Shrub Shade,1.5,48,10
SORAME,SH,2,SORAME_SH_2,Shrub Shade,1.5,49,10
ACESPI,GR,6,ACESPI_GR_6,Shrub Shade,1.5,50,10
DIELON,HF,6,DIELON_HF_6,Shrub Shade,1.5,51,10
VACMYR,HF,3,VACMYR_HF_3,Shrub Shade,0.75,52,10
DIELON,GR,2,DIELON_GR_2,Shrub Shade,1.5,53,10
SORAME,WM,3,SORAME_WM_3,Shrub Shade,1.5,54,10
VACMYR,GR,6,VACMYR_GR_6,Shrub Shade,0.75,55,10
ACESPI,GR,5,ACESPI_GR_5,Shrub Shade,1.5,56,10
VACMYR,HF,6,VACMYR_HF_6,Shrub Shade,0.75,57,10
SORAME,HF,6,SORAME_HF_6,Shrub Shade,1.5,58,10
ACESPI,SH,3,ACESPI_SH_3,Shrub Shade,1.5,59,10
ACESPI,HF,1,ACESPI_HF_1,Shrub Shade,1.5,60,10
SORAME,HF,5,SORAME_HF_5,Shrub Shade,1.5,61,10
ACESPI,WM,6,ACESPI_WM_6,Shrub Shade,1.5,62,10
DIELON,SH,4,DIELON_SH_4,Shrub Shade,1.5,63,10
SORAME,GR,5,SORAME_GR_5,Shrub Shade,1.5,64,10
VACMYR,GR,3,VACMYR_GR_3,Shrub Shade,0.75,65,10
DIELON,GR,4,DIELON_GR_4,Shrub Shade,1.5,66,10
DIELON,GR,3,DIELON_GR_3,Shrub Shade,1.5,67,10
ACESPI,WM,5,ACESPI_WM_5,Shrub Shade,1.5,68,10
SORAME,SH,6,SORAME_SH_6,Shrub Shade,1.5,69,10
SORAME,HF,3,SORAME_HF_3,Shrub Shade,1.5,70,10
VACMYR,SH,1,VACMYR_SH_1,Shrub Shade,0.75,71,10
DIELON,WM,3,DIELON_WM_3,Shrub Shade,1.5,72,10
SPITOM,SH,2,SPITOM_SH_2,Shrub Sun,1,98,11
SPITOM,GR,4,SPITOM_GR_4,Shrub Sun,1,99,11
MYRGAL,HF,3,MYRGAL_HF_3,Shrub Sun,1,100,11
AROMEL,GR,5,AROMEL_GR_5,Shrub Sun,1,101,11
SPIALB,SH,2,SPIALB_SH_2,Shrub Sun,1,102,11
AROMEL,WM,5,AROMEL_WM_5,Shrub Sun,1,103,11
SPITOM,GR,1,SPITOM_GR_1,Shrub Sun,1,104,11
MYRGAL,HF,5,MYRGAL_HF_5,Shrub Sun,1,105,11
SPIALB,WM,3,SPIALB_WM_3,Shrub Sun,1,106,11
AROMEL,SH,3,AROMEL_SH_3,Shrub Sun,1,107,11
AROMEL,GR,3,AROMEL_GR_3,Shrub Sun,1,108,11
MYRGAL,SH,2,MYRGAL_SH_2,Shrub Sun,1,109,11
SPIALB,GR,6,SPIALB_GR_6,Shrub Sun,1,110,11
AROMEL,HF,2,AROMEL_HF_2,Shrub Sun,1,111,11
SPITOM,HF,4,SPITOM_HF_4,Shrub Sun,1,112,11
SPITOM,GR,5,SPITOM_GR_5,Shrub Sun,1,113,11
MYRGAL,HF,1,MYRGAL_HF_1,Shrub Sun,1,114,11
MYRGAL,SH,4,MYRGAL_SH_4,Shrub Sun,1,115,11
SPITOM,HF,1,SPITOM_HF_1,Shrub Sun,1,116,11
SPITOM,GR,6,SPITOM_GR_6,Shrub Sun,1,117,11
AROMEL,WM,6,AROMEL_WM_6,Shrub Sun,1,118,11
MYRGAL,WM,4,MYRGAL_WM_4,Shrub Sun,1,119,11
SPIALB,SH,5,SPIALB_SH_5,Shrub Sun,1,120,11
BETALL,WM,4,BETALL_WM_4,Tree,1.5,126,12
ALNINC,GR,1,ALNINC_GR_1,Tree,3,127,12
BETPOP,HF,3,BETPOP_HF_3,Tree,1.5,128,12
BETPAP,GR,4,BETPAP_GR_4,Tree,1.5,129,12
BETPAP,GR,6,BETPAP_GR_6,Tree,1.5,130,12
AMECAN,HF,6,AMECAN_HF_6,Tree,1.5,131,12
ACEPEN,SH,6,ACEPEN_SH_6,Tree,3,132,12
AMECAN,GR,5,AMECAN_GR_5,Tree,1.5,133,12
ACEPEN,WM,2,ACEPEN_WM_2,Tree,3,134,12
BETPAP,GR,5,BETPAP_GR_5,Tree,1.5,135,12
BETPAP,WM,6,BETPAP_WM_6,Tree,1.5,136,12
ALNINC,SH,1,ALNINC_SH_1,Tree,3,137,12
BETALL,GR,5,BETALL_GR_5,Tree,1.5,138,12
BETPOP,GR,1,BETPOP_GR_1,Tree,1.5,139,12
AMECAN,HF,4,AMECAN_HF_4,Tree,1.5,140,12
BETPOP,GR,6,BETPOP_GR_6,Tree,1.5,141,12
BETPOP,GR,2,BETPOP_GR_2,Tree,1.5,142,12
BETPOP,WM,5,BETPOP_WM_5,Tree,1.5,143,12
ACEPEN,HF,5,ACEPEN_HF_5,Tree,3,144,12
ACESPI,GR,4,ACESPI_GR_4,Shrub Shade,1.5,73,13
SORAME,SH,4,SORAME_SH_4,Shrub Shade,1.5,74,13
ACESPI,SH,2,ACESPI_SH_2,Shrub Shade,1.5,75,13
DIELON,SH,2,DIELON_SH_2,Shrub Shade,1.5,76,13
SORAME,HF,4,SORAME_HF_4,Shrub Shade,1.5,77,13
VACMYR,SH,3,VACMYR_SH_3,Shrub Shade,0.75,78,13
VACMYR,HF,4,VACMYR_HF_4,Shrub Shade,0.75,79,13
ACESPI,HF,4,ACESPI_HF_4,Shrub Shade,1.5,80,13
SORAME,GR,6,SORAME_GR_6,Shrub Shade,1.5,81,13
VACMYR,GR,4,VACMYR_GR_4,Shrub Shade,0.75,82,13
SORAME,SH,1,SORAME_SH_1,Shrub Shade,1.5,83,13
ACESPI,HF,5,ACESPI_HF_5,Shrub Shade,1.5,84,13
VACMYR,GR,1,VACMYR_GR_1,Shrub Shade,0.75,85,13
VACMYR,WM,6,VACMYR_WM_6,Shrub Shade,0.75,86,13
VACMYR,SH,2,VACMYR_SH_2,Shrub Shade,0.75,87,13
SORAME,GR,1,SORAME_GR_1,Shrub Shade,1.5,88,13
VACMYR,SH,5,VACMYR_SH_5,Shrub Shade,0.75,89,13
VACMYR,SH,6,VACMYR_SH_6,Shrub Shade,0.75,90,13
VACMYR,WM,5,VACMYR_WM_5,Shrub Shade,0.75,91,13
VACMYR,GR,2,VACMYR_GR_2,Shrub Shade,0.75,92,13
VACMYR,HF,5,VACMYR_HF_5,Shrub Shade,0.75,93,13
ACESPI,SH,4,ACESPI_SH_4,Shrub Shade,1.5,94,13
DIELON,SH,3,DIELON_SH_3,Shrub Shade,1.5,95,13
DIELON,WM,1,DIELON_WM_1,Shrub Shade,1.5,96,13
