sp,site,rep,ind,set,space,order,plotno
BETPAP,SH,2,BETPAP_SH_2,Tree,1.5,1,1
AMECAN,GR,6,AMECAN_GR_6,Tree,1.5,2,1
ALNINC,HF,2,ALNINC_HF_2,Tree,3,3,1
BETALL,HF,2,BETALL_HF_2,Tree,1.5,4,1
BETPAP,HF,3,BETPAP_HF_3,Tree,1.5,5,1
BETPOP,HF,4,BETPOP_HF_4,Tree,1.5,6,1
AMECAN,WM,2,AMECAN_WM_2,Tree,1.5,7,1
BETALL,WM,6,BETALL_WM_6,Tree,1.5,8,1
ACEPEN,HF,2,ACEPEN_HF_2,Tree,3,9,1
ALNINC,WM,6,ALNINC_WM_6,Tree,3,10,1
AMECAN,SH,4,AMECAN_SH_4,Tree,1.5,11,1
BETALL,GR,2,BETALL_GR_2,Tree,1.5,12,1
ALNINC,GR,2,ALNINC_GR_2,Tree,3,13,1
BETALL,WM,3,BETALL_WM_3,Tree,1.5,14,1
BETALL,GR,3,BETALL_GR_3,Tree,1.5,15,1
ALNINC,WM,1,ALNINC_WM_1,Tree,3,16,1
AMECAN,HF,3,AMECAN_HF_3,Tree,1.5,17,1
ALNINC,SH,2,ALNINC_SH_2,Tree,3,18,1
ALNINC,HF,3,ALNINC_HF_3,Tree,3,19,1
BETALL,SH,5,BETALL_SH_5,Tree,1.5,20,1
BETPOP,WM,1,BETPOP_WM_1,Tree,1.5,21,2
ACEPEN,HF,3,ACEPEN_HF_3,Tree,3,22,2
BETPAP,SH,3,BETPAP_SH_3,Tree,1.5,23,2
BETALL,HF,1,BETALL_HF_1,Tree,1.5,24,2
BETPAP,SH,6,BETPAP_SH_6,Tree,1.5,25,2
ACEPEN,WM,3,ACEPEN_WM_3,Tree,3,26,2
ALNINC,GR,4,ALNINC_GR_4,Tree,3,27,2
BETPAP,WM,4,BETPAP_WM_4,Tree,1.5,28,2
AMECAN,HF,2,AMECAN_HF_2,Tree,1.5,29,2
ACEPEN,GR,1,ACEPEN_GR_1,Tree,3,30,2
AMECAN,SH,3,AMECAN_SH_3,Tree,1.5,31,2
ALNINC,HF,1,ALNINC_HF_1,Tree,3,32,2
BETPOP,GR,5,BETPOP_GR_5,Tree,1.5,33,2
ALNINC,GR,6,ALNINC_GR_6,Tree,3,34,2
BETPAP,GR,2,BETPAP_GR_2,Tree,1.5,35,2
BETPOP,WM,3,BETPOP_WM_3,Tree,1.5,36,2
BETALL,WM,2,BETALL_WM_2,Tree,1.5,37,2
ALNINC,SH,6,ALNINC_SH_6,Tree,3,38,2
BETALL,SH,6,BETALL_SH_6,Tree,1.5,39,2
BETPAP,HF,4,BETPAP_HF_4,Tree,1.5,40,2
AMECAN,GR,3,AMECAN_GR_3,Tree,1.5,41,2
BETPOP,HF,2,BETPOP_HF_2,Tree,1.5,42,3
BETPAP,SH,4,BETPAP_SH_4,Tree,1.5,43,3
ACEPEN,HF,6,ACEPEN_HF_6,Tree,3,44,3
ACEPEN,GR,3,ACEPEN_GR_3,Tree,3,45,3
AMECAN,WM,1,AMECAN_WM_1,Tree,1.5,46,3
ALNINC,SH,3,ALNINC_SH_3,Tree,3,47,3
BETALL,HF,4,BETALL_HF_4,Tree,1.5,48,3
AMECAN,WM,3,AMECAN_WM_3,Tree,1.5,49,3
ALNINC,GR,5,ALNINC_GR_5,Tree,3,50,3
ALNINC,HF,5,ALNINC_HF_5,Tree,3,51,3
ALNINC,SH,4,ALNINC_SH_4,Tree,3,52,3
AMECAN,HF,5,AMECAN_HF_5,Tree,1.5,53,3
AMECAN,WM,6,AMECAN_WM_6,Tree,1.5,54,3
BETPOP,SH,2,BETPOP_SH_2,Tree,1.5,55,3
ALNINC,WM,3,ALNINC_WM_3,Tree,3,56,3
