"Species","Plot","Location","GH","site"
"AMECAN_WM",6,"none","","WM"
"BETALL_HF_9",6,"none","","HF"
"ACEPEN_HF_12",6,"CG","","HF"
"ACEPEN_SH",6,"none","","SH"
"AMECAN_SH_2",6,"RB","","SH"
"BETPAP_HF",6,"none","","HF"
"AMECAN_GR_10",6,"CG","","GR"
"BETPAP_WM",6,"none","","WM"
"BETPAP_WM",6,"none","","WM"
"BETPOP_WM_7",6,"CG","","WM"
"ACEPEN_WM_6",6,"CG","","WM"
"SAMRAC_SH",7,"none","","SH"
"ACESPI_GR_8",7,"CG","","GR"
"SORAME_HF",7,"none","","HF"
"SORAME_WM",7,"none","","WM"
"SORAME_GR_9",7,"CG","","GR"
"SAMRAC_WM",7,"none","","WM"
"SAMRAC_WM",7,"none","","WM"
"ACESPI_HF",7,"none","","HF"
"ACESPI_GR_6",7,"CG","","GR"
"ACESPI_HF",7,"none","","HF"
"DIELON_WM",7,"none","","WM"
"DIELON_GR_5",7,"CG","","GR"
"ACESPI_HF",7,"none","","HF"
"DIELON_WM",7,"none","","WM"
"SORAME_SH_3",7,"CG","","SH"
"SORAME_HF",7,"none","","HF"
"SORAME_GR_9",7,"CG","","GR"
"DIELON_SH_4",7,"CG","","SH"
"DIELON_HF_3",7,"CG","","HF"
"SORAME_WM",7,"none","","WM"
"DIELON_GR_5",7,"CG","","GR"
"SORAME_GR_9",7,"CG","","GR"
"SAMRAC_SH",7,"none","","SH"
"DIELON_GR_5",7,"CG","","GR"
"DIELON_WM",7,"none","","WM"
"DIELON_HF_1",7,"CG","","HF"
"ACESPI_GR_4",7,"CG","","GR"
"SORAME_GR_9",7,"CG","","GR"
"ACESPI_SH_2",7,"RB","","SH"
"SAMRAC_WM",7,"none","","WM"
"SAMRAC_GR_7",7,"CG","","GR"
"ACESPI_WM_5",7,"RB","","WM"
"ACESPI_HF_4",7,"none","","HF"
"SORAME_WM",7,"none","","WM"
"SAMRAC_GR_4",7,"CG","","GR"
"SAMRAC_GR",7,"none","maybe","GR"
"VIBCAS_HF",8,"none","","HF"
"SPITOM_GR_2",8,"RB","","GR"
"SPITOM_GR_2",8,"RB","","GR"
"AROMEL_HF_4",8,"CG","","HF"
"MYRGAL_HF",8,"none","","HF"
"VIBCAS_SH_5",8,"CG","","SH"
"MYRGAL_WM_6",8,"CG","","WM"
"VIBCAS_WM_4",8,"CG","","WM"
"MYRGAL_SH_1",8,"CG","","SH"
"VIBCAS_SH_5",8,"CG","","SH"
"AROMEL_HF_10",8,"CG","","HF"
"AROMEL_WM_7",8,"CG","","WM"
"SPIALB_WM_8",8,"RB","","WM"
"VIBCAS_GR_12",8,"CG","","GR"
"AROMEL_GR",8,"none","","GR"
"AROMEL_SH",8,"none","","SH"
"SPITOM_WM_4",8,"CG","","WM"
"SPITOM_HF_6",8,"CG","","HF"
"SPIALB_GR_12",8,"CG","","GR"
"VIBCAS_SH_5",8,"CG","","SH"
"MYRGAL_HF",8,"none","","HF"
"SPITOM_HF_4",8,"CG","","HF"
"SPITOM_HF_9",8,"CG","","HF"
"SPIALB_WM_1",8,"RB","","WM"
"AROMEL_SH",8,"none","","SH"
"AROMEL_SH",8,"none","","SH"
"AROMEL_SH",8,"none","","SH"
"SPIALB_GR_12",8,"CG","","GR"
"SPIALB_GR_3",8,"CG","","GR"
"MYRGAL_SH_2",8,"CG","","SH"
"VIBCAS_GR_12",8,"CG","","GR"
"AROMEL_GR",8,"none","","GR"
"SPITOM_HF_13",8,"CG","","HF"
"SPIALB_HF_2",8,"CG","","HF"
"SPIALB_SH_6",8,"RB","","SH"
"VIBCAS_WM_9",8,"CG","","WM"
"VIBCAS_HF",8,"none","","HF"
"SPITOM_GR",8,"none","","GR"
"VIBCAS_SH_1",8,"CG","","SH"
"AROMEL_GR",8,"none","","GR"
"VIBCAS_WM_9",8,"CG","","WM"
"SPIALB_HF_3",8,"CG","","HF"
"SPIALB_SH_3",8,"RB","","SH"
"MYRGAL_GR",8,"none","","GR"
"AROMEL_GR",8,"none","","GR"
"MYRGAL_WM_6",8,"CG","","WM"
"ACEPEN_WM_5",9,"CG","","WM"
"ALNINC_SH_8",9,"CG","","SH"
"BETPOP_WM_7",9,"CG","","WM"
"BETALL_WM_8",9,"CG","","WM"
"BETALL_SH_4",9,"CG","","SH"
"BETALL_HF",9,"none","","HF"
"BETALL_WM_9",9,"CG","","WM"
"ACEPEN_WM_6",9,"CG","","WM"
"BETPAP_SH",9,"none","","SH"
"ALNINC_HF_9",9,"CG","","HF"
"BETALL_SH_4",9,"CG","","SH"
"BETALL_SH_4",9,"CG","","SH"
"ACEPEN_SH",9,"none","","SH"
"BETPOP_HF_4",9,"CG","","HF"
