Species,Plot,Location,GH
SPITOM_HF_4,8,CG,
SPITOM_HF_9,8,CG,
SPIALB_WM_1,8,RB,
AROMEL_SH,8,none,
AROMEL_SH,8,none,
AROMEL_SH,8,none,
SPIALB_GR_12,8,CG,
SPIALB_GR_3,8,CG,
MYRGAL_SH_2,8,CG,
VIBCAS_GR_12,8,CG,
AROMEL_GR,8,none,
SPITOM_HF_13,8,CG,
SPIALB_HF_2,8,CG,
SPIALB_SH_6,8,RB,
VIBCAS_WM_9,8,CG,
VIBCAS_HF,8,none,
SPITOM_GR,8,none,
VIBCAS_SH_1,8,CG,
AROMEL_GR,8,none,
VIBCAS_WM_9,8,CG,
SPIALB_HF_3,8,CG,
SPIALB_SH_3,8,RB,
MYRGAL_GR,8,none,
AROMEL_GR,8,none,
MYRGAL_WM_6,8,CG,
ACEPEN_WM_5,9,CG,
ALNINC_SH_8,9,CG,
BETPOP_WM_7,9,CG,
BETALL_WM_8,9,CG,
BETALL_SH_4,9,CG,
BETALL_HF,9,none,
BETALL_WM_9,9,CG,
ACEPEN_WM_6,9,CG,
BETPAP_SH,9,none,
ALNINC_HF_9,9,CG,
BETALL_SH_4,9,CG,
BETALL_SH_4,9,CG,
ACEPEN_SH,9,none,
BETPOP_HF_4,9,CG,
SORAME_WM,10,none,
ACESPI_GR,10,none,
SAMRAC_WM,10,none,
SAMRAC_HF,10,CG,
ACESPI_SH,10,none,
ACESPI_SH,10,none,
SAMRAC_WM,10,none,
ACESPI_WM,10,none,
ACESPI_HF,10,none,
SAMRAC_SH,10,none,
SORAME_GR_9,10,CG,
DIELON_HF_1,10,CG,
DIELON_WM,10,none,
SAMRAC_GR_7,10,CG,
DIELON_WM,10,none,
ACESPI_SH_9,10,CG,
SORAME_SH_3,10,CG,
SAMRAC_HF,10,CG,
DIELON_SH_4,10,CG,
SORAME_SH_3,10,CG,
SORAME_HF,10,none,
SAMRAC_GR_9,10,CG,yes
ACESPI_SH,10,none,
ACESPI_HF,10,none,
SORAME_SH_3,10,CG,
SAMRAC_SH,10,none,
DIELON_WM,10,none,
SAMRAC_GR_4,10,none,maybe
SORAME_HF,10,none,
DIELON_SH_4,10,CG,
ACESPI_SH,10,none,
DIELON_GR_8,10,CG,
DIELON_GR_8,10,CG,
SORAME_HF,10,none,
SORAME_GR_9,10,CG,
DIELON_SH_2,10,CG,
SAMRAC_WM,10,none,
SPITOM_SH,11,none,
MYRGAL_WM_6,11,CG,
SPITOM_GR,11,none,
SPIALB_HF_10,11,CG,
VIBCAS_WM_4,11,CG,
MYRGAL_WM,11,none,
SPITOM_SH,11,none,
AROMEL_SH,11,none,
SPITOM_HF_5,11,CG,
MYRGAL_GR,11,none,
SPITOM_SH,11,none,
SPIALB_WM_5,11,RB,
VIBCAS_WM_9,11,CG,
SPITOM_SH,11,none,
VIBCAS_HF,11,none,
AROMEL_GR,11,none,
AROMEL_WM_5,11,CG,
VIBCAS_HF,11,none,
VIBCAS_HF,11,none,
SPITOM_GR,11,none,
SPITOM_GR,11,none,
SPITOM_HF_6,11,CG,
AROMEL_HF_8,11,CG,
AROMEL_HF_8,11,CG,
AROMEL_GR,11,none,
AROMEL_HF_10,11,CG,
ALNINC_SH_6,12,CG,
ACEPEN_WM_5,12,CG,
ACEPEN_HF_12,12,CG,
BETPOP_GR_5,12,CG,
ACEPEN_GR,12,none,
BETPOP_GR_5,12,CG,
BETPAP_HF,12,none,
ALNINC_HF_8,12,CG,
BETALL_HF,12,none,
BETPAP_SH,12,none,
