ID,Plot,Feet,Inches,StemVol,Notes ,
BETPAP_GR_5,1,,,,Dead,
ALNINC_SH_1,1,,,,,
BETPAP_SH_1A,1,,,,,
ALNINC_GR_11,1,,,,,
BETPOP_WM_7,1,,,,,
BETALL_WM_8,1,,,,,
ALNINC_WM_2A,1,,,,,
BETPOP_HF_3,1,,,,,
BETALL_GR_13,1,,,,,
ALNINC_WM_5,1,,,,,
ALNINC_WM_1,1,,,,,
ALNINC_HF_2,1,,,,,
ALNINC_HF_1,1,,,,,
BETALL_GR_12,1,,,,,
BETPOP_GR_5,1,,,,,
BETPAP_SH_1B,1,,,,,
ALNINC_WM_2B,1,,,,,
ALNINC_SH_4,2,,,,,
ALNINC_SH_5,2,,,,,
AMECAN_WM_1,2,,,,,
BETPAP_GR_5A,2,,,,,
BETALL_GR_13,2,,,,,
ALNINC_WM_5A,2,,,,,
BETPAP_HF_16,2,,,,,
BETPOP_HF_5,2,,,,dead,
ACEPEN_HF_12,2,,,,Dead,
BETPOP_WM_7,2,,,,,
ACEPEN_WM_5,2,,,,dead,
BETPAP_GR_5B,2,,,,Dead,
ALNINC_HF_9,2,,,,,
BETPOP_HF_1,2,,,,,
AMECAN_GR_10,2,,,,dead,
ALNINC_WM_5B,2,,,,,
ACEPEN_HF_12,2,,,,dead,
BETALL_GR_9,3,,,,,
BETPAP_HF_16,3,,,,,
AMECAN_GR_10A,3,,,,dead,
ALNINC_GR_11A,3,,,,,
BETALL_SH_4,3,,,,,
BETPOP_GR_5A,3,,,,,
BETALL_GR_12,3,,,,,
ALNINC_SH_5,3,,,,,
BETPAP_GR_8,3,,,,dead,
AMECAN_GR_10B,3,,,,,
BETALL_GR_1,3,,,,,
BETPOP_HF_1,3,,,,,
ALNINC_GR_1,3,,,,,
BETPOP_GR_5B,3,,,,,
ALNINC_GR_8,3,,,,,
ACEPEN_HF_12,3,,,,dead,
ALNINC_GR_11B,3,,,,,
BETPOP_WM_7,3,,,,est,
BETPOPX_X,3,,,,Est,
VIBCAS_SH_1,4,,,,,
VIBCAS_GR_9,4,,,,,
SPIALB_GR_12,4,,,,,
SPITOM_WM_5A,4,,,,,
SPIALB_WM_2A,4,,,,,
MYRGAL_SH_1A,4,,,,dead,
AROMEL_WM_2,4,,,,,
AROMEL_WM_7,4,,,,dead,
SPIALB_SH_9A,4,,,,,
SPITOM_WM_5B,4,,,,,
MYRGAL_SH_2A,4,,,,,
MYRGAL_GR_8A,4,,,,dead,
SPIALB_HF_1,4,,,,,
SPIALB_WM_2B,4,,,,,
SPITOM_SH_99,4,,,,,
MYRGAL_GR_8B,4,,,,dead,
SPIALB_HF_4A,4,,,,,
SPITOM_SH_9,4,,,,,
SPITOM_WM_5C,4,,,,,
SPIALB_SH_8,4,,,,dead,
MYRGAL_SH_1B,4,,,,,
SPIALB_GR_3,4,,,,,
VIBCAS_WM_4,4,,,,,
VIBCAS_GR_12A,4,,,,,
MYRGAL_WM_6A,4,,,,Almost dead,
AROMEL_WM_15,4,,,,,
SPIALB_SH_4A,4,,,,,
SPIALB_SH_7,4,,,,,
MYRGAL_WM_6B,4,,,,dead,
SPIALB_GR_7,4,,,,,
SPIALB_SH_4B,4,,,,,
SPIALB_WM_7A,4,,,,,
VIBCAS_GR_12B,4,,,,,
MYRGAL_GR_8C,4,,,,,
SPIALB_HF_8,4,,,,,
SPITOM_WM_5D,4,,,,,
SPIALB_SH_1,4,,,,,
MYRGAL_SH_2B,4,,,,..almost dead,
VIBCAS_SH_5,4,,,,,
MYRGAL_GR_8D,4,,,,,
SPIALB_WM_7B,4,,,,,
SPITOM_WM_5E,4,,,,,
AROMEL_HF_4,4,,,,dead,
AROMEL_WM_5,4,,,,,
SPIALB_SH_9B,4,,,,,
VIBCAS_GR_10,4,,,,,
BETPAP_GR_8,5,,,,,
BETALL_WM_8A,5,,,,,
BETALL_WM_9,5,,,,,
ACEPEN_HF_12,5,,,,dead,
AMECAN_GR_10A,5,,,,Dead,
ALNINC_GR_8A,5,,,,,
ALNINC_GR_8B,5,,,,,
ALNINC_GR_1,5,,,,,
QUERUB_HF_9,5,,,,,
AMECAN_SH_4,5,,,,dead,
AMECAN_GR_10B,5,,,,Dead,
BETALL_WM_8B,5,,,,,
BETPAP_HF_16,5,,,,dead,
QUERUB_HF_99,5,,,,,
ACEPEN_WM_5,5,,,, Probably dead,
ALNINC_SH_6,5,,,,,
BETALL_SH_9,6,,,,,
BETPOP_GR_5,6,,,,,
BETPOP_GR_3,6,,,,,
AMECAN_SH_4,6,,,,,
BETPAP_GR_8,6,,,,,
BETPOP_HF_3A,6,,,,,
BETPOP_HF_3B,6,,,,,
ALNINC_HF_5,6,,,,,
BETALL_SH_5,6,,,,,
BETPAP_HF_16A,6,,,,,
BETPOP_HF_5,6,,,,,
ACEPEN_HF_12,6,,,,dead,
BETALL_SH_2,6,,,,,
ALNINC_HF_9,6,,,,,
AMECAN_SH_2,6,,,,Dead,
