ID,Plot,Feet,Inches,StemVol,Notes ,
BETPOP_WM_7,6,,,,,
BETPAP_HF_16B,6,,,,,
AMECAN_GR_10,6,,,,,
ACEPEN_WM_5,6,,,,dead,
SAMRAC_GR_2,7,,,,,
ACESPI_GR_8,7,,,,dead,
DIELON_WM,7,,,,,
SORAME_GR_9C,7,,,,dead,
SAMRAC_GR_7A,7,,,,,
ACESPI_GR_6,7,,,,dead,
DIELON_HF_1A,7,,,,,
DIELON_GR_5A,7,,,,,
DIELON_HF_4,7,,,,,
SORAME_SH_3,7,,,,dead),
SORAME_GR_9D,7,,,,Dead),
DIELON_HF_3,7,,,,,
DIELON_GR_5B,7,,,,,
SORAME_GR_9A,7,,,,dead,
DIELON_SH_4,7,,,,,
DIELON_GR_5C,7,,,,,
DIELON_HF_2,7,,,,,
DIELON_HF_1B,7,,,,,
ACESPI_GR_4,7,,,,dead,
SORAME_GR_9B,7,,,,,
ACESPI_SH_2,7,,,,dead,
SAMRAC_GR_7B,7,,,,,
ACESPI_WM_1,7,,,,dead,
SAMRAC_GR_4,7,,,,,
SAMRAC_GR_9,7,,,,,
VIBCAS_SH_1A,8,,,,,
AROMEL_HF_4,8,,,,,
VIBCAS_SH_5A,8,,,,,
MYRGAL_WM_6A,8,,,,,
VIBCAS_WM_4,8,,,,,
MYRGAL_SH_1,8,,,,,
VIBCAS_SH_5B,8,,,,,
AROMEL_HF_10,8,,,,,
AROMEL_WM_7,8,,,,,
SPIALB_WM_7A,8,,,,,
VIBCAS_GR_12A,8,,,,,
SPITOM_GR_2B,8,,,,,
SPITOM_WM_4A,8,,,,,
SPITOM_HF_6A,8,,,,,
SPIALB_GR_12A,8,,,,,
VIBCAS_SH_5C,8,,,,,
SPIALB_GR_5,8,,,,,
SPITOM_HF_4,8,,,,,
SPITOM_HF_9A,8,,,,,
SPIALB_WM_7B,8,,,,,
SPITOM_GR_2C,8,,,,,
SPITOM_GR_2D,8,,,,,
SPITOM_WM_5,8,,,,,
SPIALB_GR_12B,8,,,,,
SPIALB_GR_3,8,,,,,
MYRGAL_SH_2,8,,,,,
VIBCAS_GR_12B,8,,,,,
SPITOM_WM_4B,8,,,,,
SPITOM_HF_13,8,,,,,
SPIALB_HF_2,8,,,,,
SPIALB_SH_7A,8,,,,,
VIBCAS_WM_9A,8,,,,,
VIBCAS_GR_5,8,,,,,
SPITOM_GR_1,8,,,,,
VIBCAS_SH_1B,8,,,,,
SPITOM_HF_6B,8,,,,,
VIBCAS_WM_9B,8,,,,,
SPIALB_HF_3,8,,,,,
SPIALB_GR_9,8,,,,,
SPIALB_SH_7B,8,,,,,
SPITOM_HF_9B,8,,,,,
MYRGAL_WM_6B,8,,,,,
ACEPEN_WM_5,9,,,,dead,
ALNINC_SH_8,9,,,,,
BETPOP_WM_7,9,,,,,
BETALL_WM_8,9,,,,,
BETALL_SH_9,9,,,,,
BETALL_SH_5,9,,,,dead,
BETALL_WM_9,9,,,,Dead,
ACEPEN_WM_5,9,,,,Dead,
BETPAP_GR_9,9,,,,Dead,
ALNINC_HF_9,9,,,,,
BETALL_SH_4A,9,,,,,
BETALL_SH_4B,9,,,,dead,
QUERUB_WM_9,9,,,,Dead,
BETPOP_HF_4,9,,,,,
ACESPI_GR_4,10,,,,dead,
SAMRAC_HF_A,10,,,,,
ACESPI_SH_2A,10,,,,,
ACESPI_SH_2B,10,,,,,
DIELON_SH_12,10,,,,,
DIELON_GR_5,10,,,,,
SORAME_GR_9A,10,,,,,
DIELON_HF_1,10,,,,,
SAMRAC_GR_7,10,,,,,
ACESPI_SH_9,10,,,,,
SORAME_SH_3A,10,,,,,
DIELON_SH_4,10,,,,,
SORAME_SH_3B,10,,,,,
SAMRAC_GR_4,10,,,,,
SAMRAC_HF_B,10,,,,,
SORAME_SH_3B,10,,,,,
DIELON_GR_8,10,,,,,
SAMRAC_GR_1,10,,,,,
DIELON_SH_4,10,,,,,
SORAME_GR_9B,10,,,,,
DIELON_SH_2,10,,,,,
DIELON_GR_8A,10,,,,,
DIELON_GR_8B,10,,,,,
SPITOM_SH_99A,11,,,,dead,
MYRGAL_WM_6A,11,,,,,
SPITOM_GR_1A,11,,,,,
SPIALB_HF_10,11,,,,,
VIBCAS_WM_4,11,,,,,
SPIALB_HF_4A,11,,,,,
SPIALB_WM_4A,11,,,,,
MYRGAL_WM_6B,11,,,,,
SPITOM_SH_99B,11,,,,,
SPITOM_SH_99C,11,,,,,
SPITOM_HF_5,11,,,,dead,
SPIALB_WM_4B,11,,,,,
SPIALB_WM_4C,11,,,,,
SPITOM_SH_99D,11,,,,,
SPIALB_WM_5,11,,,,,
SPIALB_WM_2B,11,,,,,
SPIALB_WM_2A,11,,,,dead,
VIBCAS_WM_9A,11,,,,,
SPITOM_SH_99E,11,,,,almost dead,
SPIALB_HF_4B,11,,,,,
VIBCAS_WM_9B,11,,,,,
SPITOM_SH_99F,11,,,,,
AROMEL_WM_5,11,,,,,
VIBCAS_SH_9,11,,,,,
VIBCAS_GR_10,11,,,,,
SPITOM_GR_1A,11,,,,dead,
SPITOM_GR_1B,11,,,,,
SPITOM_HF_6,11,,,,,
AROMEL_HF_8A,11,,,,,
AROMEL_HF_8B,11,,,,,
VIBCAS_WM_10,11,,,,,
AROMEL_HF_12,11,,,,,
ALNINC_SH_1,12,,,,,
ACEPEN_WM_5,12,,,,dead,
ACEPEN_HF_12,12,,,,,
BETPOP_GR_5A,12,,,,,
QUERUB_WM_9,12,,,,dead,
BETPOP_GR_5B,12,,,,,
ALNINC_HF_8,12,,,,,
BETPAP_HF_16,12,,,,,
BETALL_WM_8A,12,,,,,
BETPAP_GR_8,12,,,,,
BETPOP_GR_5C,12,,,,,
BETALL_WM_8B,12,,,,,
SAMRAC_HF_A,13,,,,,
VACMYR_WM_5,13,,,,dead,
DIELON_WM_1A,13,,,,,
SAMRAC_HF_B,13,,,,,
VACMYR_GR_10A,13,,,,dead,
DIELON_HF_2A,13,,,,,
SORAME_SH_1A,13,,,,Dead,
SORAME_SH_1B,13,,,,Dead,
DIELON_GR_8,13,,,,,
VACMR_GR_10B,13,,,,dead,
DIELON_HF_2B,13,,,,,
DIELON_HF_2C,13,,,,,
VACMYR_GR_10C,13,,,,dead,
SAMRAC_GR_8,13,,,,,
DIELON_WM_1B,13,,,,,
SAMRAC_HF_C,13,,,,,
DIELON_SH_2A,13,,,,,
SORAME_SH_3,13,,,,dead,
DIELON_SH_4,13,,,,,
SAMRAC_HF_D,13,,,,,
DIELON_SH_2B,13,,,,,
DIELON_WM_1C,13,,,,,
MYRGAL_WM_6,14,,,,,
VIBCAS_WM_7,14,,,,,
SAMRAC_GR_4A,14,,,,dead,
AROMEL_WM_2,14,,,,,
VIBCAS_HF_7A,14,,,,,
VIBCAS_GR_3,14,,,,,
AROMEL_HF_13,14,,,,,
DIELON_GR_6,14,,,,dead,
DIELON_GR_2,14,,,,Dead,
AROMEL_HF_12,14,,,,,
MYRGAL_SH_99,14,,,,,
DIELON_SH_4,14,,,,dead,
SORAME_SH_3,14,,,,,
BETALL_GR_13,15,,,,,
BETALL_GR_14,15,,,,,
ALNINC_SH_4,15,,,,,
BETPOP_WM_9,15,,,,,
AMECAN_SH_3,15,,,,,
ALNINC_GR_11,15,,,,,
ALNINC_HF_9,15,,,,dead sampled?,
QUEALB_HF_4,15,,,,Dead,
BETPOP_WM_7,15,,,,,
BETPOP_WM_8,15,,,,,
BETPOP_WM_8,16,,,,,
QUEALB_HF_4A,16,,,,,
QUEALB_HF_4B,16,,,,dead,
ALNINC_WM_5A,16,,,,,
ALNINC_GR_8,16,,,,,
BETPOP_GR_3,16,,,,,
ALNINC_SH_3,16,,,,,
BETALL_SH_7,16,,,,,
ALNINC_HF_1,16,,,,,
BETALL_GR_14,16,,,,,
ALNINC_WM_5B,16,,,,,
BETALL_WM_9,16,,,,dead,
